term,weight
able,0.003
abstrak,0.003
acak,0.007
acara,0.003
ada,0.017
adalah,0.037
adiyati,0.003
aduh,0.003
afiliasi,0.007
agama,0.017
agar,0.027
ah,0.007
aib,0.007
air,0.014
ajak,0.014
ajar,0.017
akai,0.003
akan,0.048
akhir,0.014
akhirat,0.003
akikah,0.003
akun,0.007
alam,0.003
alas,0.003
alias,0.01
alumni,0.003
amal,0.01
ambil,0.01
ampuh,0.003
ampun,0.003
amuro,0.003
an,0.01
anak,0.031
ancam,0.003
anda,0.166
andaikata,0.003
anime,0.01
anomali,0.003
anterin,0.003
anya,0.007
apa,0.095
apartemen,0.003
aplg,0.003
april,0.003
arang,0.003
argumen,0.003
arisan,0.003
arti,0.01
artis,0.003
asa,0.003
asin,0.003
asing,0.003
asr,0.003
astaga,0.003
asusila,0.003
asyik,0.003
atas,0.007
atau,0.014
atensi,0.003
atur,0.003
audiens,0.003
awak,0.003
awal,0.017
awkarin,0.003
ayah,0.014
ayam,0.034
ayuhal,0.003
baca,0.054
bagaimana,0.041
bagi,0.003
bagus,0.003
bahahah,0.003
bahahaha,0.007
bahasa,0.003
bahaya,0.003
bahkan,0.003
baik,0.041
baju,0.01
bakar,0.007
balas,0.034
balik,0.017
banding,0.003
bang,0.027
bangga,0.003
bangsa,0.003
bangun,0.007
banten,0.003
bantu,0.014
banyak,0.068
bapak,0.01
barat,0.003
barbie,0.003
bareng,0.003
barista,0.003
baristanya,0.003
baru,0.051
batas,0.003
batin,0.003
bawa,0.01
bawang,0.003
beberapa,0.003
beda,0.017
begini,0.014
begitu,0.064
bel,0.003
belah,0.003
belakang,0.003
belanja,0.003
beli,0.041
beliau,0.007
belikan,0.003
belum,0.007
bem,0.014
benang,0.003
benar,0.034
bentar,0.003
bentuk,0.007
benua,0.003
beragumen,0.003
beranda,0.003
berani,0.01
berapa,0.003
beras,0.003
berat,0.003
beri,0.007
berisik,0.003
berita,0.007
beruang,0.007
besar,0.007
besok,0.007
betul,0.007
between,0.003
beuh,0.003
biasa,0.034
bicara,0.017
bijak,0.01
biji,0.003
bikinin,0.003
bilang,0.014
bingung,0.003
biologis,0.003
bioskop,0.01
bisa,0.024
bisnis,0.003
blender,0.007
blok,0.003
blokir,0.007
bocor,0.003
bom,0.014
bonus,0.003
bosan,0.007
botol,0.003
brand,0.003
branded,0.003
brengsek,0.003
brewed,0.003
brgkt,0.003
buang,0.003
buat,0.105
buaya,0.003
buka,0.01
bukan,0.044
bukti,0.003
buku,0.061
bukuny,0.003
bulan,0.007
bunga,0.003
bunuh,0.003
buram,0.003
buruk,0.01
butuh,0.007
campur,0.003
canggung,0.003
cangung,0.003
cania,0.003
cantik,0.01
cara,0.007
cari,0.024
casenya,0.007
catat,0.003
cc,0.003
cekat,0.003
cemil,0.034
cenderung,0.003
centang,0.003
cepat,0.01
cerita,0.048
ceritain,0.003
cermin,0.003
ceweku,0.003
chalange,0.003
chatime,0.003
chatingnya,0.003
chetos,0.003
cinta,0.014
coath,0.003
coba,0.01
cocok,0.01
cofemix,0.003
colek,0.01
conan,0.01
condong,0.003
consequences,0.003
cowoku,0.003
creepy,0.003
cuat,0.003
cuci,0.003
cuko,0.007
cukonya,0.003
cukup,0.003
cultural,0.003
cuma,0.048
cuplik,0.003
curhat,0.01
cuy,0.003
dalam,0.02
dan,0.01
dapat,0.02
dari,0.078
daripada,0.02
datang,0.007
datangin,0.003
debat,0.003
deh,0.01
dekat,0.007
deketnya,0.003
demo,0.003
dendam,0.003
dengan,0.078
dengar,0.003
depa,0.003
depan,0.01
desa,0.003
desember,0.003
deskripsi,0.003
deteksi,0.003
dewi,0.003
di,0.044
dia,0.017
diajarin,0.003
diam,0.02
dibandingin,0.003
dibuly,0.007
didik,0.003
diframing,0.003
dighibahin,0.003
dikerjain,0.003
dikit,0.003
dikomen,0.003
dimana,0.007
dimasukin,0.007
ding,0.007
dingin,0.003
dini,0.003
diomongin,0.003
dipost,0.003
dipublish,0.003
diri,0.01
disalahin,0.003
dishare,0.003
diskriminatif,0.003
djiwa,0.003
doa,0.003
doang,0.024
dokumen,0.01
dominan,0.003
donasi,0.007
dong,0.014
dongeng,0.003
doraemon,0.003
dosbing,0.003
dosen,0.01
dua,0.01
dude,0.003
duduk,0.003
duga,0.003
dukung,0.003
dulu,0.031
duluan,0.01
dunia,0.02
eatable,0.003
eh,0.003
ehm,0.003
ekonomi,0.007
elegantly,0.003
email,0.003
emosi,0.007
empat,0.003
empati,0.003
enak,0.003
eng,0.003
engep,0.003
entah,0.003
entrostop,0.003
er,0.003
eropa,0.003
es,0.003
etika,0.003
etis,0.003
ex,0.003
excelso,0.003
extrovert,0.003
faces,0.003
favorit,0.007
festival,0.003
fierza,0.003
film,0.007
fine,0.003
finis,0.014
flirty,0.003
foto,0.007
framing,0.003
gadis,0.01
gaji,0.003
gambar,0.003
ganggu,0.003
ganti,0.01
gara,0.014
gas,0.003
gatot,0.003
gaung,0.007
gaya,0.01
gedung,0.003
gelombang,0.003
gemar,0.007
gembira,0.003
gemini,0.017
gempa,0.003
generasi,0.003
gengsi,0.003
gera,0.003
gerai,0.003
geraldine,0.007
gertak,0.003
gesit,0.003
giat,0.007
gin,0.044
git,0.01
goalku,0.003
gofod,0.003
gone,0.003
google,0.003
goreng,0.007
gosip,0.003
grabfod,0.003
gugup,0.003
gula,0.003
gusur,0.003
habis,0.02
habitat,0.003
had,0.003
hadap,0.01
hadiah,0.003
hadir,0.003
haha,0.02
hai,0.003
hainan,0.003
hak,0.044
hakim,0.014
hal,0.003
halaman,0.01
halusinasi,0.003
hancur,0.003
hanya,0.003
hapus,0.007
harap,0.003
harga,0.017
hari,0.031
harus,0.01
hasil,0.014
hastag,0.003
hayat,0.003
heartbreaker,0.003
henti,0.007
hewan,0.003
hidayah,0.003
hidup,0.031
hijau,0.007
hijrah,0.024
hilang,0.01
hitung,0.003
hokben,0.007
hormat,0.003
hubung,0.01
hukum,0.003
hukumanya,0.003
humoris,0.003
huwalahu,0.003
ibarat,0.003
ibu,0.037
idjo,0.003
ielts,0.003
ikut,0.044
ikuti,0.003
ilmu,0.003
impi,0.003
imut,0.003
in,0.01
ind,0.007
indah,0.007
indikator,0.017
indomaret,0.003
indonesia,0.017
influencer,0.007
info,0.003
ingat,0.01
ingin,0.003
ini,0.041
instagram,0.003
internasional,0.003
