term,weight
able,0.008
acne,0.008
ada,0.025
adalah,0.033
aduh,0.017
ah,0.008
ahli,0.008
ajak,0.008
akbar,0.008
akhir,0.025
aktivitas,0.008
akun,0.017
alahu,0.008
alami,0.008
alarm,0.008
alih,0.008
aman,0.008
ambil,0.008
amin,0.008
ampuh,0.008
an,0.008
anak,0.025
ancen,0.008
anda,0.125
android,0.008
aneh,0.008
anime,0.008
anjing,0.008
antibodi,0.017
apa,0.141
apd,0.008
apel,0.008
arang,0.008
arif,0.008
armanita,0.008
arti,0.008
asah,0.017
asisah,0.017
atas,0.008
ayo,0.017
azalea,0.008
badan,0.008
bagai,0.008
bagaimana,0.008
bahagia,0.025
baik,0.05
bain,0.008
bajing,0.008
baju,0.008
balas,0.033
balik,0.008
bangun,0.025
bantu,0.008
banyak,0.05
bapak,0.017
baru,0.05
bau,0.008
bawa,0.008
bayang,0.008
bayangin,0.008
bayi,0.025
bayik,0.017
beberapa,0.017
bedak,0.008
begini,0.025
begitu,0.025
bekas,0.017
bela,0.008
belah,0.008
belakang,0.008
beli,0.025
belum,0.008
benar,0.042
bentuk,0.008
berat,0.008
bercandan,0.008
beri,0.008
bersin,0.008
bertetanga,0.008
besar,0.017
besok,0.008
betul,0.008
biasa,0.058
bicara,0.017
bingung,0.042
bisa,0.067
blackberry,0.008
boba,0.008
bocor,0.008
bodoh,0.008
bolo,0.008
bom,0.008
buah,0.017
buat,0.141
bucinya,0.008
buka,0.017
bulan,0.017
bungkuk,0.008
butuh,0.008
ca,0.042
caca,0.008
cahaya,0.008
cakruk,0.008
canda,0.017
cantik,0.008
cara,0.008
cari,0.017
celaka,0.008
cemil,0.05
cepat,0.017
cerita,0.008
cicak,0.042
cicaknya,0.008
cila,0.008
cinta,0.017
cium,0.008
coba,0.058
cocok,0.008
cuci,0.008
cukup,0.008
cuma,0.025
dadah,0.017
dan,0.017
dapat,0.008
dapur,0.008
darat,0.008
dari,0.05
daripada,0.008
dasar,0.017
daun,0.008
daya,0.017
dengan,0.017
depan,0.008
desa,0.008
di,0.017
dia,0.017
diam,0.008
didi,0.008
didik,0.008
dilema,0.008
dilewatin,0.008
dimana,0.008
dimanfatkan,0.008
dinas,0.008
dino,0.008
direject,0.008
diri,0.017
ditambahin,0.008
ditanyain,0.017
doa,0.025
dong,0.008
dukung,0.008
dulu,0.025
dunia,0.025
dusel,0.008
ecomerce,0.008
eh,0.017
emas,0.008
emosi,0.008
enak,0.008
fantasi,0.008
feris,0.008
flipnya,0.008
formal,0.008
fungsi,0.008
fw,0.008
gaenaknya,0.008
gakuat,0.008
galak,0.008
game,0.008
ganti,0.025
gara,0.017
garis,0.008
gaun,0.008
gaunya,0.008
gek,0.017
gelato,0.008
gelisah,0.008
gemas,0.05
gemesnya,0.008
gempa,0.008
gera,0.008
gerakanya,0.008
ghibah,0.008
gila,0.008
gin,0.025
giname,0.008
gituan,0.008
golek,0.008
gula,0.008
gulir,0.008
guna,0.008
gundul,0.017
gur,0.008
habis,0.033
hadiah,0.017
hai,0.008
halusinasi,0.008
hanya,0.017
hari,0.075
haru,0.008
hasil,0.008
hati,0.025
helm,0.008
helmu,0.008
henti,0.008
hidup,0.025
hilang,0.008
hix,0.008
hokben,0.008
hubung,0.008
humoris,0.017
ibu,0.042
idih,0.008
iklan,0.008
ilmu,0.008
impulsif,0.008
in,0.017
indonesia,0.008
info,0.008
infrared,0.008
ingat,0.033
ini,0.058
instagram,0.017
inti,0.008
ish,0.008
itu,0.083
iya,0.092
jadi,0.15
jah,0.025
jail,0.008
jajan,0.017
jalan,0.017
jam,0.017
jambu,0.008
jantung,0.008
jari,0.017
jateng,0.008
jatuh,0.008
jauh,0.017
jawab,0.008
jdnya,0.008
jebul,0.008
jejelin,0.008
jemput,0.008
jenak,0.008
jerawat,0.017
jijik,0.008
jiwa,0.008
jorjes,0.008
jual,0.008
juga,0.042
justru,0.008
kabar,0.008
kabarin,0.008
kadang,0.017
kado,0.008
kalau,0.175
kali,0.05
kalimat,0.008
kamar,0.008
kan,0.05
kapan,0.033
karantina,0.025
karena,0.067
kasih,0.008
kata,0.017
kebahagian,0.008
keburu,0.008
kecangtipan,0.008
kecoa,0.008
kecoanya,0.008
kegamtengan,0.008
kekmana,0.008
kekuranganqu,0.008
kelakar,0.008
kelas,0.008
keliling,0.008
keluar,0.025
keluh,0.008
kemarin,0.017
ken,0.025
kena,0.033
kenapa,0.025
keren,0.008
kering,0.017
kerja,0.008
kesal,0.017
keset,0.008
kesi,0.008
ketemu,0.008
ketika,0.008
ketok,0.008
kilas,0.008
kilogram,0.008
kira,0.008
kirim,0.008
kita,0.008
klax,0.008
klen,0.008
kokjon,0.008
kondangan,0.008
konsumtif,0.008
konyol,0.017
koplo,0.008
kuat,0.008
kuliah,0.008
kulit,0.033
kulon,0.008
kumpul,0.008
kuping,0.008
kurang,0.008
lagi,0.05
lagu,0.008
lah,0.017
lak,0.008
laki,0.092
lalu,0.017
lama,0.017
lambung,0.017
langsung,0.025
lantai,0.017
lapar,0.008
lelah,0.017
lengen,0.017
lewat,0.008
lho,0.008
lihat,0.042
lik,0.008
lingkar,0.008
lokal,0.008
lombok,0.008
loncat,0.025
luar,0.008
luas,0.008
lulus,0.008
lupa,0.025
macam,0.017
mahkota,0.008
maju,0.008
makan,0.008
makanya,0.017
makdeg,0.008
makin,0.008
makjegagik,0.008
maktratap,0.008
malah,0.033
malam,0.025
malu,0.033
mampu,0.008
mana,0.025
mandi,0.017
mangan,0.008
mangkanya,0.008
manis,0.017
mantan,0.008
mantu,0.008
manusia,0.017
marah,0.008
maria,0.042
masa,0.008
masalah,0.008
masqu,0.008
matcha,0.008
mati,0.008
mau,0.1
maupun,0.008
mbakshin,0.017
mbatin,0.008
mcd,0.008
media,0.008
meh,0.008
meja,0.008
meleset,0.008
melu,0.008
memang,0.092
menang,0.008
meper,0.008
merah,0.017
merk,0.008
mesake,0.008
milik,0.017
mimik,0.008
minggu,0.008
minimum,0.008
mobil,0.008
model,0.008
mosok,0.008
muka,0.017
mulai,0.008
mungkin,0.017
myk,0.025
nah,0.008
naik,0.008
nama,0.017
name,0.008
nang,0.017
nasi,0.008
negara,0.008
nelpon,0.008
nenek,0.025
nerima,0.008
nerimanya,0.008
ngadain,0.008
ngagetin,0.008
ngechat,0.008
ngecilin,0.008
ngedrumku,0.008
ngikut,0.008
nglempong,0.008
ngono,0.008
ngrepotin,0.008
ngriseni,0.008
ngunyah,0.008
ninjaku,0.008
njeglek,0.008
nmr,0.033
nmrku,0.008
nongol,0.008
nontonin,0.008
normal,0.017
nuansa,0.008
nya,0.017
nyaman,0.017
nyamuk,0.008
nyanyi,0.008
nyata,0.008
nyusul,0.017
obrol,0.017
oiya,0.008
olahraga,0.008
omong,0.017
orang,0.042
orangtua,0.008
otot,0.008
ovo,0.017
pacitan,0.008
padahal,0.025
pagi,0.025
paham,0.017
pai,0.017
pakai,0.1
paling,0.025
pamer,0.017
pamit,0.017
pancing,0.017
panda,0.008
pandicurmu,0.008
panik,0.008
panjang,0.008
parah,0.008
patahin,0.008
patuh,0.008
pegang,0.008
penasaran,0.008
penting,0.008
pergi,0.008
pernah,0.033
perut,0.033
peta,0.008
pikir,0.025
pilih,0.008
pindah,0.008
pirang,0.008
piring,0.008
pre,0.008
pribadi,0.008
progo,0.008
psikologi,0.008
punya,0.058
pusing,0.008
ra,0.008
rad,0.008
raja,0.008
rajin,0.008
rangopo,0.008
rapiepie,0.008
rasa,0.042
ratih,0.033
rawat,0.008
realita,0.008
rem,0.017
remuk,0.008
rendah,0.008
rendang,0.008
renggut,0.008
resep,0.008
resepsi,0.008
retweet,0.008
rewel,0.008
ribu,0.017
ribut,0.008
rindu,0.008
risiko,0.008
roda,0.008
rumah,0.05
rusak,0.008
saat,0.033
sabar,0.017
sabtu,0.008
saham,0.008
saiki,0.008
saja,0.2
saking,0.017
sakit,0.017
saling,0.008
salting,0.008
sama,0.075
sampai,0.092
sangat,0.008
sangu,0.008
satu,0.025
saudara,0.175
saya,0.399
sayang,0.017
sayur,0.008
sdnya,0.008
sebagai,0.008
sebar,0.017
sebentar,0.008
sebuah,0.033
sedang,0.008
sedih,0.008
sedikit,0.008
segar,0.008
segera,0.017
sekala,0.017
sekali,0.158
sekalipun,0.008
sekarang,0.017
sekolah,0.008
selain,0.008
selak,0.008
selamat,0.017
selesai,0.017
semangat,0.017
semerbak,0.008
semoga,0.017
sempat,0.008
semua,0.025
senang,0.017
sendiri,0.017
sengaja,0.008
senjata,0.008
seperti,0.05
sering,0.025
seseorang,0.008
set,0.008
setan,0.025
si,0.017
siapa,0.017
sibuk,0.008
sih,0.05
sini,0.008
sit,0.008
situp,0.008
skr,0.025
sleman,0.008
smoothies,0.008
soal,0.008
soale,0.008
soldout,0.008
sombong,0.008
sore,0.008
sosial,0.008
stabil,0.008
suatu,0.008
sudah,0.233
suka,0.042
supaya,0.008
super,0.008
susah,0.008
switching,0.008
syukur,0.025
tabrak,0.025
tahanya,0.008
tahu,0.025
tahun,0.025
takut,0.025
tambah,0.008
tampak,0.008
