term,weight
abadi,0.008
abt,0.008
accepted,0.008
adalah,0.048
adc,0.008
aduh,0.016
agar,0.008
agus,0.008
aidz,0.008
aidzin,0.008
ajak,0.008
akal,0.016
akan,0.016
akhir,0.04
akhire,0.008
akulo,0.008
al,0.008
alam,0.024
alexis,0.008
alias,0.008
allah,0.008
ambil,0.008
ame,0.008
amin,0.016
ampun,0.032
an,0.024
anak,0.016
anda,0.202
aneh,0.008
apa,0.064
arang,0.032
aren,0.008
arti,0.008
arum,0.008
arus,0.008
asik,0.008
atau,0.008
atek,0.008
atm,0.008
avatar,0.008
awak,0.016
ayah,0.008
ayo,0.048
ayune,0.008
baca,0.008
bagaimana,0.04
bagi,0.016
bagus,0.016
baik,0.024
baju,0.008
bakat,0.008
balik,0.024
balsem,0.008
banting,0.008
bantu,0.008
banyak,0.032
based,0.008
basic,0.008
batas,0.008
bawa,0.008
become,0.008
beda,0.008
bedo,0.008
begini,0.024
begitu,0.073
beibz,0.008
bekas,0.008
belah,0.008
beli,0.024
belok,0.008
benar,0.048
benda,0.008
berapa,0.016
berkah,0.008
berkata,0.008
biasa,0.016
bibir,0.04
bicara,0.008
bikin,0.008
bilang,0.024
bimbel,0.008
bisa,0.024
bk,0.016
bli,0.008
boleh,0.016
bom,0.024
bondol,0.008
bos,0.008
bosan,0.016
bot,0.008
br,0.008
brief,0.008
brouw,0.008
btul,0.016
buat,0.064
buka,0.008
bukan,0.032
bukit,0.008
buku,0.008
bukuny,0.008
buta,0.008
butuh,0.008
cacat,0.016
cahaya,0.008
cakep,0.024
canda,0.008
cangkir,0.008
cantik,0.032
capew,0.008
cara,0.024
catfish,0.008
cause,0.016
cemil,0.032
cepat,0.008
cerita,0.024
cerpen,0.008
chloe,0.008
cinta,0.024
ciwi,0.008
ckck,0.008
ckckck,0.008
coba,0.056
comparing,0.016
cowonya,0.024
cpt,0.008
cuma,0.008
cuman,0.008
curhati,0.008
cuy,0.008
da,0.008
dada,0.008
dadi,0.016
daftar,0.008
damai,0.008
dan,0.016
dapat,0.008
dari,0.048
daripada,0.016
dat,0.008
datang,0.016
dayu,0.008
deb,0.008
deeds,0.008
deep,0.008
deh,0.032
dengan,0.024
depan,0.008
desu,0.008
di,0.016
dia,0.016
diam,0.008
dibehel,0.008
didn,0.008
dikiro,0.008
dilakuin,0.008
diri,0.008
disepik,0.008
disuruh,0.008
djaenar,0.008
doaq,0.008
does,0.008
doing,0.008
dokter,0.008
dora,0.008
du,0.008
dudui,0.008
dulu,0.04
durung,0.008
edgy,0.008
edi,0.016
eh,0.032
eid,0.016
ekspektasi,0.008
ekstrim,0.008
elus,0.008
embuh,0.008
