term,weight
abege,0.005
abu,0.005
acara,0.011
ada,0.076
admin,0.005
aelah,0.005
aftertaste,0.005
agar,0.011
ah,0.005
air,0.011
ajak,0.005
ajar,0.005
akan,0.049
akhir,0.011
akhlak,0.005
aktor,0.005
akun,0.011
alasan,0.005
alias,0.005
alir,0.005
alsut,0.005
aman,0.005
ambal,0.005
ambil,0.005
an,0.016
anak,0.076
anda,0.175
andal,0.005
aneh,0.027
anime,0.011
anjeng,0.005
apa,0.12
apansih,0.011
april,0.005
apsih,0.005
arti,0.011
asar,0.005
asep,0.011
asing,0.005
astaga,0.005
asuransi,0.005
atas,0.022
atau,0.005
atur,0.005
awal,0.005
ayam,0.005
babyblues,0.005
baca,0.022
badan,0.005
bader,0.005
bagai,0.005
bagaimana,0.016
bagus,0.011
bahkan,0.005
baik,0.033
bajing,0.033
baju,0.027
bakayaro,0.005
bakti,0.005
balas,0.011
banci,0.005
bang,0.005
bangga,0.005
bangun,0.011
bank,0.005
banting,0.005
bantu,0.011
banyak,0.049
bapak,0.065
barang,0.011
bareiles,0.005
bareng,0.005
baru,0.033
bas,0.011
baskara,0.005
batang,0.005
batas,0.005
bau,0.005
bawa,0.016
bawah,0.022
bawang,0.011
bayang,0.005
bebal,0.005
bebas,0.011
beda,0.016
bedug,0.005
begini,0.027
begitu,0.049
bekas,0.005
belah,0.005
beli,0.016
belum,0.016
benang,0.005
benar,0.033
benarkan,0.005
benci,0.016
berani,0.005
beranta,0.005
berapa,0.011
berat,0.005
berontak,0.005
bersih,0.016
besar,0.022
besok,0.005
biadab,0.011
biasa,0.022
bicara,0.016
biji,0.005
bikinin,0.005
bilang,0.027
binatang,0.005
bingung,0.011
bini,0.011
biru,0.005
bisa,0.016
bla,0.011
blio,0.005
bodoh,0.049
bohong,0.011
boleh,0.005
bom,0.016
boneka,0.005
boro,0.005
bosan,0.027
botakin,0.005
buang,0.005
buat,0.131
bujang,0.005
buka,0.027
bukan,0.016
bulan,0.005
butuh,0.005
cadang,0.005
calistung,0.005
campur,0.005
cantik,0.005
cara,0.011
cari,0.005
cecer,0.005
celoteh,0.005
cemburu,0.005
cemil,0.038
cemilan,0.005
cepat,0.011
ceplok,0.005
ceramah,0.005
cerita,0.016
cina,0.005
cinta,0.016
citra,0.005
coba,0.011
cocok,0.011
colab,0.005
colyeah,0.005
congenya,0.005
corona,0.005
cuci,0.016
cuma,0.038
da,0.005
dada,0.011
damagenya,0.005
damai,0.005
damar,0.005
danshi,0.005
dapat,0.038
dapur,0.011
dar,0.005
dari,0.022
daripada,0.011
dasar,0.005
debat,0.005
deh,0.011
dena,0.005
dengan,0.005
dengar,0.022
dentum,0.005
depan,0.033
detroit,0.005
di,0.027
diancurin,0.005
dibejek,0.005
dibuangin,0.005
dicucin,0.005
didenger,0.005
digabungin,0.005
digantungin,0.005
dijadin,0.005
dikatain,0.005
dikirimin,0.005
dikit,0.027
dinyanyin,0.005
dipangil,0.005
dipasangin,0.011
dipikirin,0.005
dipost,0.005
dipusingin,0.005
direspon,0.005
diri,0.022
diributin,0.005
disapuin,0.005
diumpetin,0.005
divisi,0.011
doang,0.016
drama,0.005
duduk,0.011
dulu,0.033
dunia,0.005
dwiyanti,0.005
eh,0.011
ehehehe,0.005
ejek,0.022
elah,0.005
emas,0.005
emosi,0.005
enak,0.049
endchat,0.005
entah,0.005
episode,0.016
estetik,0.005
extrovert,0.005
eyelash,0.005
facebook,0.011
ferdinan,0.005
fesbuk,0.005
fokus,0.005
foto,0.005
freezer,0.005
friends,0.005
gabis,0.005
gadai,0.005
gadilanjut,0.005
gadis,0.055
gajelas,0.011
game,0.005
ganda,0.005
gang,0.005
ganggu,0.005
ganguan,0.005
gantungin,0.005
gapada,0.005
gaperlu,0.005
garing,0.005
gasabar,0.005
gaya,0.011
gedeg,0.005
geger,0.005
gemas,0.005
gemini,0.005
gerincing,0.005
gila,0.011
gin,0.06
glesoran,0.005
goa,0.005
goler,0.005
gratis,0.005
gravitasi,0.005
gulir,0.005
guru,0.011
habis,0.027
hadir,0.005
hagendazs,0.005
hai,0.016
hambat,0.005
hampers,0.005
hancur,0.011
hanimun,0.005
hanya,0.016
harap,0.005
harga,0.011
hari,0.022
harus,0.005
hasil,0.022
hati,0.027
heist,0.005
henti,0.005
hidup,0.016
holywings,0.005
hormat,0.005
horor,0.005
hubunganya,0.005
humoris,0.011
ibu,0.06
ichi,0.016
ide,0.005
ied,0.005
ikut,0.022
ilmu,0.005
in,0.011
ingat,0.005
ini,0.044
instagram,0.005
introvert,0.005
investasi,0.005
iom,0.005
iris,0.005
isi,0.022
islam,0.005
isolasi,0.005
istirahat,0.005
istri,0.016
itu,0.044
iya,0.027
jadi,0.125
jajan,0.016
jakarta,0.005
jala,0.005
jalan,0.005
jam,0.027
jaman,0.005
jamet,0.005
januari,0.005
jari,0.005
jaring,0.005
jatohnya,0.005
jauh,0.005
jawa,0.005
jawab,0.005
jdnya,0.005
jebak,0.005
jemput,0.005
jendela,0.011
jengah,0.005
jenius,0.011
ji,0.005
judul,0.005
juga,0.027
jujur,0.005
kabar,0.005
kacang,0.005
kalah,0.005
kalau,0.142
