term,weight
abt,0.007
ada,0.028
adalah,0.048
adeknya,0.007
adon,0.007
aduh,0.007
affordable,0.007
agar,0.055
ah,0.007
ajar,0.014
ajojing,0.007
akan,0.048
akhir,0.041
aktif,0.007
aktivitas,0.007
aktual,0.007
ala,0.007
alea,0.007
alfamart,0.007
alm,0.007
almarhum,0.007
ambil,0.035
ampuh,0.007
ampun,0.028
an,0.021
anak,0.062
anda,0.124
ang,0.014
angin,0.014
anna,0.007
antar,0.014
anti,0.007
anya,0.007
anyeong,0.007
apa,0.124
apakabar,0.007
ardhito,0.007
artikel,0.007
asam,0.014
asan,0.007
aset,0.007
astaga,0.014
atau,0.007
atep,0.007
atuhlah,0.007
ayah,0.007
ayam,0.014
ayo,0.014
baca,0.014
backsound,0.007
badan,0.028
bagaimana,0.021
bagi,0.014
bahagia,0.007
bahaha,0.035
bahahaha,0.007
bahahahaha,0.007
bahan,0.014
bahas,0.007
bahkan,0.007
baik,0.035
bajing,0.007
baju,0.007
bakar,0.007
bakwan,0.007
balik,0.028
bandung,0.014
bangun,0.041
bantal,0.014
banting,0.007
bantu,0.014
banya,0.007
bapak,0.028
baput,0.007
baru,0.035
bathtup,0.007
batin,0.035
bawa,0.014
bawang,0.007
bayam,0.007
bayangin,0.007
bayar,0.014
bayik,0.014
beda,0.007
begini,0.014
begitu,0.062
belakang,0.007
belantara,0.007
beli,0.028
beliau,0.007
belio,0.007
benar,0.021
bengong,0.007
benny,0.007
bentar,0.021
benteng,0.014
bentuk,0.007
beranda,0.014
berani,0.007
berapa,0.007
berat,0.007
beri,0.007
berita,0.007
berjerewi,0.007
bertenger,0.007
besar,0.021
besok,0.028
betul,0.007
biasa,0.007
biaya,0.007
biji,0.007
bilang,0.007
bingung,0.021
bisa,0.097
bismillah,0.007
blackpink,0.007
blar,0.007
bodoh,0.007
bohemian,0.007
bola,0.007
boleh,0.021
bom,0.041
bombay,0.007
bontot,0.007
bosan,0.007
bosenya,0.007
both,0.007
boundaries,0.007
breaking,0.007
brontowali,0.007
buat,0.152
buka,0.007
bukan,0.007
bulan,0.055
bumbu,0.028
bumi,0.007
bunga,0.007
bunuh,0.007
buruk,0.007
butuh,0.007
cahaya,0.014
cantik,0.007
capcay,0.007
capri,0.007
cari,0.021
carl,0.007
catat,0.028
ceki,0.007
celana,0.007
cemil,0.041
cepat,0.007
cha,0.007
chel,0.014
chong,0.007
cilik,0.007
cinta,0.014
coba,0.076
coca,0.007
cocok,0.007
cola,0.007
congrats,0.007
cookies,0.007
creme,0.007
crochet,0.014
cuci,0.014
cukup,0.014
cuma,0.041
cyn,0.007
daebak,0.007
dagel,0.007
dan,0.014
dana,0.007
dancow,0.007
dapat,0.014
dari,0.041
darurat,0.007
dasar,0.007
datang,0.014
dedew,0.007
deep,0.007
deh,0.035
dek,0.028
delete,0.007
dengan,0.021
depan,0.014
deposito,0.007
detail,0.007
detergen,0.007
dha,0.021
di,0.035
dia,0.007
diajakin,0.007
diangap,0.007
dibercandain,0.007
dicemil,0.007
dikerjain,0.007
dimana,0.007
dingin,0.014
dipakai,0.007
dipakein,0.007
dipamerin,0.007
diri,0.028
ditemeni,0.007
dk,0.007
doa,0.007
doang,0.014
dohwan,0.007
dong,0.035
dorce,0.021
doyan,0.007
drama,0.007
dramatis,0.007
dua,0.007
duduk,0.007
duhai,0.007
dulu,0.048
duluan,0.007
dulur,0.007
dunia,0.007
duplikasi,0.007
duren,0.007
efek,0.007
eh,0.069
eka,0.007
embun,0.007
emosi,0.007
empuk,0.007
enak,0.083
entek,0.007
episode,0.014
eri,0.007
erti,0.007
es,0.007
few,0.007
film,0.007
finishing,0.007
fira,0.014
fitri,0.014
foto,0.014
frel,0.007
fusi,0.007
gabakat,0.007
gabung,0.014
gabutuh,0.007
gadis,0.007
gaga,0.007
gal,0.014
gala,0.007
galak,0.007
ganggu,0.007
