term,weight
aceh,0.008
ada,0.017
adalah,0.034
adi,0.008
adityalinsky,0.017
admin,0.034
aduh,0.008
aerosmith,0.008
afrojack,0.008
agar,0.017
agung,0.008
ah,0.008
aji,0.017
akal,0.008
akan,0.042
akhir,0.101
akses,0.008
alam,0.008
alas,0.017
albert,0.008
alias,0.008
alig,0.008
almera,0.008
aman,0.008
ambil,0.008
amnesia,0.025
an,0.008
anda,0.168
aneh,0.008
angels,0.017
angkring,0.008
apa,0.025
aplin,0.025
arah,0.008
arti,0.008
atlet,0.05
babi,0.008
bagai,0.008
bagaimana,0.017
bahagia,0.008
bahaya,0.017
bahwa,0.008
baik,0.042
bakar,0.008
bakso,0.008
balik,0.05
banyak,0.008
barbershop,0.008
barcelona,0.008
bareng,0.008
barracks,0.008
baru,0.017
bas,0.017
basa,0.008
basi,0.017
batas,0.025
batin,0.008
bayang,0.017
bayar,0.008
bayu,0.042
beberapa,0.008
bedan,0.008
begini,0.008
begitu,0.017
beli,0.025
benar,0.059
benda,0.008
benzema,0.017
berani,0.008
berapa,0.008
berat,0.008
berhayal,0.008
berlian,0.025
besar,0.017
bicara,0.008
bik,0.008
bilang,0.017
bilbao,0.05
bismilahirohmanirohim,0.008
bodoh,0.008
bola,0.017
bom,0.034
boneka,0.008
bruno,0.008
buang,0.017
buat,0.092
buk,0.008
bukan,0.008
bulan,0.008
buru,0.008
caf,0.008
calvin,0.008
cangkir,0.025
cari,0.008
carolina,0.008
carries,0.008
casilas,0.008
cemilan,0.017
cepu,0.008
cerita,0.008
cermin,0.008
cetak,0.008
cf,0.017
chandra,0.008
chemical,0.008
chrisye,0.008
cinta,0.067
ciptan,0.008
cline,0.008
co,0.042
comes,0.008
cornela,0.008
cuk,0.008
cukup,0.008
cuma,0.025
cza,0.008
daging,0.008
daki,0.017
dan,0.168
dapat,0.059
dari,0.05
data,0.008
dealova,0.008
dedak,0.008
dem,0.008
dengan,0.21
dengar,0.008
depok,0.008
dhyo,0.008
di,0.143
dia,0.042
diangep,0.008
dilon,0.017
dingin,0.008
dion,0.008
diri,0.017
dis,0.017
disini,0.008
dj,0.017
dong,0.008
doni,0.008
drewe,0.008
drogba,0.008
dulu,0.034
duluan,0.008
dunia,0.017
dwi,0.017
edit,0.008
eh,0.008
einstein,0.008
emas,0.008
emok,0.025
emyu,0.017
enak,0.034
entah,0.008
et,0.008
eva,0.008
fajar,0.126
falin,0.008
fans,0.008
fc,0.008
felaini,0.008
foto,0.008
francis,0.017
friday,0.008
gabriele,0.025
gakocak,0.008
game,0.008
gamenya,0.008
gang,0.008
ganguan,0.008
ganti,0.025
gara,0.017
garis,0.025
gb,0.008
gbt,0.008
gelap,0.017
gerobak,0.008
gila,0.017
gin,0.008
gnya,0.008
goa,0.084
goal,0.042
gol,0.008
gonta,0.008
goreng,0.025
granada,0.008
gratis,0.008
habis,0.017
habits,0.008
hadap,0.008
haha,0.025
hai,0.008
hakim,0.008
hancur,0.008
hangat,0.008
hanya,0.042
hari,0.034
haris,0.008
haw,0.008
hayes,0.008
hepi,0.017
herdy,0.008
hermina,0.008
hidup,0.05
hijau,0.008
hilang,0.05
hilmy,0.017
hitam,0.025
hobastank,0.017
hoki,0.017
hom,0.008
hotel,0.017
htp,0.042
hugo,0.008
hujan,0.008
hukum,0.008
humoris,0.017
ibu,0.008
ikan,0.008
iker,0.008
ikut,0.008
ilangan,0.008
in,0.05
indosat,0.025
ingin,0.017
ini,0.076
insani,0.008
intel,0.008
internet,0.008
isi,0.008
itu,0.134
iya,0.008
jadi,0.05
jadin,0.008
jail,0.017
jalan,0.034
james,0.008
jantung,0.008
jarah,0.008
jawab,0.008
jaya,0.017
jelas,0.017
jelek,0.008
jenius,0.008
jigo,0.017
jika,0.008
jimbaran,0.008
john,0.017
jorok,0.008
jpvmx,0.008
jude,0.008
kabar,0.008
kalah,0.017
kalau,0.059
kali,0.017
kan,0.008
kanan,0.008
kanyab,0.017
kapan,0.017
kari,0.017
karir,0.008
kartu,0.034
kasat,0.008
kasih,0.008
katy,0.008
kayak,0.034
kebosyanan,0.008
kecil,0.008
kecuali,0.008
kegabutan,0.008
keluh,0.008
kembali,0.034
kena,0.076
kenapa,0.017
kendara,0.008
kepala,0.008
keras,0.008
kesah,0.008
kesana,0.017
kesini,0.008
ketika,0.008
khalifa,0.008
khomsa,0.017
kilas,0.008
kita,0.017
kode,0.008
koleksi,0.017
komposer,0.008
koneksi,0.017
kontrol,0.008
kopi,0.042
kota,0.025
kpgbe,0.008
kuda,0.008
kumis,0.008
kunci,0.008
kuntoaji,0.017
kurang,0.008
lagi,0.017
lagu,0.008
lahan,0.008
lahir,0.008
lain,0.067
laki,0.042
lalu,0.017
lama,0.034
landa,0.008
langsung,0.008
lebih,0.017
legenda,0.008
lelah,0.017
lenon,0.008
lentera,0.008
lepas,0.008
lereng,0.008
liar,0.017
liatin,0.008
lihat,0.017
lingkar,0.008
liong,0.008
liontin,0.008
liverpol,0.008
look,0.034
looking,0.008
loved,0.017
loves,0.008
low,0.008
ltpst,0.008
lumayan,0.008
lupa,0.017
luxo,0.008
lv,0.008
lvl,0.008
maaf,0.025
madrid,0.126
makanya,0.008
makhluk,0.017
malam,0.008
malu,0.008
mampu,0.008
mana,0.008
manch,0.008
manis,0.008
mantap,0.008
manusia,0.017
marah,0.034
maria,0.017
marinano,0.008
mars,0.025
masa,0.008
masalah,0.025
masgils,0.008
masih,0.008
mata,0.008
matahari,0.008
mati,0.008
mau,0.059
max,0.008
mayan,0.025
meghan,0.017
mel,0.008
memafkan,0.008
memang,0.008
menara,0.008
menghayalnya,0.008
mentari,0.008
mie,0.05
mimpi,0.008
minta,0.034
minum,0.008
mok,0.025
mon,0.008
mr,0.008
mt,0.008
muda,0.017
mudah,0.017
muhamad,0.042
muncul,0.008
mungkin,0.008
musim,0.025
mzq,0.008
nah,0.008
naik,0.008
naikin,0.008
nanah,0.008
nangung,0.008
