term,weight
ada,0.033
adalah,0.052
adera,0.007
admin,0.007
aduh,0.007
agar,0.013
agens,0.007
ah,0.02
ajahahahahahahahahahahaha,0.007
ajaib,0.013
ajak,0.007
akan,0.026
akhir,0.013
akuma,0.007
akun,0.013
alam,0.007
album,0.007
alias,0.007
alis,0.013
ambil,0.007
amin,0.02
an,0.007
anak,0.046
ancor,0.007
anda,0.085
aneh,0.02
angi,0.007
anjg,0.007
antar,0.007
anteng,0.007
apa,0.078
apalagi,0.007
arti,0.007
asal,0.007
asik,0.007
astaga,0.007
atas,0.039
atur,0.007
aul,0.007
awal,0.013
awpa,0.007
ayam,0.007
ayo,0.007
ayodong,0.007
azka,0.013
baca,0.052
badut,0.007
bagaimana,0.013
bagi,0.007
bagus,0.02
bahas,0.007
bahasa,0.007
baik,0.046
bajing,0.007
bakat,0.007
bang,0.007
bangun,0.007
banten,0.007
bantu,0.007
banyak,0.078
banyaq,0.007
baong,0.007
bapak,0.033
bapake,0.007
bareng,0.007
baru,0.065
baso,0.013
batin,0.007
bawa,0.007
bayik,0.007
beban,0.007
begitu,0.039
bekas,0.007
belah,0.007
beli,0.013
belum,0.026
benar,0.091
benci,0.02
bengek,0.007
bentar,0.007
beranda,0.02
berapa,0.026
besar,0.007
besarin,0.007
besok,0.013
bgtbgt,0.007
bgtbgtbgt,0.013
bias,0.007
biasa,0.007
bicara,0.013
bikinin,0.013
bilang,0.007
bimbing,0.007
bingung,0.007
bisa,0.046
blok,0.007
bnrn,0.007
bobby,0.02
bobys,0.007
bodoamat,0.007
bodoh,0.007
bogor,0.007
bola,0.007
bolong,0.007
bom,0.007
bosan,0.013
botak,0.007
brg,0.007
bts,0.007
btsnya,0.007
buat,0.072
bulan,0.02
bunuh,0.007
burique,0.007
butuh,0.007
cakep,0.007
caleuy,0.007
canda,0.007
canot,0.007
cantik,0.007
captionya,0.007
cashless,0.007
catat,0.007
cemil,0.013
cepat,0.02
ceplos,0.007
ceramah,0.007
cerita,0.007
charisma,0.007
chatting,0.013
chubby,0.007
cimin,0.007
cinta,0.007
cireng,0.007
cirengnya,0.007
coba,0.007
cuma,0.026
cuplikanya,0.007
customers,0.013
dana,0.007
dapat,0.02
dari,0.052
dasar,0.013
datar,0.013
dedel,0.007
degdegan,0.013
deh,0.02
del,0.007
delete,0.007
deng,0.007
dengan,0.007
depan,0.013
diam,0.013
dibatalin,0.007
didustain,0.007
difolback,0.007
diganguin,0.007
digantungin,0.007
dikit,0.007
dilancarin,0.007
dimarahin,0.013
diri,0.007
ditunguin,0.007
diwaro,0.007
dnp,0.007
doa,0.026
doang,0.033
dolo,0.007
dong,0.013
dosa,0.007
dosen,0.007
drama,0.02
dukun,0.013
dukung,0.013
dulu,0.013
dunia,0.007
durhaka,0.007
edunya,0.007
egha,0.007
egit,0.007
eh,0.007
ehehe,0.007
ehehehehe,0.007
ekspedisi,0.013
ele,0.007
email,0.007
enak,0.02
faktor,0.007
fangirling,0.013
folowan,0.007
futu,0.013
gadang,0.007
gagal,0.013
galaque,0.007
ganti,0.007
gara,0.007
garis,0.007
gasabar,0.007
gemas,0.026
gendut,0.007
genduwd,0.007
gila,0.013
gin,0.046
gina,0.007
gopay,0.007
gugup,0.013
guru,0.007
habis,0.02
hahahahahah,0.02
hahahahahaha,0.007
hai,0.039
halaman,0.007
hambat,0.007
hambatanya,0.007
han,0.007
hanya,0.013
harap,0.007
hari,0.052
harus,0.013
harwus,0.007
hasil,0.013
hati,0.026
hehehehe,0.007
highlightsnya,0.007
ho,0.007
huf,0.007
hukum,0.007
humoris,0.02
hutang,0.007
hye,0.007
hyo,0.007
ibu,0.039
igin,0.007
ih,0.033
ikan,0.007
iko,0.046
ikon,0.013
ikonics,0.007
ikut,0.013
indah,0.007
inezkristanti,0.007
ingat,0.007
ingin,0.046
ini,0.033
inimah,0.007
inj,0.007
instagram,0.007
insya,0.013
intan,0.007
ip,0.013
ish,0.007
isi,0.013
itu,0.026
iya,0.111
iyasi,0.007
jadi,0.072
jahahahaja,0.007
jala,0.007
jalan,0.007
jam,0.078
jamber,0.007
jaoh,0.013
jasmine,0.007
jauh,0.007
jdnya,0.007
jelek,0.007
jih,0.007
jinx,0.007
jo,0.007
jual,0.007
juga,0.059
jujur,0.007
jujyur,0.007
juni,0.013
juta,0.007
kadang,0.007
kagok,0.007
kalau,0.13
kali,0.039
kalian,0.007
kampus,0.007
kan,0.007
kapan,0.013
karena,0.039
karismatik,0.007
kasih,0.007
kasus,0.007
kata,0.007
kebih,0.007
kecil,0.007
kejut,0.007
kemarin,0.033
ken,0.007
kenan,0.007
kenapa,0.059
keneh,0.007
kenya,0.007
kerja,0.007
kesal,0.026
kesini,0.007
ketemu,0.013
kira,0.013
kirim,0.013
knpsi,0.007
konsen,0.007
konser,0.007
korea,0.013
kreseknyg,0.007
kritis,0.007
kuasa,0.007
kuat,0.007
kulya,0.007
kurang,0.007
kurir,0.013
kwkwkw,0.007
kwkwkwkw,0.007
kyknya,0.007
kyo,0.007
lagi,0.078
lagu,0.007
lah,0.007
lahir,0.007
laki,0.052
laku,0.007
lalu,0.007
lama,0.02
lancar,0.013
langsung,0.046
lapak,0.007
lawan,0.007
layananya,0.007
lebay,0.007
lebih,0.026
lee,0.007
lelah,0.046
lelet,0.007
lengkap,0.007
lihat,0.065
lila,0.007
ls,0.007
lulus,0.013
lupa,0.007
lusa,0.007
maaf,0.013
macam,0.007
mager,0.007
makanya,0.013
makas,0.078
makazi,0.007
makhluk,0.007
makin,0.026
maksa,0.007
malah,0.013
malam,0.02
malas,0.013
maleman,0.007
malu,0.007
mampu,0.007
mana,0.013
manga,0.007
manis,0.013
manusia,0.007
mao,0.007
marah,0.013
masuk,0.007
mau,0.169
mbin,0.007
mcd,0.007
memang,0.013
memberi,0.007
mengunakan,0.007
menikah,0.02
mentemen,0.007
menyingung,0.007
mes,0.02
mesti,0.007
mie,0.007
mimpi,0.039
minggu,0.007
minimum,0.007
mirip,0.013
misi,0.007
modnya,0.013
mohon,0.007
mudik,0.013
mules,0.013
muncul,0.007
murah,0.007
mv,0.007
nah,0.013
nai,0.007
naila,0.007
najla,0.026
name,0.007
nang,0.02
nanges,0.007
nct,0.013
neraka,0.007
