term,weight
ac,0.017
acak,0.035
acara,0.017
ada,0.017
adalah,0.017
adan,0.017
adekmu,0.017
adeknya,0.017
aduh,0.052
aduhaduh,0.017
ah,0.017
aib,0.017
air,0.035
ajak,0.035
ajar,0.017
akhir,0.035
alas,0.035
album,0.017
aman,0.035
ambyar,0.017
amin,0.035
anak,0.035
anda,0.208
apa,0.035
apas,0.017
asik,0.017
astaga,0.035
ayam,0.017
ayo,0.139
bab,0.017
bagus,0.017
bahagia,0.052
baik,0.035
baikbaik,0.017
baju,0.052
balon,0.017
bambang,0.017
banding,0.017
bangun,0.017
banyak,0.035
bapak,0.017
bareng,0.017
baru,0.035
bawah,0.017
beda,0.052
begini,0.017
begitu,0.035
beli,0.035
belum,0.035
benar,0.017
besok,0.035
bilang,0.017
bingung,0.017
bintang,0.017
bismillah,0.017
blok,0.017
bodoh,0.035
boleh,0.052
bolong,0.017
bren,0.017
brenda,0.017
brngkt,0.017
bts,0.017
buat,0.069
buka,0.035
bukan,0.035
buku,0.017
bunga,0.017
butuh,0.017
caplok,0.017
ceker,0.017
celaka,0.035
cemil,0.017
cepat,0.017
cuci,0.017
da,0.017
daftar,0.017
dalam,0.017
darah,0.017
dekat,0.017
dengan,0.017
depan,0.017
dhe,0.017
dia,0.017
diapain,0.017
diket,0.035
dil,0.017
dinotice,0.017
disuruh,0.017
doang,0.017
dokter,0.017
dong,0.069
dora,0.017
dosbing,0.017
dosen,0.017
dp,0.035
drama,0.035
duduk,0.017
dulu,0.069
dunia,0.017
ehe,0.052
erna,0.035
eror,0.035
es,0.017
fail,0.017
fokus,0.017
foto,0.017
gabaca,0.017
gake,0.017
galantin,0.017
ganti,0.035
garong,0.017
gembira,0.017
gertak,0.017
ges,0.017
gesa,0.017
gila,0.035
gilagilagila,0.017
gocar,0.017
gondes,0.017
gorden,0.017
gulir,0.017
hadu,0.035
haha,0.035
hakim,0.017
hamdalah,0.017
hanya,0.017
hari,0.052
haru,0.017
hati,0.017
heuheu,0.017
hibur,0.017
hidup,0.035
hilang,0.017
hoh,0.035
hormat,0.017
hujan,0.017
humoris,0.017
ibu,0.017
igninku,0.017
improvisasi,0.017
imutnya,0.017
ingat,0.017
ini,0.052
instagram,0.017
intai,0.017
isi,0.017
itu,0.087
iur,0.017
iya,0.121
jadi,0.104
jajan,0.017
jalan,0.017
jam,0.035
jdnya,0.017
jelajah,0.017
jenius,0.017
juga,0.035
jumat,0.017
kadang,0.017
kalah,0.017
kalau,0.069
kali,0.035
kalian,0.017
kan,0.087
kapan,0.035
karena,0.035
kartu,0.017
kata,0.035
kecil,0.017
kejut,0.052
kelelawar,0.017
keluh,0.017
kema,0.017
kemarin,0.017
ken,0.052
kenapa,0.052
kereta,0.017
kerja,0.017
kesana,0.017
ketemu,0.017
kirim,0.017
kiyowo,0.017
kn,0.017
knmu,0.017
konco,0.017
kopel,0.035
korban,0.017
krim,0.017
ksl,0.017
kuku,0.017
kulonprogo,0.017
