term,weight
aa,0.024
aci,0.012
acne,0.024
acnes,0.012
ada,0.012
aduh,0.012
agar,0.024
ah,0.024
aha,0.012
air,0.024
ajar,0.024
akad,0.012
akan,0.024
akhir,0.024
ala,0.012
alat,0.012
alkohol,0.012
aloe,0.024
aman,0.012
anak,0.012
anda,0.121
aneh,0.012
angkat,0.012
angke,0.012
aniv,0.012
anti,0.012
apa,0.121
apaitu,0.012
apatuh,0.012
aprilmop,0.012
arang,0.012
ariul,0.012
arti,0.012
asli,0.012
asyhadu,0.012
atau,0.012
ayah,0.012
ayam,0.109
ayat,0.012
ayeuna,0.012
ayo,0.06
baba,0.012
babi,0.012
bagus,0.012
bahagia,0.012
bahasa,0.012
bahkan,0.012
baik,0.072
baiq,0.012
bakar,0.012
bandung,0.012
bangun,0.048
banyak,0.012
baru,0.036
baso,0.012
batgal,0.012
bau,0.024
bawa,0.012
bawah,0.012
bedebah,0.012
begitu,0.084
behel,0.012
bekas,0.06
beli,0.036
belum,0.012
benarkan,0.012
berapa,0.012
berekspektasi,0.012
besar,0.024
besok,0.012
bha,0.012
bhsnya,0.012
biasa,0.024
bicara,0.024
bimbing,0.012
bisa,0.012
bisabisa,0.012
bisnis,0.012
bks,0.024
bnr,0.012
boleh,0.012
botol,0.024
brebes,0.012
bright,0.012
buat,0.084
bukan,0.036
bunda,0.012
bunuh,0.012
bunyi,0.012
butuh,0.012
ca,0.024
cadel,0.012
cahaya,0.024
calming,0.024
calon,0.012
campur,0.012
campuranya,0.012
candu,0.012
cause,0.012
cemil,0.048
cenderung,0.012
cepat,0.024
cerah,0.012
chin,0.012
cimahi,0.012
citra,0.024
coba,0.024
coban,0.012
copid,0.012
coronanya,0.012
crispi,0.012
cukup,0.012
cumuk,0.012
da,0.024
daebak,0.012
daging,0.012
damai,0.012
damang,0.012
dan,0.036
dap,0.012
dapat,0.012
darat,0.048
dari,0.024
darimana,0.012
datang,0.012
deh,0.012
di,0.024
didpn,0.012
dijadin,0.012
direktur,0.012
dishope,0.012
diskon,0.012
doa,0.012
doang,0.012
dom,0.012
dong,0.024
drakoran,0.012
drama,0.024
dukun,0.012
dulu,0.012
dunia,0.024
edan,0.012
emina,0.036
enak,0.036
enakeun,0.024
euy,0.048
exe,0.012
exfo,0.012
expo,0.012
favorit,0.012
fw,0.024
gabikin,0.012
gadikirim,0.012
galak,0.012
gani,0.012
garnier,0.024
gasekarang,0.012
gatelnya,0.012
ge,0.012
gelap,0.012
gen,0.012
gentle,0.024
geprek,0.024
gin,0.024
glownecesities,0.012
gm,0.012
godtea,0.012
goreng,0.012
gratis,0.012
grentea,0.012
gugur,0.012
hadalabo,0.072
haduh,0.012
haha,0.012
hai,0.06
haikal,0.012
hamba,0.012
hangat,0.012
harga,0.012
hari,0.036
has,0.024
hatimah,0.012
headphones,0.012
henti,0.096
hijau,0.024
hilang,0.012
hilih,0.012
hydramild,0.012
ibu,0.048
ikhlas,0.012
ikut,0.181
ikuti,0.096
ikutin,0.012
imam,0.012
in,0.012
ini,0.036
instagram,0.012
introvert,0.012
iqro,0.012
iritasi,0.012
istirahat,0.024
itaewon,0.024
itu,0.048
iya,0.121
iyaudah,0.012
jadi,0.06
jaga,0.012
jantung,0.012
jatuh,0.036
jauh,0.012
jelang,0.012
jer,0.036
jerawat,0.024
jeruk,0.012
jika,0.012
jodoh,0.012
kabel,0.012
kabul,0.012
kado,0.012
kalah,0.012
kalau,0.145
kaldu,0.012
kali,0.036
kan,0.012
karena,0.048
kasar,0.036
kedlm,0.012
kelas,0.024
kelinci,0.012
keluar,0.024
keluh,0.012
kemahasiswan,0.012
kemas,0.012
kembali,0.012
kena,0.012
kenapa,0.06
kepala,0.024
kering,0.024
kerja,0.036
kesini,0.012
kieu,0.012
kirim,0.024
kita,0.012
koda,0.012
kopi,0.012
korea,0.012
kulit,0.048
kuman,0.012
kunci,0.012
kurang,0.012
kurangtau,0.012
kurikulum,0.012
kursi,0.012
lagi,0.024
lahir,0.012
laki,0.06
lama,0.024
lamongan,0.012
langsung,0.012
lathi,0.012
lebih,0.072
lelucon,0.012
lembab,0.024
lembap,0.024
lewat,0.024
lilin,0.012
listrik,0.012
locationya,0.012
loncat,0.012
lulus,0.024
maaf,0.012
mabar,0.012
maghrib,0.012
maha,0.012
makas,0.012
malemnya,0.012
maling,0.012
malu,0.024
mana,0.036
manga,0.024
maret,0.024
masa,0.012
masbrow,0.012
masker,0.012
masuk,0.012
mata,0.012
mati,0.012
mau,0.096
may,0.012
mc,0.012
megang,0.012
melek,0.012
memang,0.036
menang,0.012
meni,0.024
menit,0.012
merem,0.012
mereun,0.036
minum,0.012
misi,0.036
mobil,0.012
modar,0.012
motong,0.012
motor,0.012
muhun,0.012
mulai,0.012
murah,0.012
musibah,0.012
musim,0.012
mw,0.012
nagih,0.012
naik,0.012
nama,0.012
nangor,0.012
narik,0.012
nasional,0.012
natrep,0.012
natural,0.024
naung,0.012
ndor,0.012
ndra,0.012
neh,0.012
nelfon,0.012
ngelebihin,0.012
ngelembapin,0.012
ngombe,0.012
ngopinya,0.012
ngurangin,0.012
niacin,0.012
nis,0.024
nivea,0.012
nub,0.012
nya,0.036
nyala,0.048
nyatu,0.012
nyerap,0.012
oily,0.012
oke,0.06
oleh,0.229
omong,0.024
ongkir,0.012
online,0.036
ooh,0.012
orang,0.277
ot,0.012
otak,0.012
otomatis,0.229
pacar,0.048
padahal,0.012
paham,0.024
pakai,0.109
palentine,0.012
paman,0.012
panas,0.012
pantai,0.012
parah,0.036
parasit,0.012
parfume,0.012
parsel,0.012
pasang,0.012
peka,0.024
pemeriksan,0.012
penasaran,0.024
pengirim,0.048
penyet,0.012
perabot,0.012
perempuan,0.012
periksa,0.241
pernah,0.024
pertama,0.036
pesan,0.012
pikir,0.036
pingsan,0.012
pixi,0.012
ponds,0.012
posesif,0.012
primajasa,0.012
produk,0.024
proposal,0.012
ps,0.012
ptpt,0.012
punya,0.024
purging,0.012
pusing,0.012
putih,0.024
rabu,0.012
rampok,0.012
ranked,0.012
rasa,0.036
rasanyakan,0.012
reformasi,0.012
resap,0.012
riah,0.012
rindu,0.012
ringan,0.012
rumah,0.06
rumput,0.012
safi,0.024
saja,0.06
sakit,0.024
salah,0.012
sama,0.121
sampah,0.012
sampai,0.084
saran,0.012
satisfying,0.012
satu,0.217
saudara,0.301
saya,0.386
sbm,0.012
seaweed,0.012
sederhana,0.012
sedih,0.012
segala,0.012
segera,0.012
sekali,0.06
sekarang,0.012
selamat,0.012
selasa,0.012
sembari,0.012
semester,0.012
seminar,0.012
semoga,0.012
semprow,0.012
semua,0.012
senang,0.012
sendiri,0.012
sesal,0.012
siaga,0.012
sial,0.012
siap,0.048
sidang,0.024
sikm,0.012
sini,0.024
skincarenya,0.012
skintype,0.024
smb,0.012
soal,0.012
sorinih,0.012
soto,0.012
spam,0.012
sr,0.012
stlhnya,0.012
stopped,0.012
subuh,0.012
sudah,0.121
sudzon,0.012
suir,0.012
suka,0.012
sung,0.012
syukur,0.024
tadarus,0.012
tahu,0.036
takut,0.024
tambah,0.012
tambun,0.024
tanda,0.012
tangga,0.012
tanya,0.036
tawa,0.084
teh,0.024
telepon,0.012
teman,0.024
tempat,0.012
terimakasih,0.06
terlalu,0.012
tiang,0.012
tiap,0.012
tidak,0.193
tidur,0.084
tinggal,0.024
titik,0.012
toko,0.012
toner,0.024
tonik,0.024
tonton,0.024
tox,0.012
tua,0.012
tuhan,0.06
tunda,0.012
tunggu,0.012
tunjuk,0.012
turut,0.012
ubah,0.012
udara,0.012
ujian,0.012
ulah,0.012
ulas,0.012
untuk,0.012
usah,0.012
use,0.012
vera,0.012
video,0.012
vik,0.012
visio,0.012
viu,0.012
wajah,0.012
waktu,0.036
wangi,0.012
wanita,0.012
wardah,0.024
warna,0.012
warteg,0.012
warung,0.012
wasap,0.012
wib,0.024
ya,0.024
yang,0.06
yap,0.012
yatuhanku,0.012
yuja,0.012
yup,0.012
