term,weight
abai,0.006
able,0.006
acak,0.019
ada,0.019
adalah,0.099
admin,0.025
aduh,0.006
adulthood,0.006
aek,0.025
agar,0.006
aging,0.006
agustus,0.044
ajak,0.006
ajar,0.068
akan,0.044
akhir,0.056
alam,0.012
alot,0.006
aman,0.006
ambivert,0.006
an,0.006
anak,0.006
anda,0.336
aneh,0.012
angels,0.006
anggap,0.006
anjur,0.006
anyone,0.006
apa,0.05
aqu,0.006
aqua,0.006
arus,0.006
asa,0.025
asi,0.006
asing,0.006
assisted,0.006
atau,0.006
atc,0.006
aula,0.006
aung,0.006
awal,0.012
ayah,0.006
ayam,0.006
aykmts,0.006
baca,0.087
badan,0.006
bagaimana,0.056
bagan,0.012
bagi,0.025
bahagia,0.006
bahkan,0.012
baibai,0.006
baik,0.037
baju,0.006
balik,0.025
ballroom,0.006
banci,0.006
bandal,0.006
bang,0.019
bantu,0.006
banyak,0.044
bapak,0.006
barang,0.006
baru,0.025
batas,0.012
batu,0.012
bayar,0.006
bayi,0.006
bebal,0.006
beban,0.006
bebas,0.006
beda,0.012
begitu,0.012
bel,0.012
beli,0.012
belum,0.006
benar,0.019
benci,0.012
benda,0.019
bengkalai,0.006
bentuk,0.006
berapa,0.012
berat,0.006
beri,0.006
besar,0.012
besok,0.006
bhayangkara,0.006
biadab,0.006
biasa,0.019
bibir,0.006
bicara,0.019
bikinin,0.006
biru,0.006
bisa,0.081
bogyoke,0.006
boks,0.006
bonding,0.006
boneng,0.006
breathe,0.006
brighter,0.006
bringing,0.006
brushing,0.006
buat,0.056
buatin,0.006
bubuk,0.006
bubur,0.006
budha,0.006
buka,0.019
bukan,0.006
buket,0.006
bulan,0.031
bunyi,0.006
buruk,0.006
busines,0.006
butuh,0.031
cahaya,0.019
calon,0.006
camat,0.012
canda,0.006
candi,0.006
cara,0.037
cared,0.006
cari,0.012
cause,0.006
cc,0.012
celah,0.006
cemil,0.044
centre,0.012
cepat,0.006
chauk,0.006
chrie,0.006
cie,0.006
cinta,0.044
co,0.006
coba,0.025
cokies,0.006
combacks,0.006
comes,0.006
comfy,0.006
consumed,0.006
corona,0.006
couldnt,0.006
counted,0.006
counting,0.006
cozy,0.006
created,0.006
cuci,0.006
culik,0.006
cuma,0.006
currently,0.006
cyanosis,0.006
da,0.006
dada,0.006
daftar,0.006
damai,0.006
dan,0.199
dapat,0.044
darah,0.006
dari,0.131
daripada,0.012
datang,0.006
days,0.012
debar,0.006
dec,0.006
dekat,0.006
dengan,0.124
dental,0.006
denture,0.006
depan,0.006
deras,0.006
derita,0.006
des,0.006
desinfektan,0.006
di,0.031
dia,0.025
diam,0.006
didnt,0.006
dikatain,0.006
dilema,0.012
dimana,0.012
diri,0.006
disko,0.006
diskusi,0.006
doa,0.006
doang,0.006
doesnt,0.006
dorong,0.019
drg,0.019
dude,0.006
dulu,0.012
dunia,0.006
during,0.006
dusun,0.019
ed,0.006
edisi,0.006
efektif,0.006
eh,0.006
eid,0.006
ekspresi,0.006
elus,0.006
emi,0.006
enam,0.006
epik,0.006
exploring,0.025
fase,0.006
favourite,0.006
fisik,0.006
fit,0.006
fkg,0.031
flowers,0.006
fokus,0.006
foto,0.006
friends,0.006
ft,0.006
gambar,0.006
game,0.019
games,0.012
ganti,0.006
garis,0.006
gastritis,0.012
gembira,0.006
gigi,0.031
gigit,0.006
gin,0.019
goals,0.006
gone,0.006
gostryaldica,0.006
grabfod,0.006
grabnya,0.019
gratis,0.006
grup,0.012
gtc,0.006
guru,0.006
gyi,0.006
habis,0.012
hacks,0.006
hadap,0.006
hadiah,0.006
hahahahahaha,0.006
hakim,0.012
hancur,0.006
hanya,0.05
happens,0.006
harap,0.012
harga,0.006
hari,0.106
harta,0.006
harus,0.012
has,0.006
hati,0.025
heavy,0.006
hebat,0.012
hendry,0.006
hendryrusdy,0.006
hidup,0.025
his,0.012
hitung,0.006
hitz,0.006
hore,0.006
htet,0.006
hujan,0.006
ide,0.006
idgaf,0.006
ii,0.006
ikut,0.006
impulsif,0.006
in,0.081
indonesia,0.006
inem,0.006
ingat,0.012
ingin,0.019
ini,0.068
installing,0.006
instan,0.006
internasional,0.006
irithel,0.006
irreplaceable,0.006
isolasi,0.006
istana,0.006
istirahat,0.006
istri,0.006
itu,0.311
iya,0.019
jadi,0.155
jahat,0.006
jajan,0.006
jalan,0.006
jalar,0.006
jam,0.025
jaman,0.012
jantung,0.012
jari,0.006
jatuh,0.006
jauh,0.006
jelajah,0.006
jembatan,0.006
jenis,0.006
jerawat,0.006
jijik,0.006
jika,0.006
jl,0.006
judul,0.006
juga,0.031
juli,0.019
jumat,0.025
jumpa,0.006
juni,0.006
kaki,0.006
kalah,0.006
kalau,0.031
kali,0.012
kamar,0.019
kamis,0.012
kan,0.012
kandawgyi,0.006
kantongin,0.006
kapan,0.012
kapasitas,0.006
karantina,0.006
karaweik,0.006
karena,0.012
kasi,0.012
kasih,0.025
katedral,0.006
kati,0.012
kawat,0.006
kayak,0.012
kdrama,0.006
kecil,0.006
kelam,0.006
kelas,0.012
kelompok,0.006
keluar,0.019
kembali,0.012
kembar,0.006
kena,0.012
kenal,0.012
kenapa,0.019
keras,0.031
kerjasama,0.006
ketemu,0.006
keter,0.006
ketika,0.106
ketrampilan,0.012
khas,0.012
khusus,0.006
kiddos,0.006
kindly,0.006
kira,0.006
kirim,0.006
kissed,0.006
kita,0.012
klenteng,0.025
klik,0.006
klinik,0.006
kn,0.012
koas,0.006
koki,0.006
komunikasi,0.006
kondangan,0.006
kondisi,0.006
kongsi,0.006
konvensi,0.006
kopi,0.019
kota,0.019
koyak,0.006
krishna,0.006
kuat,0.006
kuatir,0.006
kucing,0.012
kue,0.006
kulino,0.006
kulit,0.006
kumat,0.006
kutik,0.006
laboratorium,0.012
labuh,0.012
labura,0.012
laburaq,0.006
lagi,0.019
laki,0.056
lalu,0.006
lama,0.012
lambung,0.006
langit,0.012
langsung,0.012
lanjut,0.019
latih,0.006
le,0.012
least,0.006
lebar,0.006
lebaran,0.006
lebih,0.012
legendaries,0.006
lekuk,0.006
lengkap,0.012
lewat,0.006
libur,0.012
lihat,0.068
lingkar,0.006
lisan,0.012
litak,0.031
lontong,0.006
look,0.012
lukis,0.006
lulus,0.006
lupa,0.006
lurus,0.006
maaf,0.012
maag,0.012
mahabandula,0.006
maintain,0.006
makan,0.019
makin,0.019
making,0.006
maksud,0.006
malah,0.012
malam,0.025
malas,0.006
mampu,0.006
mana,0.019
manusia,0.006
marathon,0.006
mary,0.006
masa,0.012
masak,0.006
masalah,0.019
masih,0.019
masuk,0.025
masyarakat,0.006
matahari,0.006
mates,0.006
mati,0.012
matin,0.006
mau,0.025
may,0.012
mdsc,0.006
medan,0.006
menang,0.006
menikah,0.012
mental,0.006
merah,0.006
mereka,0.037
