term,weight
abadi,0.007
absolutely,0.007
acak,0.007
acara,0.021
ada,0.064
adalah,0.007
adan,0.007
agustus,0.007
ah,0.007
air,0.014
ajar,0.029
akan,0.05
akhir,0.021
aktivitas,0.007
akun,0.007
alir,0.007
almetnya,0.007
alrady,0.007
ambiguitas,0.007
ambil,0.014
ambis,0.014
amizah,0.007
ampun,0.007
an,0.007
anak,0.064
anda,0.107
aneh,0.007
antem,0.007
apa,0.107
apps,0.007
arah,0.007
asli,0.021
asuh,0.007
atas,0.029
atraksi,0.007
ayo,0.014
baca,0.05
badan,0.007
bagaimana,0.05
bagi,0.021
bagudung,0.007
bah,0.007
bahkan,0.007
baik,0.014
baju,0.021
bakwan,0.007
balas,0.021
balek,0.007
balik,0.029
bandungfes,0.007
bang,0.007
bangkit,0.014
bantu,0.014
bantuanya,0.007
banya,0.007
banyak,0.05
bapak,0.043
baru,0.057
bata,0.007
batal,0.007
batas,0.014
baterai,0.014
bau,0.007
bawa,0.043
bayang,0.007
bayangin,0.007
bayar,0.029
bayarin,0.007
beasiswa,0.007
beda,0.007
begimana,0.007
begini,0.007
begitu,0.1
belanja,0.007
beli,0.093
beliau,0.007
belikan,0.007
belum,0.021
benar,0.036
bendera,0.007
benjol,0.007
bentuk,0.014
berani,0.014
berapa,0.007
berat,0.007
beri,0.014
besar,0.036
betah,0.007
betul,0.007
biadab,0.007
biasa,0.021
bicara,0.007
biji,0.014
bilang,0.036
bimbel,0.007
bingung,0.021
bisa,0.057
blog,0.007
bobot,0.007
bolak,0.007
bonceng,0.007
bosan,0.007
buah,0.007
buang,0.007
buat,0.207
buaya,0.007
budak,0.007
budaya,0.007
bujank,0.007
bujur,0.007
buk,0.014
buka,0.014
bukan,0.007
buku,0.014
bulan,0.021
bungkus,0.007
bunuh,0.007
busa,0.007
butir,0.007
butuh,0.014
cabai,0.007
cacing,0.007
cahaya,0.029
cakep,0.007
camaba,0.007
cantik,0.014
cara,0.029
cari,0.014
caring,0.007
cat,0.007
celana,0.007
cemil,0.007
cengengesan,0.007
cepat,0.029
cerah,0.007
cerita,0.007
cimol,0.007
cina,0.014
cinta,0.014
coba,0.043
colok,0.007
copot,0.021
corona,0.029
couplean,0.007
cuci,0.007
cukup,0.007
cuma,0.036
curhatan,0.007
curiga,0.007
curious,0.007
dadah,0.014
dadak,0.007
dadang,0.014
daftar,0.014
damai,0.007
dan,0.014
danusan,0.007
dapat,0.021
darah,0.007
dari,0.007
datang,0.014
daya,0.007
debut,0.014
dedi,0.014
deep,0.007
deh,0.007
dek,0.007
dekat,0.007
deketan,0.007
delegasi,0.007
dengan,0.021
dengar,0.007
depa,0.007
depan,0.029
desa,0.007
di,0.036
dia,0.021
diadain,0.007
diajarin,0.007
diam,0.007
dibalikin,0.007
dicurigain,0.007
did,0.007
dikabulin,0.007
diliatin,0.007
dipangil,0.007
diri,0.036
disi,0.007
doa,0.029
doang,0.029
donat,0.007
dong,0.029
dulu,0.057
dunia,0.014
eh,0.007
ejek,0.007
elah,0.007
emosi,0.007
endang,0.007
enggan,0.007
enji,0.007
era,0.007
esai,0.007
escobar,0.014
fatmawati,0.007
festival,0.014
film,0.007
fisik,0.007
flanel,0.007
formal,0.007
foto,0.021
gabagus,0.007
gadis,0.007
gagal,0.021
gaji,0.007
galon,0.014
gambar,0.007
gang,0.007
ganti,0.029
gara,0.014
gas,0.014
gedeg,0.007
gedung,0.007
gelincir,0.014
gelud,0.007
gemerlap,0.007
gemeteran,0.007
george,0.007
gin,0.036
gojek,0.007
gopay,0.007
gosok,0.007
goyang,0.014
gratis,0.014
guaranteed,0.007
guis,0.007
habis,0.05
hadap,0.007
hai,0.021
hajat,0.007
hal,0.007
handphone,0.007
hangat,0.007
hantam,0.007
hantu,0.014
hanya,0.007
hapenya,0.007
harga,0.029
hari,0.057
harta,0.007
harus,0.029
hasil,0.036
hati,0.036
hatur,0.007
heartwarming,0.007
hebat,0.014
helm,0.007
hembus,0.007
hias,0.007
hidup,0.014
hijau,0.014
hilang,0.029
hiri,0.007
hsk,0.007
hubung,0.021
humba,0.007
humoris,0.007
huwala,0.007
ibu,0.036
ibuknya,0.007
ikan,0.007
ikhlas,0.007
iklan,0.007
ikut,0.029
impi,0.007
in,0.014
ingat,0.021
ingin,0.007
ini,0.036
insomnia,0.007
inspirasi,0.007
inti,0.007
isi,0.043
istana,0.007
istri,0.021
itb,0.007
itu,0.079
iya,0.029
jadi,0.179
jaga,0.007
jahit,0.007
jajan,0.021
jakarta,0.007
jalan,0.057
jam,0.021
jaman,0.007
jantung,0.007
jarak,0.014
jari,0.014
jasjus,0.007
jauh,0.021
jawab,0.007
jaya,0.007
jeda,0.014
jedot,0.007
jelasin,0.007
jemput,0.007
jepang,0.007
jijik,0.007
jika,0.007
jiwa,0.007
joget,0.014
jomblo,0.007
jual,0.029
juga,0.014
jurig,0.007
jurus,0.007
jurusanya,0.007
juta,0.007
kabung,0.007
kabur,0.007
kadaluwarsanya,0.007
kadang,0.007
kaki,0.014
kalah,0.021
kalau,0.257
kalem,0.007
kali,0.043
kalian,0.007
kaligrafi,0.007
kamar,0.007
kampanye,0.007
kampus,0.021
kan,0.036
kandung,0.007
kaos,0.007
karena,0.007
kartu,0.014
kasih,0.036
kasihan,0.007
kasus,0.007
kata,0.029
katain,0.007
ke,0.007
kecil,0.014
kedapetan,0.007
kegabutan,0.007
kelas,0.021
keliling,0.007
kelola,0.007
keluar,0.007
kembali,0.007
kembang,0.007
kemudian,0.007
ken,0.014
kena,0.007
kenapa,0.05
kepala,0.007
kepikirian,0.007
keranjang,0.007
keras,0.007
kerja,0.021
kerudung,0.007
kesal,0.007
keunfol,0.007
kinclong,0.007
kira,0.036
kirim,0.029
kita,0.029
kompak,0.007
kontak,0.014
konte,0.007
koran,0.007
krama,0.007
kredit,0.007
krem,0.007
kuat,0.007
kuesioner,0.007
kujelasin,0.007
kuliah,0.014
kumpul,0.007
kung,0.007
kuning,0.014
lagi,0.014
lagu,0.014
lah,0.014
lain,0.014
laki,0.064
laku,0.007
lalu,0.014
lama,0.043
langka,0.007
langsung,0.029
lawak,0.007
layang,0.007
lebaran,0.007
lebih,0.014
lelah,0.014
lem,0.007
lengket,0.007
lepas,0.007
lepuh,0.007
lewat,0.036
lho,0.007
libat,0.007
lihat,0.071
lingkar,0.029
lingkung,0.007
linknya,0.007
lirik,0.007
listrik,0.014
literasi,0.007
locked,0.007
lomba,0.007
loveable,0.007
loved,0.007
ltmptnya,0.007
lucu,0.007
luka,0.007
lulus,0.007
lumayan,0.007
lumpur,0.007
lupa,0.014
maaf,0.014
mabuk,0.007
mahasiswa,0.007
mahir,0.007
mainin,0.007
maju,0.007
mak,0.014
makin,0.014
malah,0.036
malam,0.007
malas,0.014
malemnya,0.007
mampu,0.014
mana,0.064
mandarin,0.007
manga,0.007
maniez,0.007
mantan,0.007
mantepnya,0.007
marah,0.014
marahin,0.007
mas,0.007
masa,0.014
masak,0.007
masalah,0.014
masang,0.007
masih,0.014
masuk,0.021
mata,0.007
matdas,0.007
matematika,0.007
mati,0.014
matic,0.014
matkul,0.014
mau,0.207
mauk,0.014
meanwhile,0.007
medan,0.007
memang,0.021
memori,0.007
menang,0.014
menfes,0.007
menit,0.007
mentang,0.014
mentok,0.007
menurut,0.007
merinding,0.007
merknya,0.007
meski,0.007
mesti,0.021
mie,0.014
mienya,0.007
milik,0.007
minat,0.007
mineral,0.007
mini,0.007
minimum,0.007
minta,0.007
minum,0.007
minyak,0.007
mio,0.007
mirip,0.007
misi,0.007
miskin,0.007
miso,0.007
mnangis,0.007
mnlpon,0.007
mobil,0.007
motif,0.007
motor,0.036
mr,0.007
muda,0.007
mudah,0.007
muka,0.014
mulai,0.007
mulus,0.007
mulut,0.007
mumet,0.007
mundur,0.007
mungkin,0.014
mutualan,0.007
nabrak,0.007
nadin,0.007
naik,0.036
nama,0.043
nan,0.007
nanti,0.014
nanyain,0.007
nari,0.007
nastar,0.007
neraka,0.014
ngadat,0.007
ngampusku,0.007
ngantri,0.007
ngegores,0.007
ngegowes,0.007
ngejudge,0.007
ngelawan,0.007
ngelayap,0.007
ngelekat,0.007
ngelewatin,0.007
ngiderin,0.007
ngikut,0.007
nice,0.007
ningalin,0.007
noda,0.007
notabene,0.007
nth,0.007
nuhun,0.007
numpang,0.007
nuna,0.007
nyala,0.007
nyantumin,0.007
nyata,0.029
nyebrang,0.007
nyepam,0.007
nyumbang,0.007
obrol,0.014
oh,0.007
oke,0.007
oleh,0.007
omong,0.05
online,0.007
opini,0.007
orang,0.036
ormas,0.007
osn,0.007
ot,0.007
overseas,0.007
pacar,0.014
pada,0.007
padahal,0.007
pager,0.007
pait,0.007
pakai,0.043
paling,0.007
pamer,0.007
pancakes,0.007
panggil,0.007
panjang,0.014
panjat,0.007
pantomim,0.007
pasang,0.007
pasca,0.007
patah,0.007
patok,0.007
pegang,0.007
pena,0.007
pendapat,0.007
pengirim,0.021
penuh,0.007
peras,0.014
percaya,0.007
percuma,0.007
pergeprekan,0.007
pergi,0.021
periksa,0.007
perlahan,0.007
pernah,0.05
persegi,0.021
persona,0.007
pertama,0.021
pesan,0.007
pesona,0.007
piagam,0.007
pikir,0.021
pilih,0.014
pintar,0.05
pipih,0.007
piyama,0.007
plastik,0.007
pln,0.007
pocong,0.007
pol,0.007
pola,0.014
polusi,0.014
posisi,0.007
presiden,0.007
presidenya,0.007
prestasi,0.007
pria,0.021
profil,0.007
provinsi,0.007
ps,0.007
psst,0.007
pulang,0.021
pun,0.007
puncak,0.014
punya,0.05
pusing,0.014
putar,0.007
putus,0.007
quora,0.007
racun,0.007
rahasia,0.007
rahasiabulan,0.007
raja,0.007
ramai,0.007
rambut,0.014
rapuh,0.007
rasa,0.021
rasionalisasi,0.007
raya,0.007
rebah,0.007
rebu,0.014
rebus,0.007
refresh,0.007
rekening,0.007
rem,0.014
rencana,0.014
reparasi,0.007
ribut,0.014
rindu,0.007
risol,0.036
riyi,0.007
roda,0.007
rumah,0.079
rumit,0.007
rusak,0.021
rx,0.007
saat,0.014
sabtu,0.007
sadar,0.007
sahabat,0.021
saja,0.064
salah,0.021
salur,0.007
sama,0.2
sambil,0.007
sambut,0.007
sampah,0.007
sampai,0.057
samsung,0.007
sana,0.007
santai,0.007
sapu,0.007
saran,0.007
sasageyo,0.014
sascin,0.007
satu,0.036
saudara,0.086
saya,0.457
sayang,0.014
sayap,0.007
sbmptn,0.007
sebar,0.007
sebentar,0.021
sebuah,0.021
sedia,0.021
sedih,0.014
segi,0.007
sehat,0.007
sejak,0.007
sejarah,0.007
sekali,0.107
sekarang,0.043
sekolah,0.007
sekte,0.014
selalu,0.007
selamat,0.007
selera,0.014
selesai,0.014
selingkuh,0.007
selingkuhanya,0.007
selingkuhin,0.007
semangat,0.007
semata,0.007
sembah,0.007
semester,0.007
sempat,0.007
semua,0.029
sendal,0.007
sendiri,0.057
sentuh,0.007
senyum,0.007
sepatu,0.007
sepeda,0.036
seperti,0.164
sepi,0.014
sering,0.029
sertifikat,0.007
sesat,0.007
seseorang,0.007
setan,0.014
setuju,0.007
shiva,0.007
sial,0.014
siap,0.007
siapa,0.043
sih,0.043
silimit,0.007
simpang,0.007
sini,0.021
sisi,0.007
sistem,0.014
siwon,0.014
slayed,0.007
soal,0.107
soekarno,0.021
sopan,0.007
sorai,0.007
sore,0.014
soshum,0.007
sosial,0.007
sounds,0.007
sparepartnya,0.007
speak,0.007
spons,0.007
squarline,0.007
stok,0.007
struk,0.007
suami,0.007
suatu,0.007
sudah,0.143
suka,0.05
sumbang,0.014
sungguh,0.007
super,0.007
supirnya,0.007
surat,0.043
suruh,0.014
susah,0.007
susu,0.007
tabrak,0.007
tabung,0.007
tadi,0.014
taeyeon,0.007
tagihanya,0.007
tahan,0.007
tahu,0.05
tahun,0.036
taken,0.007
takut,0.007
tampan,0.007
tangguh,0.007
tani,0.007
tanya,0.021
tarik,0.007
tayang,0.007
tebak,0.007
tebar,0.007
tegang,0.007
tekan,0.007
teknisi,0.014
teladan,0.007
telat,0.021
telepon,0.007
televisi,0.007
teman,0.05
temenan,0.007
tempat,0.007
temu,0.014
terang,0.007
terbang,0.014
terima,0.029
terimakasih,0.029
terlalu,0.007
tertawa,0.007
terus,0.107
tetangaku,0.007
tetap,0.021
thom,0.007
thr,0.007
tiap,0.043
tidak,0.414
tidur,0.007
tim,0.007
toko,0.007
tolong,0.007
tonton,0.007
topi,0.007
topik,0.021
trans,0.007
trial,0.007
truf,0.014
tugas,0.029
tugu,0.007
tuhan,0.007
tukang,0.029
tukar,0.007
tulis,0.007
tunggu,0.021
tunjuk,0.007
turun,0.021
tutup,0.021
typing,0.007
uang,0.014
ubi,0.007
uhuy,0.007
ui,0.007
uin,0.007
uji,0.007
ujung,0.007
umat,0.007
unboxing,0.007
untuk,0.029
untung,0.007
usaha,0.007
usia,0.007
utama,0.021
utbk,0.029
utbknya,0.007
video,0.007
visi,0.007
vlog,0.007
wadu,0.007
wajib,0.007
waktu,0.057
walaupun,0.007
wanita,0.036
warna,0.021
warung,0.014
webton,0.007
wisata,0.007
wushu,0.007
ya,0.029
yang,0.086
youtube,0.014
yow,0.007
yudi,0.007
yummy,0.007
yutuber,0.007
zona,0.014
zumba,0.007
