term,weight
abal,0.011
ada,0.022
adalah,0.011
adil,0.011
agak,0.011
agama,0.006
agar,0.028
ajar,0.056
akan,0.039
akhir,0.028
akun,0.006
ala,0.006
alis,0.011
almarhum,0.006
alur,0.006
ambil,0.011
amburadul,0.006
anak,0.022
anatomi,0.022
anda,0.135
aneh,0.006
anemia,0.011
antara,0.006
antusias,0.006
anymore,0.006
apa,0.095
apd,0.006
april,0.006
arus,0.006
asli,0.039
astaga,0.011
atas,0.017
atur,0.011
awal,0.006
awat,0.067
ayo,0.017
baca,0.067
badan,0.006
bagaimana,0.034
bagi,0.006
bagus,0.006
bahagia,0.011
bahaya,0.006
bahkan,0.028
baik,0.039
bajing,0.017
balas,0.011
balik,0.017
bambang,0.006
bangun,0.022
bantu,0.006
banyak,0.079
bar,0.011
barang,0.006
baru,0.039
basic,0.006
bawa,0.011
bawah,0.006
bayang,0.006
bayi,0.006
beberapa,0.006
begadang,0.006
begini,0.006
begitu,0.062
belum,0.022
benah,0.006
benang,0.006
benar,0.095
benarkan,0.006
benci,0.011
bentar,0.006
bentat,0.011
beranda,0.006
berandal,0.006
berani,0.006
berapa,0.006
beri,0.006
bersih,0.006
besar,0.006
besok,0.006
betah,0.006
biarin,0.006
bicara,0.006
bilang,0.051
bingung,0.011
biokimia,0.011
biologi,0.011
bisa,0.062
blok,0.006
bodoh,0.017
boleh,0.006
bolos,0.006
bom,0.006
bos,0.006
bosan,0.022
boyfriend,0.006
buah,0.006
buang,0.006
buat,0.101
buka,0.017
bukan,0.017
bukti,0.011
buku,0.022
bulan,0.022
buluk,0.022
bunuh,0.017
butuh,0.034
butuhin,0.006
cahaya,0.006
calon,0.006
canda,0.006
cantik,0.006
capslock,0.006
cara,0.017
cari,0.017
casa,0.006
cemil,0.006
cepat,0.017
cerdas,0.006
cerewet,0.006
cerita,0.028
cerna,0.006
cil,0.006
cinta,0.006
coban,0.006
cocok,0.006
comeback,0.006
contoh,0.011
cowoku,0.006
cuma,0.051
curi,0.006
cuy,0.011
dabes,0.006
dadi,0.006
daftar,0.006
dahi,0.006
daku,0.006
dapat,0.017
dar,0.006
dari,0.034
dasar,0.051
datang,0.011
debat,0.006
dede,0.006
definisi,0.006
deh,0.011
dekat,0.006
deng,0.006
dengan,0.028
dengar,0.017
depan,0.011
depresi,0.017
derit,0.006
derita,0.006
dewasa,0.011
di,0.011
dia,0.011
diagnosanya,0.006
diagnose,0.006
diam,0.006
dibohongin,0.006
dika,0.006
dikit,0.011
dikumpulin,0.011
dilakuin,0.006
dimainin,0.006
dimarahin,0.011
dingin,0.006
dipangil,0.006
dipendem,0.006
diri,0.095
disemarang,0.006
disini,0.006
ditanyain,0.006
diungkapin,0.006
doa,0.011
doang,0.017
dokter,0.039
dokumentasi,0.006
dong,0.034
dosen,0.056
dosis,0.011
drama,0.034
dramacute,0.006
dramaqu,0.006
duain,0.006
dude,0.006
duduk,0.011
dukung,0.006
dulu,0.067
dunia,0.006
edan,0.011
efek,0.006
eh,0.011
ekstra,0.006
elah,0.017
emosi,0.011
enak,0.006
entah,0.006
entuk,0.006
episode,0.006
etika,0.022
euy,0.006
fab,0.006
fakgirl,0.006
farmakologi,0.006
fast,0.006
fastrespon,0.006
favorit,0.011
filsafat,0.011
fine,0.006
fisika,0.011
fisiologi,0.022
folder,0.006
foto,0.017
gabung,0.006
gabungin,0.006
gadis,0.017
gagal,0.006
gaji,0.006
gamain,0.006
gambar,0.006
game,0.006
gamod,0.006
gangerti,0.017
gapeduli,0.006
gapercaya,0.006
garagara,0.006
gasah,0.006
gasangup,0.006
gasengaja,0.006
gelap,0.006
ghibah,0.006
giat,0.006
gila,0.028
gilir,0.006
gin,0.017
gngerti,0.006
goreng,0.006
gosah,0.006
greget,0.006
grup,0.006
gugup,0.017
gugur,0.006
gulir,0.006
guntur,0.006
gus,0.006
habis,0.017
hafal,0.006
hai,0.017
haikyu,0.006
hal,0.006
halusinasi,0.006
hancur,0.017
hantam,0.006
hantu,0.006
hanya,0.045
harap,0.022
hari,0.045
harus,0.011
hasil,0.006
hembus,0.006
henti,0.011
heran,0.006
hidup,0.011
hilang,0.011
hilih,0.006
hirup,0.006
hitam,0.006
hitung,0.006
hobi,0.006
hubung,0.011
hukes,0.011
hukum,0.006
huwa,0.006
ibadah,0.006
ibu,0.028
ii,0.006
ikut,0.017
ilmu,0.011
imam,0.006
improvment,0.006
in,0.017
indonesia,0.006
info,0.006
informasi,0.011
ingat,0.039
ingin,0.011
ini,0.045
input,0.006
inti,0.022
inya,0.006
ipa,0.006
ipanya,0.006
iseh,0.006
isi,0.022
iso,0.006
itu,0.112
iya,0.022
jadi,0.112
jail,0.006
jam,0.028
jangka,0.006
janji,0.006
jantung,0.006
jarang,0.006
jauh,0.011
jawab,0.034
jelas,0.028
jenak,0.006
jika,0.006
jin,0.006
jiwa,0.006
jomblo,0.006
joss,0.006
jt,0.006
juli,0.006
junjung,0.006
juraganfilm,0.006
jurnal,0.022
kacamata,0.006
kadang,0.011
kalau,0.123
kali,0.022
kalian,0.017
kalimat,0.006
kampus,0.011
kan,0.034
karena,0.011
karuan,0.006
kasar,0.006
kasus,0.006
kata,0.022
kayak,0.022
kdk,0.006
kdm,0.011
ke,0.006
kebahagian,0.006
kecil,0.006
kekeh,0.006
kelas,0.034
kemarin,0.011
kemudian,0.006
ken,0.045
kena,0.006
kenang,0.011
kenapa,0.056
kendali,0.011
kentang,0.011
kenyang,0.006
kep,0.006
keperawatn,0.006
keping,0.011
kerap,0.006
keras,0.011
keren,0.011
kerja,0.011
kerjanyaintinya,0.006
kerusakanya,0.006
kesal,0.028
kesana,0.006
keselek,0.006
ketawa,0.017
ketawain,0.006
ketemu,0.006
ketik,0.011
ketika,0.011
ketrampilan,0.006
ketrima,0.006
kewarganegaran,0.006
khawatir,0.006
ki,0.011
kira,0.011
kita,0.006
klarifikasi,0.006
kol,0.006
komentar,0.006
komputer,0.006
komunikasi,0.011
kondisi,0.011
konsep,0.011
korea,0.011
kritisi,0.006
krs,0.006
kuat,0.006
kuisioner,0.006
kuliah,0.034
kulon,0.006
kumat,0.006
kurang,0.006
kurus,0.006
la,0.006
lagi,0.011
lagu,0.028
lah,0.017
lak,0.011
laki,0.062
laku,0.006
lalu,0.011
lama,0.022
langsung,0.017
lanjur,0.006
lapak,0.006
lapar,0.006
laptop,0.011
lawak,0.017
lebaran,0.006
lebih,0.045
legislatif,0.011
lelah,0.056
lembut,0.006
letak,0.006
lewat,0.006
lho,0.006
lihat,0.034
lingkar,0.006
lipat,0.006
lirik,0.006
logika,0.006
lolos,0.006
lucu,0.006
lup,0.006
lupa,0.022
lur,0.006
maaf,0.006
macam,0.006
mahasiswa,0.011
mahasisws,0.006
mainin,0.006
makanya,0.017
makin,0.017
maksud,0.006
malah,0.028
malam,0.006
malas,0.022
maleman,0.006
malu,0.022
mana,0.034
manajemen,0.017
mantan,0.006
mantengin,0.006
manusia,0.022
mapin,0.006
marah,0.006
masa,0.011
masalah,0.011
masih,0.011
masuk,0.022
masyarakat,0.006
mata,0.006
mati,0.028
matkul,0.011
matkulnya,0.006
mau,0.174
maupun,0.006
medis,0.028
memang,0.017
mendengarkan,0.011
meni,0.006
menikah,0.011
mikrobiologi,0.011
mimpi,0.039
mimpin,0.006
mingir,0.006
minimarket,0.006
minta,0.011
minum,0.017
modnya,0.006
mohon,0.006
mon,0.022
motif,0.006
muak,0.006
mudah,0.039
muka,0.006
mulut,0.006
muncul,0.006
mundur,0.006
mungkin,0.006
muri,0.006
nafas,0.006
nah,0.011
nama,0.006
nanda,0.006
nang,0.051
nasihat,0.006
ncen,0.006
negri,0.006
neh,0.006
nemuin,0.006
ngalihin,0.006
ngango,0.006
ngangone,0.006
ngapakers,0.006
ngasihanin,0.006
ngechat,0.006
ngehargain,0.006
ngehujat,0.006
ngejalanin,0.017
ngelag,0.006
ngelamun,0.011
ngemil,0.006
ngeshare,0.011
ngulang,0.006
ning,0.006
nishinoya,0.006
nolak,0.006
nularin,0.006
nuntut,0.006
nya,0.011
nyala,0.039
nyata,0.022
nyawa,0.006
nyenyak,0.006
nyer,0.006
nyeri,0.006
nyusahin,0.006
obat,0.056
obate,0.006
obrol,0.011
offline,0.006
oke,0.006
online,0.006
orang,0.084
ortuku,0.006
ot,0.006
otak,0.017
otaku,0.006
ouput,0.006
pada,0.006
padahal,0.006
padat,0.006
pagi,0.006
paham,0.011
pakai,0.011
pakde,0.006
paksa,0.006
pala,0.006
pale,0.006
paling,0.011
pandang,0.006
panjang,0.011
pantas,0.011
paradigma,0.006
pasang,0.006
pasien,0.017
patofis,0.006
patologi,0.011
pecah,0.006
peduli,0.011
pegang,0.011
pekerjan,0.006
penasaran,0.006
pening,0.011
penting,0.017
peras,0.011
percaya,0.006
pergi,0.017
perhati,0.006
perintah,0.006
perlu,0.006
permasalahanya,0.006
permisi,0.006
pernah,0.028
persis,0.006
persona,0.006
pertama,0.006
perut,0.011
pesan,0.011
peta,0.028
petik,0.006
pikir,0.039
pindah,0.017
pintar,0.006
playstore,0.006
podcast,0.006
pokok,0.006
pol,0.011
polines,0.006
politik,0.011
posisi,0.006
praktek,0.011
prakteknua,0.006
prestasi,0.006
pria,0.017
pribadi,0.006
psikiater,0.011
psikologi,0.006
puasa,0.006
pulang,0.006
punya,0.011
pusing,0.006
raditya,0.006
rajin,0.006
rak,0.006
rasa,0.022
ravio,0.006
realita,0.006
reapet,0.011
rebah,0.006
redam,0.006
rekor,0.006
relaksasi,0.006
rendah,0.006
rendam,0.006
responsif,0.006
restu,0.006
rewatch,0.006
ribut,0.011
ricardo,0.006
rindu,0.028
riset,0.006
riweh,0.006
rodo,0.006
rugi,0.006
rujuk,0.006
rumah,0.017
rutin,0.006
saat,0.011
sadar,0.028
sahabat,0.006
saja,0.079
saking,0.022
sakit,0.051
salah,0.022
saling,0.006
sama,0.174
sampah,0.006
sampai,0.09
sana,0.006
sandar,0.006
sangat,0.017
sapa,0.006
sapu,0.006
satu,0.062
saudara,0.101
saya,0.55
sayang,0.011
sayange,0.006
sebentar,0.006
sebuah,0.017
sebut,0.017
sedanh,0.006
sedih,0.022
segaban,0.006
segala,0.006
sehat,0.022
sejak,0.017
sejarah,0.006
sekali,0.095
sekarang,0.028
selalu,0.034
selamat,0.022
selesai,0.022
seluruh,0.006
semangat,0.022
sembuh,0.017
semester,0.039
seminggu,0.006
semoga,0.006
semua,0.028
senak,0.011
senam,0.006
senang,0.006
sendiri,0.056
senin,0.006
sensi,0.011
senyum,0.006
seperti,0.011
serah,0.011
sering,0.017
serius,0.006
seru,0.006
sesal,0.006
sesuai,0.006
sial,0.017
siap,0.017
sih,0.051
siklus,0.011
siksa,0.006
silet,0.006
silinder,0.006
sims,0.006
singah,0.006
sini,0.006
sirik,0.006
sisih,0.006
snmptn,0.006
soal,0.034
sore,0.006
spoiler,0.006
stan,0.006
steril,0.006
stiker,0.006
suatu,0.006
sub,0.011
sudah,0.152
sudut,0.006
sudzon,0.017
sujon,0.006
suka,0.022
sulit,0.022
sumpah,0.011
sungguh,0.006
sungkem,0.006
suntik,0.011
surat,0.011
suruh,0.022
susah,0.028
syok,0.006
syukur,0.006
tadi,0.006
tagih,0.006
tahan,0.011
tahap,0.011
tahu,0.045
tahun,0.062
tajam,0.017
talkin,0.006
tambah,0.006
tangga,0.006
tanya,0.067
tapi,0.022
tarik,0.011
tawa,0.135
tebal,0.006
telan,0.006
telepon,0.006
teman,0.056
tempat,0.028
tenaga,0.028
tenan,0.006
tengah,0.006
tenggelam,0.011
tentang,0.006
tenten,0.006
tepat,0.006
tepok,0.006
tera,0.006
teriak,0.011
terima,0.011
terimakasih,0.045
terlalu,0.006
ternotice,0.006
terus,0.062
tes,0.006
tetap,0.011
tiap,0.011
tiba,0.028
tidak,0.421
tidur,0.056
tinggi,0.017
tiru,0.006
titik,0.011
titin,0.006
titip,0.006
toilet,0.006
tolong,0.022
tonton,0.022
trauma,0.006
tri,0.006
tua,0.022
tubuh,0.011
tuduhanya,0.006
tugas,0.022
tuhan,0.006
tumit,0.011
turut,0.017
twitter,0.017
twomc,0.011
udsh,0.006
ujan,0.011
uji,0.006
ulang,0.006
ular,0.006
umum,0.006
unduh,0.006
ungkapin,0.006
untuk,0.034
untuku,0.006
unya,0.006
usah,0.006
usia,0.011
utama,0.028
video,0.006
vincent,0.006
wah,0.011
wahai,0.011
waktu,0.017
wali,0.006
waspada,0.006
wedok,0.006
ya,0.017
yakin,0.006
yang,0.241
youtube,0.006
zary,0.006
