term,weight
aa,0.007
acak,0.007
ada,0.027
adalah,0.027
adan,0.007
admin,0.007
agar,0.053
agung,0.007
ahli,0.007
ahsan,0.007
ajar,0.02
akan,0.013
akhir,0.073
aksi,0.007
alam,0.007
alergi,0.007
aman,0.013
ambigu,0.007
ambyar,0.007
amin,0.007
ampun,0.04
an,0.033
anak,0.053
anda,0.107
angkat,0.007
antar,0.013
apa,0.08
apalagi,0.007
aplod,0.007
apri,0.02
arah,0.007
arti,0.013
asal,0.007
asik,0.007
aska,0.007
asli,0.007
astaga,0.007
atas,0.013
atlet,0.02
audisi,0.013
aurat,0.007
awal,0.013
ayo,0.093
baca,0.047
badminton,0.007
bagai,0.007
bagaimana,0.053
bagus,0.033
bahan,0.02
bahkan,0.02
baik,0.033
bajing,0.033
baju,0.027
bakar,0.007
balik,0.007
bambang,0.007
bambank,0.007
banding,0.013
bangga,0.007
bangsa,0.007
bangun,0.007
bangunin,0.007
banjir,0.013
bantu,0.007
banyak,0.06
bapak,0.087
bapil,0.007
baru,0.027
bas,0.007
batas,0.007
bawa,0.007
beasiswa,0.02
beberes,0.007
beda,0.007
bedain,0.007
begini,0.007
begitu,0.033
belanja,0.007
beli,0.007
beliau,0.007
belum,0.027
benar,0.067
benci,0.007
bendera,0.007
bengong,0.007
bentar,0.04
bepe,0.013
beranda,0.007
berani,0.007
berapa,0.013
berat,0.007
berhasil,0.007
berita,0.007
berkah,0.007
bertangung,0.007
berwirausaha,0.007
bes,0.007
besar,0.007
besok,0.02
biarin,0.007
biasa,0.007
bilang,0.007
bisa,0.04
bismillah,0.007
blesful,0.007
blog,0.007
bobby,0.007
bobyaseli,0.007
bola,0.027
boleh,0.007
bosan,0.007
buang,0.007
buat,0.1
buka,0.027
bukan,0.04
bukber,0.007
bulan,0.02
bulutangkis,0.02
butet,0.013
butuh,0.007
cahaya,0.007
calon,0.007
cantik,0.007
cara,0.02
cari,0.04
cc,0.007
celana,0.013
cemil,0.013
cepat,0.013
cerah,0.007
cerita,0.007
ci,0.007
ciamik,0.02
cinta,0.027
coba,0.007
cocok,0.013
cok,0.007
congrats,0.027
cuci,0.007
cukup,0.007
cuma,0.027
daddies,0.04
dagang,0.007
dalam,0.013
dan,0.013
dapat,0.02
dapur,0.007
dari,0.02
datang,0.007
debut,0.013
dedek,0.013
deh,0.013
dengan,0.027
depan,0.013
derita,0.007
desa,0.007
di,0.027
diagnosa,0.007
diapalin,0.007
dikirimin,0.007
dikit,0.02
dilanjutin,0.007
dilewatin,0.007
dipaksain,0.007
dipangil,0.007
diurusin,0.007
djarum,0.027
doa,0.02
doang,0.02
dokter,0.013
dong,0.033
drama,0.007
dugan,0.007
dukung,0.013
dulu,0.04
dunia,0.02
edgar,0.013
eh,0.013
ejek,0.007
emas,0.007
emosi,0.007
empat,0.007
enak,0.02
endo,0.033
engap,0.007
faiz,0.007
fajri,0.013
fani,0.007
far,0.007
fara,0.007
favorit,0.007
feb,0.013
febri,0.007
fokus,0.007
foto,0.013
foya,0.007
gabuka,0.007
gaib,0.007
gaji,0.007
gakuat,0.007
game,0.013
ganguan,0.027
ganti,0.007
gara,0.007
garis,0.007
gas,0.007
gasih,0.007
gedung,0.02
gel,0.007
gelisah,0.007
gemas,0.007
gembar,0.007
gembor,0.007
gemesh,0.02
gemez,0.007
gila,0.06
gin,0.033
ginting,0.08
goa,0.227
gojek,0.007
gosip,0.007
gratis,0.007
grego,0.007
greysia,0.007
gugel,0.013
gugup,0.02
habis,0.033
hadap,0.013
hadir,0.007
hai,0.013
haji,0.007
hampir,0.013
hanya,0.02
harap,0.013
hari,0.047
haru,0.027
hasil,0.013
hati,0.013
hebat,0.013
helm,0.007
hemat,0.007
henti,0.007
hewan,0.007
hibur,0.007
hidup,0.007
hingga,0.007
histeris,0.007
hongkong,0.007
hormat,0.007
hua,0.013
hubung,0.007
hubungan,0.007
hujan,0.007
hwa,0.007
ibu,0.073
ide,0.007
ikan,0.007
ikut,0.04
ilmu,0.007
imbang,0.007
indah,0.007
indonesia,0.053
indosport,0.007
info,0.007
ingat,0.013
ini,0.133
internasyionel,0.007
isi,0.007
isin,0.007
itu,0.06
iya,0.067
iz,0.013
izin,0.02
ja,0.013
jadi,0.127
jaga,0.007
jahanam,0.007
jail,0.007
jakarta,0.013
jakmania,0.007
jala,0.007
jalan,0.04
jam,0.027
jarak,0.007
jari,0.007
jasa,0.007
jauh,0.027
jawab,0.027
jelas,0.007
jeli,0.007
jemput,0.007
jiwa,0.02
jo,0.027
jodoh,0.013
jojo,0.007
jual,0.007
juang,0.02
juara,0.013
juga,0.093
jujur,0.02
justru,0.007
kait,0.007
kaji,0.007
kaki,0.007
kalah,0.033
kalau,0.033
kali,0.047
kalian,0.027
kamar,0.013
kambuh,0.007
kamura,0.007
kan,0.02
kancah,0.007
kantin,0.007
karena,0.04
kasar,0.02
kasi,0.007
kasih,0.087
kasus,0.007
kata,0.027
kayak,0.007
ke,0.02
kebahagian,0.007
kecewa,0.013
kecintan,0.007
kedatanganya,0.007
kejar,0.007
kejayan,0.013
kejut,0.013
kelas,0.007
kelompok,0.007
keluar,0.007
keluarga,0.007
kemarin,0.027
kembali,0.007
ken,0.02
kenapa,0.027
kencur,0.007
kendur,0.007
kento,0.007
kepada,0.007
keren,0.033
kereta,0.007
kerja,0.02
kesal,0.007
kesini,0.007
ketat,0.007
ketawa,0.007
ketinggalan,0.013
kevin,0.033
khusus,0.013
kibar,0.007
kira,0.013
kn,0.007
kocag,0.007
kondisi,0.007
kontak,0.007
kopi,0.007
kos,0.007
kpai,0.013
krisis,0.007
kuat,0.02
kulit,0.02
kuning,0.02
kunyit,0.007
kurang,0.04
kurus,0.027
kyknya,0.013
laga,0.007
lagi,0.113
lahir,0.007
lain,0.007
laki,0.04
lalu,0.007
lama,0.06
langsung,0.04
lanjut,0.007
lapang,0.02
lari,0.007
latih,0.007
lawa,0.007
lawan,0.04
lebih,0.027
lekas,0.013
lekbong,0.013
lelah,0.007
lengkuas,0.007
lentera,0.013
lepas,0.013
lihat,0.093
lima,0.007
loh,0.007
losion,0.02
luar,0.02
lucuk,0.007
luk,0.007
lumayan,0.007
lupa,0.02
macih,0.007
madu,0.013
maestro,0.007
mahal,0.007
mahir,0.007
mai,0.02
makin,0.047
maklum,0.007
maksud,0.007
malah,0.033
malam,0.027
malu,0.02
mampu,0.007
mana,0.013
manis,0.007
mantap,0.04
manusia,0.007
maruk,0.007
masa,0.007
masak,0.033
masalah,0.007
masih,0.013
masuk,0.013
mata,0.007
mati,0.007
mau,0.087
md,0.013
medali,0.007
medis,0.013
mel,0.02
melati,0.007
memafkan,0.007
memang,0.047
menang,0.08
mengangap,0.007
menit,0.007
mental,0.007
mereka,0.007
merinding,0.007
mewah,0.007
minimum,0.007
minions,0.047
minta,0.013
minum,0.013
miris,0.007
model,0.007
momogi,0.007
momota,0.033
mon,0.007
motong,0.007
motor,0.007
muas,0.013
muda,0.013
muka,0.007
mungkin,0.007
murce,0.007
nada,0.007
naik,0.007
najwa,0.007
nama,0.007
nan,0.007
nang,0.027
nanyain,0.007
napi,0.007
naro,0.007
nasihat,0.007
nebak,0.007
nekat,0.013
neraka,0.007
ngajakin,0.007
ngajarin,0.007
ngeblok,0.007
ngehubungin,0.007
ngekos,0.007
ngelakuin,0.007
ngepel,0.007
nget,0.013
ngetik,0.007
ngobrol,0.007
ngomel,0.007
ngumpulin,0.007
ngurus,0.007
niat,0.007
niken,0.007
nmr,0.007
nontonin,0.013
nopal,0.007
notif,0.007
nya,0.067
nyaman,0.007
nyamperin,0.007
nyapu,0.007
nyata,0.027
nyelonong,0.007
nyeseq,0.007
nyetrika,0.007
nyucinya,0.007
obat,0.033
obrol,0.02
okendel,0.007
olahraga,0.007
omong,0.013
orang,0.08
owi,0.013
padahal,0.04
pagi,0.007
paham,0.007
pakai,0.033
paling,0.013
pamungkas,0.007
panas,0.007
para,0.007
parah,0.047
pasang,0.027
pasca,0.007
pasrah,0.013
pb,0.007
peka,0.007
pekerjaan,0.007
pekerjan,0.007
pelangi,0.007
peluk,0.013
pemuda,0.007
