term,weight
ada,0.058
adalah,0.023
admin,0.012
aduh,0.058
agama,0.023
agar,0.07
ah,0.023
ajak,0.012
ajang,0.012
akan,0.012
akun,0.023
alergi,0.012
alias,0.012
alur,0.012
amin,0.012
anak,0.07
anda,0.151
anggota,0.012
anymore,0.012
apa,0.151
aplikasi,0.012
arti,0.023
as,0.012
asa,0.012
asupan,0.012
atas,0.012
autobot,0.012
awet,0.012
ayo,0.035
baca,0.023
bacan,0.023
bagaimana,0.046
bagus,0.023
bahagia,0.012
bahahak,0.012
bahas,0.023
bahasa,0.012
baik,0.116
baju,0.012
bakar,0.012
bakunta,0.012
balesnya,0.012
banten,0.012
banyak,0.035
bapak,0.012
baru,0.035
bawa,0.035
bayar,0.012
bayi,0.023
bebas,0.023
beda,0.046
bedan,0.023
begitu,0.012
bejat,0.012
belakang,0.012
beli,0.046
belum,0.012
benar,0.035
berani,0.023
berapa,0.058
beri,0.012
berita,0.035
besok,0.023
betre,0.012
betul,0.023
bias,0.012
biasa,0.012
bicara,0.012
bisa,0.035
bom,0.035
boobs,0.012
bos,0.012
bosan,0.012
bra,0.012
buang,0.023
buat,0.046
budi,0.012
buka,0.012
bukan,0.046
bukti,0.023
bulu,0.012
bung,0.012
buram,0.012
buruk,0.058
burung,0.012
buset,0.012
butuh,0.012
cantik,0.012
cari,0.012
celaka,0.023
cemil,0.023
cenderung,0.012
cepat,0.012
cinta,0.046
coba,0.046
contoh,0.012
cukup,0.012
cuma,0.012
curugan,0.012
dada,0.012
dahi,0.012
dan,0.023
dapat,0.035
dasar,0.023
daya,0.012
deh,0.012
dengan,0.012
dengar,0.012
depan,0.046
diambilin,0.012
dick,0.012
diemin,0.012
dik,0.012
dikit,0.012
dimatin,0.012
diri,0.046
dishub,0.012
disuapin,0.023
doang,0.035
dokter,0.012
dong,0.046
doraemon,0.012
dosa,0.012
dosis,0.012
drama,0.012
dua,0.012
duka,0.012
dulu,0.046
dunia,0.012
duren,0.012
edar,0.012
ekspres,0.012
ekspresi,0.012
enak,0.012
energi,0.012
engap,0.012
entah,0.023
erti,0.012
etnis,0.012
film,0.012
filosofi,0.012
fine,0.012
fokus,0.012
foto,0.046
fotoin,0.012
gadis,0.012
gaenak,0.012
gagarontol,0.012
gajelas,0.012
gambaranya,0.012
game,0.012
ganti,0.012
gaperlu,0.012
gendong,0.012
generasi,0.012
genjutsu,0.012
gera,0.012
gih,0.012
gin,0.023
girlfriend,0.012
gitar,0.035
gizi,0.012
gosip,0.012
grup,0.012
hadap,0.012
haha,0.023
