term,weight
ada,0.029
adalah,0.014
adan,0.014
aduh,0.029
aduk,0.014
agar,0.043
ah,0.057
ajak,0.014
akan,0.014
akhir,0.057
aksi,0.014
aktivitas,0.014
alas,0.014
aman,0.014
amsyong,0.029
anak,0.014
analog,0.014
anda,0.157
aneh,0.014
anggar,0.014
apa,0.114
arti,0.014
asik,0.014
asli,0.014
astaga,0.014
asupan,0.014
ayah,0.014
ayam,0.014
ayo,0.057
bagaimana,0.029
bajing,0.029
baju,0.014
bang,0.043
banyak,0.086
bareng,0.014
baru,0.029
beda,0.029
begini,0.029
begitu,0.043
bekas,0.014
beli,0.043
belum,0.014
benang,0.014
benar,0.1
benarkan,0.014
berani,0.014
bersih,0.029
betot,0.014
biadab,0.014
bikinin,0.014
bingung,0.029
bis,0.014
bisa,0.071
bo,0.014
boba,0.014
bodoh,0.014
bola,0.014
bom,0.1
bos,0.1
bosan,0.014
btul,0.014
buat,0.1
bubur,0.014
budak,0.014
buka,0.029
buku,0.014
bulan,0.014
buruk,0.014
butuh,0.029
cakep,0.043
calon,0.014
cari,0.014
cemil,0.057
cepat,0.057
chelsea,0.014
ci,0.014
cinta,0.014
cocok,0.043
congrats,0.014
corona,0.057
crushgear,0.014
cuma,0.043
da,0.014
daftar,0.014
dagang,0.014
dalam,0.014
darah,0.014
darat,0.014
dari,0.014
deh,0.014
depan,0.071
di,0.029
diam,0.014
dimsum,0.014
dingin,0.014
disini,0.014
doa,0.029
doang,0.043
dokter,0.057
dong,0.071
drama,0.014
dukung,0.014
dulu,0.086
edoh,0.014
eek,0.014
elite,0.014
enak,0.043
eng,0.014
estetis,0.014
fifa,0.014
gadis,0.014
gajah,0.014
game,0.014
gamungkin,0.014
gas,0.029
gaya,0.014
gila,0.014
gin,0.043
goa,0.2
gojek,0.014
gokil,0.1
goks,0.043
golong,0.014
habis,0.029
haha,0.286
hampir,0.014
hanya,0.014
hari,0.014
hati,0.014
heran,0.014
hits,0.014
ibu,0.071
idam,0.029
idola,0.014
ikut,0.029
ilok,0.014
impi,0.014
imut,0.014
in,0.014
ingat,0.014
ini,0.1
inti,0.014
isi,0.014
itaewon,0.014
itu,0.057
iya,0.043
jadi,0.086
jager,0.014
jail,0.014
jakarta,0.014
jalan,0.043
jam,0.029
jatuh,0.014
jauh,0.014
jawab,0.014
jelas,0.014
jenis,0.014
joko,0.014
juga,0.057
kabar,0.014
kado,0.014
kalah,0.014
kalau,0.1
kali,0.014
kamar,0.014
kamera,0.014
kan,0.043
kapasitas,0.014
karantina,0.014
karena,0.029
kasih,0.029
kebab,0.014
kecil,0.014
kelas,0.014
keluar,0.014
keluh,0.014
kembali,0.014
ken,0.071
kenapa,0.029
kesan,0.014
keshi,0.029
ketawa,0.029
kfc,0.014
kim,0.014
kintamani,0.014
kira,0.014
kita,0.014
komentar,0.014
korea,0.014
kos,0.029
kriteria,0.014
kucing,0.043
kuliah,0.029
kulkas,0.014
kurang,0.014
lagi,0.014
lagu,0.071
lah,0.071
laki,0.029
lama,0.014
lampu,0.014
langkah,0.014
lawan,0.014
lebaran,0.057
lebih,0.014
legenda,0.014
liga,0.014
lihat,0.014
lin,0.014
luar,0.014
lulus,0.014
lupa,0.014
mabuk,0.014
magang,0.014
mahal,0.014
mainin,0.014
makin,0.014
malam,0.029
mana,0.029
manohara,0.014
masa,0.029
masuk,0.043
mata,0.014
mati,0.014
mau,0.086
megah,0.014
melihara,0.029
memang,0.129
mendengarkan,0.014
menteri,0.014
merci,0.014
meremin,0.014
mes,0.014
mia,0.014
mie,0.014
milyar,0.014
minum,0.014
mkan,0.014
mnis,0.029
mobil,0.014
modboster,0.014
mulai,0.043
mungkin,0.014
mutualan,0.014
na,0.014
nama,0.029
ngantuk,0.029
ngebet,0.014
ngedekor,0.029
ngoleksi,0.014
nomor,0.014
normal,0.014
nya,0.429
nyala,0.014
nyata,0.043
oke,0.029
oleh,0.014
orang,0.071
pacar,0.014
pagi,0.043
paling,0.029
panjat,0.014
pantai,0.014
patah,0.014
percuma,0.014
perdana,0.014
pernah,0.043
pes,0.014
