term,weight
ada,0.038
adam,0.013
agama,0.013
agar,0.013
aji,0.013
akrab,0.013
al,0.064
alas,0.013
alfrisadivaw,0.013
ambyar,0.013
amin,0.026
ampun,0.026
anak,0.115
anda,0.166
android,0.013
aneh,0.026
anjoy,0.013
apa,0.192
apani,0.013
appreciate,0.013
arkanah,0.013
arti,0.013
asik,0.013
asli,0.013
aspal,0.013
astaga,0.013
ayo,0.089
babi,0.013
baca,0.013
badan,0.013
bagi,0.013
bahaya,0.013
baik,0.026
bajing,0.026
banjir,0.026
banyak,0.026
bapak,0.013
bau,0.013
bayar,0.026
baywan,0.013
begitu,0.064
beli,0.013
benar,0.013
bentar,0.026
berapa,0.013
berhasil,0.013
besok,0.026
biadab,0.026
biasa,0.026
bindo,0.013
bir,0.026
biru,0.013
bisa,0.026
bodoh,0.102
bolang,0.013
boleh,0.013
boong,0.013
botol,0.013
bp,0.013
br,0.013
bright,0.013
brt,0.013
bsc,0.013
buat,0.128
buruk,0.013
cacat,0.013
caesar,0.013
cakep,0.013
cari,0.013
catur,0.013
cc,0.026
cemil,0.013
cen,0.013
cerewet,0.026
ceroboh,0.077
cha,0.026
chen,0.013
cicak,0.013
ckck,0.013
ckckck,0.013
closer,0.013
co,0.217
cobat,0.013
cok,0.026
cornernya,0.013
corona,0.013
cristiano,0.013
cubing,0.013
cuy,0.013
daging,0.013
dalam,0.013
dari,0.013
dasar,0.013
daun,0.013
dayan,0.013
dengan,0.115
desember,0.013
deui,0.013
dewa,0.013
di,0.026
diam,0.026
dikls,0.013
dilema,0.013
dimintain,0.013
dingetin,0.013
dipoto,0.013
disiarin,0.013
dit,0.013
div,0.013
diva,0.013
dj,0.013
dli,0.013
doang,0.013
dong,0.038
dprd,0.013
dulu,0.038
eaqu,0.013
eek,0.013
eh,0.013
elyas,0.013
enak,0.013
eomfd,0.013
fa,0.026
fbmu,0.013
fik,0.026
folowback,0.013
futsal,0.038
futuristik,0.013
gagah,0.026
game,0.013
games,0.013
ganti,0.013
gara,0.013
gaya,0.051
geus,0.013
gi,0.013
gigi,0.013
gimmick,0.013
gin,0.038
goa,0.026
gol,0.013
google,0.013
gratis,0.141
hadir,0.026
haduh,0.026
hahkpszmqg,0.013
hai,0.038
haih,0.013
halah,0.026
halusinasi,0.013
happened,0.013
hari,0.026
harus,0.026
hewan,0.013
hidup,0.026
htp,0.217
hubunganya,0.013
huhuh,0.013
ibu,0.026
ika,0.013
ikut,0.179
in,0.013
indonesia,0.013
indosiar,0.013
ingat,0.013
ingin,0.013
ini,0.038
ipod,0.077
ipvsft,0.013
isi,0.013
itu,0.064
iwok,0.013
iya,0.128
iyasuda,0.013
ja,0.026
jadi,0.077
jalan,0.013
jam,0.051
jarang,0.013
jdnya,0.013
jink,0.013
juga,0.064
kabarin,0.013
kalah,0.013
kalau,0.013
kambek,0.013
kan,0.013
kantong,0.013
kapan,0.026
kas,0.026
kasianya,0.013
kasih,0.051
