term,weight
acak,0.01
adalah,0.031
admin,0.01
agar,0.01
air,0.01
ajak,0.01
ajar,0.02
ala,0.01
alesanya,0.01
aman,0.01
ambe,0.031
ambil,0.01
amin,0.01
ampun,0.031
an,0.02
anak,0.01
ancen,0.02
anda,0.082
aneh,0.01
angur,0.01
anjas,0.01
antre,0.01
anya,0.01
apa,0.112
apik,0.01
aplot,0.01
asal,0.01
asli,0.01
atau,0.01
awal,0.01
awet,0.02
ayam,0.01
ayo,0.061
baca,0.02
bagaimana,0.031
bagus,0.01
bahagiapetshopmlg,0.01
baik,0.051
bajing,0.01
balas,0.01
balik,0.01
bang,0.02
bangun,0.02
banyak,0.051
bapak,0.041
bar,0.01
barakalah,0.01
barang,0.01
baru,0.02
batas,0.01
batin,0.02
bayang,0.01
beda,0.041
begitu,0.02
beli,0.041
belum,0.01
benar,0.061
bentar,0.01
beranda,0.01
berapa,0.02
besok,0.01
billy,0.01
bingung,0.031
bisa,0.02
bismillah,0.01
blh,0.01
blonjo,0.02
bola,0.01
bonceng,0.01
boyong,0.01
br,0.02
btul,0.031
buka,0.02
bukan,0.01
buko,0.01
bulan,0.02
butuh,0.01
canda,0.01
cemil,0.02
cen,0.01
cerah,0.01
cerita,0.01
cinta,0.01
coban,0.02
corona,0.01
cowoke,0.01
cpt,0.01
cucu,0.01
cuek,0.01
cukup,0.01
damal,0.01
dan,0.071
dari,0.02
datar,0.02
deh,0.02
dekat,0.031
del,0.01
dela,0.01
deloken,0.01
depan,0.01
desa,0.01
di,0.02
dia,0.051
dikit,0.01
dingin,0.01
dinoyo,0.01
diri,0.031
dj,0.01
djalan,0.01
doang,0.01
dom,0.01
domisili,0.01
dong,0.031
donna,0.01
dowo,0.01
dulu,0.01
durung,0.01
eh,0.01
ekspektasi,0.01
eleng,0.01
enak,0.02
esok,0.01
every,0.01
facebook,0.01
fel,0.01
felnya,0.01
fi,0.01
foto,0.01
gadis,0.031
gakse,0.01
gamudeng,0.01
ganti,0.01
gantung,0.01
gara,0.031
gase,0.01
gawe,0.02
gelap,0.01
gembor,0.01
gendeng,0.01
gerimis,0.01
gin,0.02
gituan,0.01
gituin,0.01
giur,0.01
gofod,0.01
goodbyes,0.01
grooming,0.01
habis,0.01
haha,0.02
hai,0.02
halal,0.01
hantu,0.01
hanya,0.01
harap,0.02
harga,0.02
hari,0.031
harus,0.051
hati,0.02
henti,0.082
hidup,0.01
hikmah,0.01
hmhm,0.01
hormat,0.01
hubung,0.061
hujan,0.01
humoris,0.061
huwi,0.01
ibu,0.02
icha,0.01
ignya,0.01
iku,0.01
ikut,0.082
ikuti,0.071
ilfel,0.01
ilo,0.031
in,0.02
indih,0.01
ingat,0.01
ingin,0.01
ini,0.071
intine,0.01
introspeksi,0.02
iri,0.01
isi,0.02
isone,0.01
itu,0.051
iya,0.102
jadi,0.02
jalan,0.02
jalur,0.01
jam,0.02
janji,0.01
jarak,0.01
jarang,0.01
jatuh,0.01
jawab,0.01
jelasin,0.01
jero,0.01
jerome,0.01
jika,0.01
jiwa,0.01
jok,0.01
juga,0.082
jujur,0.01
jyahah,0.01
kabeh,0.01
kadang,0.02
kademen,0.01
kai,0.01
kalah,0.031
kalau,0.082
kali,0.031
kan,0.051
karakter,0.01
karantina,0.01
karena,0.02
karone,0.01
kasi,0.01
kasir,0.02
kata,0.01
kawin,0.01
kayane,0.01
kbawa,0.01
kejut,0.02
keki,0.01
keluar,0.01
keluarga,0.02
kemangi,0.01
kembali,0.01
kembar,0.01
kena,0.01
kenal,0.01
kenapa,0.071
kenyel,0.01
kepekso,0.01
kepentinganya,0.01
ket,0.01
ketawa,0.01
ketemu,0.02
khilaf,0.01
kilogram,0.01
kirim,0.01
kiwi,0.01
kluarga,0.01
kluargane,0.01
knopo,0.01
konokno,0.01
korbanya,0.01
krasa,0.01
kucing,0.02
kulit,0.01
kumat,0.01
kurang,0.01
kyke,0.01
kyknya,0.01
lagi,0.051
lagu,0.031
lah,0.041
lahir,0.02
laki,0.051
laku,0.01
lalap,0.01
lama,0.01
lan,0.01
langit,0.01
langka,0.01
langsung,0.01
lanjut,0.01
lebah,0.01
lebar,0.01
lebaran,0.031
lebih,0.02
lek,0.01
lekas,0.01
lelah,0.01
lengkap,0.01
lewat,0.01
lihat,0.041
lis,0.01
liyo,0.02
loro,0.02
lounge,0.01
lwat,0.01
maaf,0.031
madiun,0.01
makas,0.01
makin,0.01
malabar,0.01
malah,0.031
malam,0.02
malang,0.02
malu,0.01
mana,0.01
mantan,0.01
manusia,0.01
marah,0.031
masa,0.02
masalah,0.02
masih,0.01
masker,0.01
mau,0.082
mayan,0.02
mbokyo,0.01
media,0.01
mel,0.01
memang,0.071
memangbahagia,0.01
mendengarkan,0.02
mendung,0.01
menemani,0.01
mentang,0.01
mesti,0.02
mg,0.01
mie,0.01
minta,0.01
minyak,0.01
mkirnya,0.01
model,0.01
mokel,0.01
mos,0.01
moso,0.01
mudah,0.01
mudik,0.01
mugo,0.01
muleh,0.01
mungkin,0.01
murah,0.01
musyrik,0.01
nah,0.01
naik,0.01
