term,weight
ada,0.07
adam,0.012
admin,0.012
agar,0.012
ajak,0.023
ajar,0.012
aji,0.012
akan,0.012
akb,0.012
akhir,0.059
alias,0.094
alis,0.023
allah,0.023
ambil,0.012
amin,0.012
aminin,0.012
amoun,0.012
ampun,0.082
amuro,0.012
anak,0.012
anda,0.235
andai,0.012
andela,0.012
aneh,0.023
angan,0.012
anggota,0.012
animatornya,0.012
apa,0.047
april,0.012
arti,0.012
ashraf,0.012
atas,0.023
atau,0.012
ayah,0.012
ayo,0.047
baca,0.035
badarawuhi,0.012
bagaimana,0.023
bagi,0.012
bagus,0.035
baik,0.07
balada,0.012
bang,0.059
banyak,0.012
bapak,0.023
bare,0.012
bareng,0.035
baru,0.023
bawa,0.023
beby,0.012
beda,0.012
begini,0.012
begitu,0.023
belanja,0.012
benar,0.023
bentar,0.012
bentuk,0.012
berat,0.012
bersih,0.012
besar,0.023
besok,0.023
betul,0.012
bias,0.012
biasa,0.012
bilang,0.012
bim,0.012
bisa,0.082
bodoh,0.012
bpjs,0.012
brand,0.012
buat,0.106
buka,0.023
bukan,0.035
cahaya,0.023
cak,0.012
canda,0.012
cantik,0.07
capr,0.012
cara,0.012
cari,0.012
catat,0.023
cats,0.012
celine,0.059
cemil,0.023
cerita,0.012
chel,0.012
chintya,0.012
ci,0.07
cides,0.012
cina,0.012
cinderela,0.012
cinta,0.059
coba,0.012
cocok,0.012
colab,0.012
corona,0.012
cuci,0.012
cuma,0.023
daftar,0.012
daku,0.012
dan,0.012
dandan,0.012
dapat,0.012
dari,0.023
datang,0.012
deh,0.012
dek,0.012
dekil,0.012
dendeng,0.012
dengan,0.047
dengar,0.023
depan,0.023
deras,0.012
deteksi,0.012
di,0.035
diaduin,0.012
diam,0.012
diclose,0.012
dikeluarin,0.012
dingin,0.012
dique,0.023
diri,0.035
ditangkep,0.012
ditangung,0.012
dividcal,0.012
djay,0.012
dobel,0.012
dokter,0.035
dong,0.153
dulu,0.023
eh,0.012
ejek,0.012
erikacang,0.012
euy,0.023
ex,0.023
far,0.012
favorit,0.023
favorites,0.012
fi,0.012
film,0.012
foro,0.012
foto,0.012
friends,0.012
futeiru,0.012
gabuka,0.012
gadis,0.023
gambar,0.023
gapake,0.012
gaterlalu,0.012
gelap,0.012
gemetar,0.012
gempiku,0.012
gen,0.035
gia,0.012
giat,0.012
gin,0.059
giveaway,0.023
gm,0.012
goa,0.188
golar,0.012
goler,0.012
goreng,0.012
gratis,0.012
gresik,0.012
grup,0.012
habis,0.035
hadir,0.012
haduh,0.023
haha,0.047
hai,0.047
haibara,0.012
hakuna,0.012
halusinasi,0.012
hampir,0.012
hamtaro,0.012
hanya,0.012
harap,0.047
harfiah,0.012
hari,0.035
haris,0.012
haru,0.012
haruka,0.012
harus,0.012
harusnya,0.023
heyheyhey,0.012
hilang,0.012
hormat,0.012
hua,0.023
hubung,0.012
hujan,0.012
ibu,0.07
ih,0.012
ikut,0.023
ikutin,0.012
in,0.035
indira,0.012
indy,0.012
info,0.106
ingat,0.023
ini,0.247
inspirasi,0.023
iroy,0.023
istirahat,0.023
istri,0.012
isu,0.012
itu,0.023
iya,0.094
jadi,0.164
jalan,0.012
jaman,0.023
jeket,0.012
jenis,0.012
jerome,0.012
jes,0.012
jess,0.012
jika,0.012
juga,0.035
kabar,0.012
kacau,0.012
kadang,0.012
kafe,0.012
kahitna,0.035
kalau,0.094
kali,0.035
kalian,0.012
kan,0.047
kapan,0.023
kapten,0.035
karena,0.012
kasi,0.012
kasih,0.141
kasur,0.012
kata,0.023
kawan,0.012
kaze,0.012
ke,0.012
kecil,0.023
kejut,0.023
kelelawar,0.012
kelimat,0.012
kemarin,0.023
ken,0.035
kenapa,0.047
kenyang,0.012
kepsek,0.012
keren,0.035
kerjain,0.012
kerudung,0.023
ketinggalan,0.012
ketupat,0.012
kfc,0.012
ki,0.023
kiara,0.012
kira,0.059
kirim,0.012
koneng,0.012
konferensi,0.012
konsep,0.023
konser,0.023
kontak,0.012
krab,0.012
kuat,0.012
kue,0.012
kunto,0.012
kutip,0.012
kyla,0.012
la,0.012
laen,0.012
lagu,0.047
lah,0.117
laki,0.035
lalu,0.012
lama,0.023
lamar,0.012
lancar,0.012
langsung,0.047
lanjut,0.012
lapar,0.012
lazada,0.012
lebih,0.035
leswara,0.012
lewat,0.012
lihat,0.094
lil,0.012
lirik,0.012
lockscren,0.012
loh,0.023
look,0.012
lupa,0.023
maaf,0.023
made,0.012
mahyon,0.023
makanya,0.023
maksud,0.012
malas,0.012
malaysia,0.012
mana,0.012
mandi,0.012
mangat,0.012
mantap,0.129
mantul,0.012
manusia,0.012
mario,0.012
marmut,0.012
masa,0.012
masak,0.012
masih,0.023
masing,0.023
masker,0.012
maskot,0.012
masuk,0.023
matata,0.012
mati,0.012
mau,0.106
mbok,0.012
memberi,0.012
membre,0.012
mengapa,0.012
mereka,0.012
merhatin,0.012
milen,0.023
milik,0.07
mimpi,0.012
minta,0.012
mm,0.023
mpries,0.012
muka,0.023
mungkin,0.012
muntah,0.023
musik,0.012
nama,0.023
nang,0.012
naomi,0.012
ngagetin,0.012
ngebayangin,0.012
ngesave,0.012
ngestory,0.012
ngiang,0.012
ngira,0.012
nila,0.012
nongol,0.012
novel,0.012
nubguin,0.012
nya,0.023
nyata,0.035
nyx,0.012
obrol,0.012
online,0.012
orang,0.023
orderanya,0.012
oshi,0.012
overtunes,0.012
padahal,0.012
pakai,0.035
paksa,0.012
paling,0.023
pantas,0.012
panutan,0.012
pasti,0.012
peci,0.012
pengaruh,0.012
pengirim,0.023
penuh,0.035
pepet,0.012
percaya,0.012
pernah,0.023
pertama,0.035
pict,0.012
pikir,0.012
pilih,0.012
pindah,0.012
pinjam,0.012
pita,0.012
piyik,0.012
polin,0.035
polisi,0.012
poso,0.012
poster,0.012
prang,0.012
profil,0.012
puasa,0.012
punya,0.023
puspit,0.012
racun,0.012
ragi,0.012
rambut,0.012
rapunzel,0.012
rumah,0.023
sabar,0.012
saipul,0.012
saja,0.082
sakura,0.012
salam,0.023
sama,0.164
sambung,0.012
sampai,0.023
sangka,0.012
satu,0.047
saudara,0.129
saved,0.012
saya,0.294
sayang,0.023
sebagai,0.012
sebentar,0.035
sebuah,0.047
sejak,0.012
sekali,0.211
sekarang,0.047
selalu,0.012
selamat,0.035
semangat,0.047
seminggu,0.012
semoga,0.035
semua,0.023
sendiri,0.035
sengaja,0.012
sep,0.012
seperti,0.07
serah,0.012
serak,0.012
sering,0.012
seringkali,0.012
serius,0.023
seru,0.012
sesak,0.012
sesi,0.012
sesuai,0.023
shandi,0.012
shani,0.012
shanju,0.012
shopee,0.012
si,0.059
siap,0.023
siapa,0.023
sih,0.106
sirkus,0.012
sisca,0.023
situ,0.012
skype,0.012
soal,0.023
sonya,0.023
sore,0.023
soulmate,0.012
stefi,0.012
streaming,0.012
suami,0.012
suara,0.047
suatu,0.012
sudah,0.117
suka,0.035
sumpah,0.012
syarat,0.012
tadi,0.035
tahu,0.023
tahun,0.035
takut,0.035
tambah,0.012
tangan,0.023
tanggal,0.012
tangis,0.023
tanjung,0.023
tantang,0.012
tawa,0.235
tekstur,0.012
teladan,0.012
telepon,0.012
telur,0.012
temenya,0.012
terang,0.012
terima,0.117
ternak,0.012
terps,0.012
terus,0.035
tes,0.023
tet,0.023
tetiba,0.012
tety,0.012
thai,0.012
tidak,0.364
tim,0.047
tiru,0.012
titip,0.012
toefl,0.012
tok,0.012
tonton,0.047
transfer,0.012
tuan,0.012
tugas,0.023
tuhan,0.012
tulis,0.012
tunggu,0.023
tunguin,0.012
turut,0.012
tutorial,0.012
twetnya,0.012
ulang,0.012
uler,0.012
ultang,0.012
umum,0.023
umur,0.012
ungu,0.023
untuk,0.012
usah,0.023
usaha,0.012
utama,0.012
ve,0.012
versi,0.012
via,0.023
video,0.023
viny,0.012
visinema,0.012
wah,0.117
wallpaper,0.012
wanita,0.082
warnain,0.012
waspada,0.023
webton,0.012
whatsapp,0.012
wocmen,0.012
woylah,0.035
ya,0.012
yah,0.012
yak,0.012
yang,0.012
yoklah,0.012
youtube,0.012
zara,0.012
zoom,0.012
