term,weight
abrek,0.008
acak,0.016
acara,0.016
aci,0.008
ada,0.041
aduh,0.016
aerobik,0.008
agama,0.008
agan,0.016
agar,0.033
ajar,0.016
akal,0.008
akan,0.008
akhir,0.025
alas,0.008
alias,0.025
ambil,0.008
ambyar,0.008
an,0.025
anak,0.008
ancen,0.008
anda,0.106
aneh,0.008
anggar,0.008
angur,0.008
apa,0.131
apadaya,0.008
aplikasi,0.008
arep,0.008
aries,0.008
arti,0.008
asa,0.008
asdfghjkl,0.008
asdfghjklsjdjdjajsjsj,0.008
asli,0.016
astaga,0.065
astagfirulahaladzim,0.008
asuransi,0.008
atas,0.016
awal,0.016
ayam,0.008
ayo,0.033
babat,0.008
baca,0.033
badmod,0.008
bagaimana,0.033
bahagia,0.016
baik,0.025
baileys,0.008
bajing,0.025
baju,0.025
bakar,0.008
bakat,0.008
balas,0.008
balasan,0.008
balik,0.008
bambank,0.016
bangga,0.008
bangkai,0.008
bangun,0.008
banjir,0.008
banyak,0.025
barang,0.008
barar,0.008
barat,0.008
barbie,0.008
barongsai,0.008
baru,0.025
baso,0.008
batu,0.008
bawa,0.008
bawang,0.008
bayangin,0.025
bebek,0.008
begitu,0.033
begron,0.008
behel,0.008
bela,0.008
belagu,0.008
belah,0.008
beli,0.025
belum,0.008
benar,0.025
benci,0.016
bengi,0.008
bentar,0.016
bentuk,0.008
beranda,0.016
berita,0.016
berkat,0.008
besar,0.041
bgn,0.008
biadab,0.008
bicara,0.008
bilang,0.016
bisa,0.033
blokir,0.008
bodoh,0.025
bodygoals,0.008
boleh,0.008
bom,0.016
boncabe,0.008
bosan,0.049
boyfriend,0.008
buat,0.098
bubur,0.008
budak,0.016
buibu,0.008
buka,0.025
bukan,0.025
bulan,0.025
buru,0.008
butuh,0.008
cakep,0.008
canda,0.008
capai,0.008
cara,0.008
cari,0.016
cc,0.025
cemil,0.041
cenayang,0.008
cerita,0.008
chatnya,0.008
chef,0.008
chloe,0.008
cht,0.016
cinta,0.041
cita,0.016
cmimiw,0.008
coba,0.033
corona,0.033
cumi,0.008
dadi,0.016
daging,0.016
dan,0.025
dari,0.016
daridulu,0.008
deh,0.008
dekat,0.016
delta,0.008
dengan,0.025
dengkul,0.008
depan,0.008
deras,0.025
derita,0.008
desa,0.008
desti,0.008
di,0.025
diam,0.008
diapelin,0.008
dibanguin,0.008
digedein,0.008
digibahin,0.008
dikatain,0.008
