term,weight
abon,0.009
abusive,0.009
acak,0.027
ada,0.009
adalah,0.073
adobe,0.009
aduh,0.027
aelah,0.009
agar,0.018
akan,0.027
akhir,0.037
aktivitas,0.009
alam,0.009
allah,0.009
amelia,0.009
amin,0.018
an,0.027
anak,0.064
analyzing,0.009
anastasia,0.009
anda,0.165
aneh,0.018
angin,0.009
angkut,0.009
anita,0.009
anjing,0.018
apa,0.073
apart,0.018
appreciate,0.009
ardern,0.009
ardhito,0.009
arsitek,0.009
arti,0.009
arus,0.009
asa,0.009
asik,0.009
asin,0.009
asli,0.027
atas,0.009
atau,0.018
ave,0.009
awal,0.009
ayam,0.009
ayo,0.009
babak,0.009
baca,0.027
badan,0.009
bagaimana,0.018
bagi,0.018
bagus,0.055
bahagia,0.009
bahaya,0.009
bahkan,0.018
bahu,0.009
baik,0.11
bajing,0.046
bakat,0.009
balet,0.009
balik,0.009
balkon,0.009
banding,0.009
bangga,0.009
banyak,0.064
bapak,0.009
barat,0.009
bareng,0.009
baru,0.064
batu,0.009
bawa,0.018
bayar,0.009
bayi,0.009
beberapa,0.027
begitu,0.101
behind,0.009
bek,0.018
bel,0.018
bela,0.009
belah,0.018
belanja,0.009
bele,0.009
beli,0.027
belu,0.018
belum,0.018
benar,0.046
benda,0.027
bentuk,0.009
berapa,0.009
berat,0.009
berita,0.027
berkat,0.009
besar,0.027
biasa,0.027
bicara,0.009
bieber,0.046
bilal,0.009
bilang,0.009
bingkisanya,0.009
bisa,0.009
blogger,0.009
blp,0.009
bodoh,0.009
boi,0.009
bola,0.018
bosan,0.009
both,0.009
brand,0.009
bretman,0.009
buat,0.073
buka,0.018
bukan,0.027
bukber,0.009
bulan,0.018
bunuh,0.009
bwang,0.009
bwek,0.018
cakep,0.009
cang,0.009
cara,0.055
cat,0.018
cem,0.018
cemil,0.037
cempaka,0.009
cerita,0.046
cerpen,0.009
ci,0.009
cie,0.009
cincin,0.009
cinta,0.037
clifhouse,0.009
clinton,0.009
coba,0.037
congratulation,0.009
contoh,0.009
coolest,0.009
cowonya,0.009
cukup,0.009
cuma,0.046
cutie,0.018
cuy,0.018
dalam,0.009
dan,0.037
dapat,0.055
dari,0.037
datang,0.009
daya,0.009
decide,0.009
deh,0.055
deketku,0.009
dengan,0.009
dengar,0.009
depan,0.018
di,0.046
dia,0.037
dibukain,0.009
dikit,0.009
dilayanin,0.009
dimitri,0.009
dinding,0.009
dipretelin,0.009
direktur,0.009
diri,0.018
disney,0.009
doa,0.009
doang,0.018
dodo,0.009
