term,weight
abu,0.018
ada,0.035
adan,0.009
adiel,0.009
aduh,0.009
agar,0.044
ah,0.018
ai,0.009
ais,0.009
ajak,0.009
ajar,0.018
akan,0.018
akhir,0.027
aktif,0.009
akusi,0.009
alasan,0.009
amanda,0.009
ambyar,0.009
amin,0.009
ampun,0.027
anak,0.027
anda,0.035
andai,0.009
angin,0.009
anya,0.009
apa,0.097
arah,0.009
arvin,0.018
asistensi,0.009
auah,0.009
awal,0.009
ayah,0.018
ayo,0.044
babay,0.009
babeh,0.009
bagaimana,0.071
bahan,0.009
bahas,0.009
baik,0.035
baim,0.009
baju,0.009
balas,0.009
balesanya,0.009
balsem,0.009
bang,0.035
bangga,0.009
bantu,0.018
banyak,0.035
bapak,0.018
baru,0.018
batin,0.009
bawa,0.009
bawah,0.009
bayar,0.009
beda,0.009
begadang,0.009
begitu,0.044
beh,0.009
bekas,0.009
bel,0.009
bela,0.009
belakang,0.009
beli,0.009
belum,0.071
benar,0.009
benci,0.009
bengkak,0.009
bentar,0.018
beranda,0.018
berani,0.009
berkas,0.018
besok,0.018
biarin,0.009
bias,0.018
biasa,0.027
bilang,0.053
bingung,0.027
bis,0.009
bisa,0.009
bisan,0.009
biskuit,0.018
bismillah,0.009
blok,0.009
bnr,0.018
bodoh,0.009
bogor,0.009
boleh,0.062
boong,0.009
brengsek,0.009
brg,0.009
buang,0.009
buat,0.053
buka,0.018
bukan,0.035
bulan,0.018
bungkus,0.009
butuh,0.009
cabai,0.009
cabang,0.009
cara,0.035
cari,0.035
cecep,0.009
cecepi,0.009
cecepiyah,0.009
ceker,0.009
celupin,0.009
cemil,0.08
cemilin,0.009
cepat,0.009
chatnya,0.009
cimol,0.009
cita,0.009
cium,0.009
ciway,0.009
coba,0.009
comblangin,0.009
contoh,0.009
cpt,0.009
crt,0.018
cuci,0.018
cuma,0.044
dapat,0.009
dari,0.035
deh,0.044
dekat,0.018
dendam,0.009
deng,0.009
dengan,0.027
depan,0.035
desimal,0.009
detik,0.027
dewan,0.018
deya,0.009
di,0.018
dibenerin,0.009
diblg,0.009
didik,0.009
diesel,0.009
dikirain,0.009
dikit,0.009
dil,0.009
dimafin,0.009
dimention,0.009
dipendem,0.009
dipikirin,0.009
diri,0.044
ditutorin,0.009
diva,0.018
doang,0.009
dong,0.062
dosen,0.018
dp,0.009
dtgnya,0.009
duka,0.009
dund,0.009
edit,0.009
el,0.009
emosi,0.018
enak,0.018
endorse,0.009
engeh,0.009
eug,0.009
feb,0.009
fizi,0.009
fokus,0.009
foto,0.035
fungsi,0.009
gabikin,0.009
gabs,0.044
gadibls,0.009
gadis,0.009
gahrs,0.009
gajelas,0.009
gakuat,0.009
galangsung,0.009
gamampu,0.009
gaprnh,0.009
gara,0.009
garis,0.009
gasalah,0.009
gasih,0.009
gasukak,0.009
geli,0.009
gemesh,0.018
gemini,0.009
gendut,0.009
gin,0.115
gmnsik,0.009
goa,0.009
grup,0.009
gundar,0.009
habis,0.009
hak,0.009
hambat,0.009
hangat,0.009
hanya,0.009
hapus,0.009
harap,0.009
hari,0.018
harus,0.027
hasil,0.018
hati,0.018
hehehehehehehe,0.009
heran,0.018
himatasya,0.009
hormat,0.009
hubungan,0.018
huruf,0.009
ibok,0.018
ibu,0.009
ih,0.009
ihiy,0.009
ikut,0.009
iky,0.009
ilaihi,0.009
in,0.018
ina,0.009
inalilahi,0.009
indonesia,0.018
ingat,0.018
ingetin,0.009
ini,0.053
inshalah,0.009
intersep,0.009
ipk,0.009
ish,0.009
isi,0.035
itu,0.044
itumah,0.009
iya,0.053
jadi,0.089
jadin,0.009
jajan,0.009
jalan,0.027
jalanin,0.009
jam,0.018
jarak,0.018
jari,0.018
jarjit,0.009
jauh,0.018
jawab,0.018
jen,0.009
jia,0.018
jiakh,0.018
jiwa,0.009
joget,0.009
juga,0.053
kabar,0.009
kaca,0.018
kadang,0.009
kaki,0.018
kalau,0.274
kali,0.027
kalian,0.009
kamar,0.009
kamat,0.009
kampus,0.009
kan,0.035
karena,0.106
kartu,0.009
kasih,0.018
kasus,0.009
kata,0.027
kayak,0.106
kebaikanya,0.009
kebalikanya,0.009
kecil,0.009
kelas,0.009
kelok,0.009
keluar,0.009
kemarin,0.009
kena,0.009
kenal,0.009
kenapa,0.035
kepentok,0.009
kereta,0.009
kerja,0.027
kerudung,0.009
kerupuk,0.009
kesal,0.035
kesoktauan,0.009
ketemu,0.035
ketinggalan,0.009
kira,0.018
kita,0.009
korelasi,0.009
kos,0.009
kosong,0.062
koyo,0.009
ktnya,0.018
kuliah,0.027
kuning,0.009
kyknya,0.009
lagi,0.035
lagu,0.009
lah,0.009
laki,0.035
lama,0.027
lambat,0.009
langsung,0.044
lanjut,0.018
lanjutanya,0.009
lapar,0.018
laptop,0.009
lebaran,0.009
lebih,0.044
lelah,0.009
lereng,0.009
liatin,0.009
lihat,0.044
link,0.018
linknya,0.018
lucu,0.009
lumayan,0.018
lupa,0.035
maaf,0.018
macam,0.018
makanya,0.009
makin,0.009
malah,0.018
malam,0.053
malas,0.009
malu,0.035
mamang,0.009
mana,0.009
manda,0.018
mangarai,0.009
manis,0.009
mantap,0.009
mantul,0.009
margonda,0.009
masak,0.009
masakanya,0.009
masih,0.044
maskun,0.009
masuk,0.009
mata,0.009
matang,0.009
mau,0.027
mauk,0.009
mayoritas,0.009
mbanya,0.009
mbil,0.018
mecin,0.009
memang,0.044
mendengarkan,0.009
mentang,0.009
merah,0.009
mie,0.009
mimpi,0.018
minta,0.018
mnt,0.009
mobil,0.018
mrk,0.027
msk,0.018
mudah,0.035
muncul,0.009
mungkin,0.009
nah,0.009
najis,0.009
nama,0.009
nanti,0.018
nanyanya,0.009
napasyi,0.009
nasi,0.027
neraka,0.009
ngalir,0.009
ngelakuin,0.009
ngelatih,0.009
ngikut,0.009
ngulang,0.009
niat,0.009
nilai,0.009
nini,0.018
nmr,0.009
nutupin,0.009
nya,0.115
nyal,0.018
nyanyi,0.009
nyata,0.027
offline,0.009
oke,0.009
olah,0.009
oleng,0.009
omong,0.053
online,0.053
orang,0.062
pacar,0.018
pada,0.027
padahal,0.027
pagi,0.009
paling,0.009
panas,0.009
pancing,0.009
panda,0.009
panjang,0.018
pantas,0.009
parah,0.018
pasang,0.009
pasti,0.009
pecah,0.009
pelit,0.009
pengirim,0.195
penting,0.009
penuh,0.009
perang,0.009
peras,0.009
percaya,0.009
pergi,0.027
