term,weight
abal,0.018
abot,0.005
acab,0.014
acung,0.005
ada,0.005
adab,0.014
adahe,0.005
adan,0.005
adil,0.005
adims,0.005
adoh,0.005
aduh,0.005
afc,0.005
agar,0.005
agomo,0.014
air,0.005
ajar,0.014
aka,0.005
akan,0.005
akh,0.005
akhir,0.05
akhire,0.018
akoni,0.005
akun,0.032
alas,0.018
alat,0.005
alfa,0.009
ali,0.005
alias,0.005
alquran,0.005
amal,0.005
aman,0.005
ambek,0.064
ambil,0.005
amerika,0.005
amin,0.009
an,0.077
anak,0.041
ananda,0.005
anas,0.005
ancen,0.041
ancok,0.014
anda,0.082
angaran,0.005
angelina,0.005
angin,0.005
anis,0.005
antem,0.018
anteng,0.005
apa,0.155
apartemen,0.005
apik,0.005
arabia,0.005
arah,0.014
arek,0.055
arema,0.046
aremania,0.005
ari,0.005
arti,0.005
asing,0.005
asli,0.005
asline,0.005
astaga,0.005
asyu,0.009
atas,0.009
ate,0.046
atur,0.014
awak,0.023
awan,0.005
awayday,0.005
awur,0.005
ayem,0.005
ayo,0.118
babi,0.009
bacok,0.005
badan,0.005
badokan,0.005
badut,0.009
bagai,0.009
bagaimana,0.005
bahan,0.005
bahkan,0.018
baik,0.036
bajing,0.018
bakar,0.009
bakso,0.005
balas,0.018
balen,0.005
balik,0.046
bandar,0.005
bang,0.005
bangkal,0.005
bangsa,0.005
banyak,0.068
banyu,0.005
bapak,0.027
baperan,0.005
bar,0.009
barang,0.005
bareng,0.014
baru,0.014
batako,0.005
bawa,0.009
bayar,0.005
bayarane,0.005
bayem,0.005
bcs,0.009
beban,0.005
beces,0.005
beda,0.009
bedane,0.005
bedano,0.014
bedes,0.009
bedo,0.009
begitu,0.005
bejat,0.005
bel,0.005
belah,0.027
belakang,0.005
belan,0.005
beleh,0.005
beliau,0.005
belo,0.005
ben,0.027
benar,0.009
benci,0.014
bendera,0.009
benere,0.005
bengak,0.005
bengi,0.009
bengok,0.005
beratitude,0.005
berita,0.032
besar,0.009
betah,0.005
biarin,0.005
biasa,0.036
bibit,0.005
bilang,0.023
bilard,0.005
bingung,0.005
birah,0.005
bisu,0.005
biyen,0.027
blakrakan,0.005
blantik,0.005
blok,0.005
blokir,0.005
bocor,0.005
bodoh,0.055
bojo,0.009
bojone,0.005
bola,0.05
bolak,0.005
bolong,0.005
bonus,0.005
bos,0.005
botol,0.009
browser,0.005
buah,0.005
buat,0.032
budal,0.046
budali,0.005
budaya,0.005
budek,0.005
buka,0.005
bukan,0.023
buktine,0.005
bumbu,0.005
bundelane,0.005
bunuh,0.009
busuk,0.005
buta,0.005
butuh,0.014
buyar,0.005
cabang,0.005
caci,0.005
calone,0.005
campur,0.005
canda,0.005
cangkem,0.014
cangkeman,0.005
cangkeme,0.018
cangkemnya,0.005
cangkemu,0.014
cantik,0.005
capai,0.009
cara,0.027
carane,0.005
cari,0.009
celaka,0.005
cemil,0.009
cendol,0.005
cepat,0.018
cerdas,0.005
cerewet,0.009
ceritone,0.005
cermin,0.005
cilik,0.023
cina,0.005
ciptakne,0.005
ciptane,0.005
clubku,0.005
clubmu,0.009
coba,0.005
cok,0.077
comberan,0.009
contoh,0.005
corona,0.005
crito,0.005
cuk,0.014
cukup,0.009
culekno,0.005
cuma,0.018
curang,0.005
dadi,0.041
dadio,0.005
daerah,0.005
daftar,0.009
daging,0.009
dajal,0.005
dakwah,0.009
dal,0.041
dalam,0.009
dalgi,0.005
dalgie,0.005
dalil,0.005
damai,0.009
dapur,0.005
dar,0.005
darah,0.014
daripada,0.005
dasar,0.009
data,0.005
datang,0.014
dawet,0.005
debat,0.005
dedengkot,0.005
deh,0.005
demo,0.005
demokrasi,0.005
dengar,0.005
depan,0.005
desa,0.005
desoku,0.005
dewe,0.059
di,0.036
dia,0.018
didik,0.005
dijak,0.014
dikiro,0.005
dinding,0.009
diri,0.014
dirine,0.005
diskusi,0.009
dodol,0.014
dokter,0.05
dolen,0.005
doleno,0.005
doro,0.009
dorong,0.005
doronge,0.009
dosa,0.005
dowo,0.005
drama,0.059
drong,0.018
dronge,0.005
duduhi,0.005
dukor,0.009
dulu,0.014
dulur,0.005
dulure,0.005
duso,0.005
duwe,0.032
duwek,0.014
duwik,0.005
dwi,0.005
edukasi,0.005
efektif,0.005
eh,0.005
eksekusi,0.005
elak,0.005
elek,0.009
eleng,0.014
elengno,0.005
elite,0.005
elitnya,0.005
email,0.005
emane,0.005
embong,0.005
emosi,0.009
en,0.023
enak,0.009
endas,0.005
endi,0.018
enek,0.005
entah,0.005
ente,0.018
entek,0.005
entos,0.005
ereng,0.005
evakuasi,0.005
eyel,0.005
fadli,0.005
faedah,0.005
faktane,0.005
faldo,0.005
fans,0.009
felix,0.005
fifa,0.005
fitnah,0.005
foto,0.009
fotone,0.014
freport,0.005
fresex,0.005
fungsi,0.005
gaberes,0.005
gadaino,0.005
gadis,0.005
gadue,0.005
gae,0.159
gaene,0.005
gaero,0.005
gaiso,0.018
gajah,0.036
gajayana,0.005
gajelas,0.005
galvalum,0.005
game,0.005
gamungkin,0.005
gang,0.009
ganok,0.036
gaoleh,0.014
gapercoyo,0.005
gara,0.027
garangan,0.009
gasiap,0.005
gasido,0.014
gatal,0.005
gawang,0.005
gelem,0.027
geli,0.005
gembok,0.005
genah,0.009
gendong,0.005
genti,0.014
gepuk,0.009
gera,0.005
gertak,0.018
gerung,0.005
giat,0.005
gila,0.005
gilir,0.005
gimbal,0.005
gin,0.005
glek,0.005
glem,0.005
gojek,0.005
golek,0.005
golong,0.005
golongane,0.014
gorong,0.005
gowo,0.018
gowok,0.005
goyang,0.005
gratis,0.009
gubernur,0.009
guduk,0.018
guling,0.005
gulune,0.005
gunane,0.005
gunung,0.009
gurih,0.005
guru,0.023
gusti,0.009
guyon,0.014
guyu,0.005
habis,0.005
habitat,0.005
hak,0.005
halabes,0.005
halah,0.005
hancok,0.005
hancur,0.005
hangat,0.005
hapus,0.009
harap,0.009
harga,0.014
hari,0.005
harus,0.009
hasil,0.005
hati,0.018
hayam,0.005
hehehehe,0.018
helm,0.009
henti,0.014
heran,0.005
hianat,0.005
hidup,0.005
hijau,0.009
hijrah,0.005
hijrain,0.005
hiv,0.005
hotel,0.005
hti,0.014
hubung,0.005
hukum,0.005
idek,0.009
igku,0.005
ii,0.014
ijolne,0.005
ikan,0.005
ikiloh,0.005
iko,0.009
iku,0.1
ikupun,0.005
ikut,0.023
ilangi,0.005
ilmu,0.009
ilmune,0.005
ilokno,0.009
imam,0.005
iman,0.005
imb,0.005
inap,0.005
inbox,0.005
indonesia,0.036
informasi,0.005
ingat,0.018
ingin,0.027
ini,0.105
instagram,0.009
internasional,0.005
intine,0.005
iseni,0.018
isi,0.009
isine,0.009
iso,0.073
istimewa,0.009
istirahat,0.005
isuk,0.005
itu,0.005
iya,0.014
jadi,0.032
jagale,0.005
jagongan,0.005
jah,0.009
jahanam,0.005
jajal,0.009
jak,0.005
jalan,0.014
jalur,0.005
jam,0.023
jaman,0.018
jamin,0.009
jamu,0.014
jancok,0.046
jancuk,0.009
jaran,0.005
jarang,0.005
jare,0.009
jauh,0.032
jauk,0.023
jawab,0.014
jebak,0.005
jelas,0.032
jembut,0.005
jeneng,0.009
jenenge,0.018
jihad,0.014
jijik,0.009
jilat,0.005
jilbab,0.005
jiwa,0.005
jmpol,0.005
jogo,0.005
jokowi,0.005
jorok,0.014
jt,0.005
juang,0.009
judi,0.005
juga,0.009
jurus,0.009
juruse,0.005
juta,0.005
juz,0.005
kabeh,0.027
kaca,0.005
kadaluarsa,0.005
kadang,0.005
kadung,0.014
kae,0.005
kafer,0.005
kafir,0.014
kaken,0.023
kaki,0.009
kalah,0.027
kalau,0.023
kali,0.009
kalian,0.005
kalimat,0.005
kamera,0.005
kan,0.014
kanan,0.009
kandang,0.005
kandani,0.018
kantor,0.009
kapan,0.005
kapasitas,0.005
karek,0.005
karena,0.041
kari,0.005
karu,0.005
karuan,0.005
karuane,0.005
kasar,0.005
kasi,0.009
kasih,0.009
kasus,0.005
kata,0.046
katain,0.005
kate,0.009
kaum,0.005
kaus,0.005
kawanen,0.005
kbenarane,0.005
kebengen,0.005
kebodohanya,0.005
kecewa,0.005
kegoblokanya,0.005
kejam,0.005
kelakar,0.009
kelakuane,0.005
kelas,0.014
kelon,0.005
keluar,0.005
kembali,0.005
kena,0.005
kenal,0.005
kenapa,0.096
kendaran,0.005
kene,0.041
kenek,0.027
kenob,0.014
kentuan,0.005
kenyat,0.005
keramik,0.005
kerek,0.009
keri,0.005
kerja,0.005
kertas,0.005
kesal,0.005
kesengol,0.005
ket,0.018
ketemu,0.018
ketepil,0.005
ketok,0.005
ketulung,0.005
kewajibane,0.005
khalifah,0.005
khilaf,0.005
ki,0.009
kilas,0.005
kiri,0.009
kirim,0.009
klarifikasi,0.005
klemar,0.005
klemer,0.005
klub,0.036
knek,0.009
koar,0.009
kober,0.009
koco,0.014
kocoe,0.009
kod,0.005
koen,0.005
kolor,0.005
komentar,0.005
komunis,0.005
kon,0.036
konco,0.005
koncone,0.005
kondo,0.005
kongkon,0.005
kongkonen,0.005
kono,0.005
konoloh,0.005
kontak,0.005
konten,0.009
kopen,0.005
kopi,0.041
korbane,0.005
korea,0.009
korupsi,0.005
kota,0.005
kpu,0.005
kramik,0.018
kreatifitas,0.005
kritik,0.005
kroyok,0.009
krungu,0.005
ktp,0.005
kualitas,0.005
kubu,0.009
kudeta,0.009
kudune,0.005
kumpul,0.005
kunu,0.009
kuoso,0.005
kuota,0.023
kurang,0.005
kutomu,0.005
kw,0.018
lacur,0.005
lagu,0.009
lah,0.059
lahir,0.009
laju,0.009
lak,0.005
laki,0.064
lakok,0.005
lalapane,0.005
lali,0.005
lam,0.005
lama,0.009
lampune,0.005
landep,0.005
langsung,0.032
lantang,0.005
lapar,0.005
lapo,0.027
lapor,0.005
larang,0.009
laskar,0.005
lawan,0.009
lawang,0.005
lebih,0.041
lebokno,0.005
lek,0.223
leker,0.005
lelucon,0.005
lempar,0.005
lengkap,0.005
lihat,0.005
lindung,0.005
lingkar,0.005
liperpol,0.009
liwat,0.009
liyane,0.009
liyo,0.014
loc,0.005
lockdown,0.005
logika,0.009
loh,0.023
lok,0.005
lonte,0.018
loro,0.005
lotnok,0.005
lpg,0.005
luar,0.009
lumayan,0.005
lunguhno,0.005
lur,0.009
luwe,0.009
maaf,0.009
mabuk,0.005
macak,0.018
macet,0.009
maeng,0.009
mahasiswa,0.005
maido,0.005
majang,0.005
maju,0.018
makane,0.005
maki,0.005
maklum,0.005
maksud,0.005
malah,0.046
malang,0.087
maling,0.005
malu,0.018
mana,0.027
mandar,0.005
mangan,0.009
mangkakne,0.014
mangkel,0.005
mania,0.005
mantap,0.005
mantau,0.005
manusia,0.014
marah,0.005
marani,0.005
marhaban,0.005
maringunu,0.005
masak,0.005
masalah,0.018
masio,0.032
masjid,0.005
masker,0.005
massa,0.005
masuk,0.018
masya,0.005
mata,0.027
matane,0.014
matek,0.005
mati,0.014
mau,0.009
mbah,0.005
mbalon,0.009
mbek,0.036
mbok,0.005
mbokne,0.014
mbuh,0.009
mburi,0.009
mebel,0.009
media,0.009
mediasi,0.005
meduro,0.014
mek,0.077
melbu,0.014
melek,0.005
memang,0.009
menang,0.014
mendengarkan,0.005
menjoba,0.005
mental,0.009
menungsani,0.005
menungso,0.005
mercon,0.018
mereka,0.005
meter,0.005
metu,0.014
mia,0.005
miber,0.005
mikiri,0.005
milenial,0.005
mim,0.005
