term,weight
acara,0.008
ada,0.016
adalah,0.008
admin,0.057
ads,0.008
afganistan,0.008
afghanistan,0.016
agar,0.024
air,0.008
aish,0.008
ajak,0.008
ajar,0.016
ajp,0.008
akal,0.008
akhir,0.016
alam,0.008
alamat,0.008
alami,0.033
alm,0.016
als,0.008
amandel,0.008
ambil,0.008
ambisi,0.008
amerika,0.008
amin,0.016
an,0.008
anak,0.024
analisa,0.008
anggota,0.008
angka,0.008
antar,0.008
antibakteri,0.008
antibiotik,0.008
antinflamasi,0.016
antioksidan,0.008
antivirus,0.008
apa,0.041
argumen,0.008
arti,0.008
artis,0.008
asal,0.016
asli,0.016
atas,0.041
avicena,0.008
awal,0.016
ay,0.008
baca,0.041
bacan,0.016
badan,0.008
bagai,0.016
bagaimana,0.024
bagus,0.016
bahagia,0.016
bahan,0.016
bahas,0.016
baik,0.089
bakar,0.008
baku,0.008
balas,0.024
balik,0.008
banding,0.008
bang,0.179
bangsa,0.008
bantu,0.008
banyak,0.081
bapak,0.203
barakalahu,0.008
barang,0.008
baru,0.016
batuk,0.008
bawah,0.008
bayar,0.016
bebas,0.008
beberapa,0.033
beda,0.041
bedain,0.008
bedan,0.008
begini,0.008
begitu,0.049
bekas,0.008
beli,0.041
beliau,0.057
belum,0.033
benang,0.008
benar,0.041
bengkak,0.008
bengkel,0.008
berapa,0.016
berita,0.008
bersih,0.008
betina,0.008
betul,0.008
bgmn,0.016
biasa,0.008
biaya,0.016
bicara,0.024
bidznilah,0.016
bilang,0.008
bisa,0.041
bismillah,0.016
blitar,0.008
bohong,0.008
boncosnya,0.008
bosman,0.016
buah,0.008
buat,0.114
bubonic,0.008
bubur,0.008
buka,0.033
bukan,0.073
bukankah,0.008
bukit,0.016
bukti,0.016
buku,0.008
bulan,0.033
bumi,0.008
bunga,0.008
bungkus,0.008
butuh,0.033
byknya,0.008
cahaya,0.016
cair,0.024
campur,0.008
cara,0.024
cari,0.016
catat,0.008
cc,0.008
celup,0.008
cemara,0.008
cemil,0.049
cerita,0.008
cetak,0.008
cilok,0.016
cina,0.016
ciputat,0.016
cisarua,0.008
coba,0.041
colaps,0.008
corona,0.016
coronanya,0.008
cuekin,0.008
cukup,0.033
cuma,0.008
da,0.008
daftar,0.008
dagang,0.024
dalam,0.008
dan,0.016
dana,0.024
dapat,0.024
dar,0.008
dari,0.114
daripada,0.008
data,0.041
datang,0.008
daun,0.008
debat,0.008
demam,0.008
dengan,0.081
dengar,0.024
depan,0.016
deras,0.008
di,0.041
didentikan,0.008
dijakarta,0.008
dipingir,0.008
diri,0.008
disamain,0.008
ditambahin,0.008
ditangepin,0.008
doang,0.008
dokter,0.122
dong,0.024
dorong,0.008
dosis,0.008
drive,0.008
drmana,0.016
drum,0.008
duduk,0.016
dulu,0.073
ecer,0.008
edar,0.016
efek,0.016
efisien,0.008
efisiensi,0.008
eits,0.008
