term,weight
ada,0.094
adalagi,0.016
adalah,0.031
adaptasi,0.016
admin,0.016
agama,0.016
agar,0.047
ah,0.016
air,0.063
ajak,0.016
akan,0.031
akhir,0.11
aksi,0.016
alih,0.016
ambil,0.016
an,0.016
anak,0.063
anda,0.094
angka,0.016
anime,0.016
anjur,0.016
antem,0.016
anu,0.016
apa,0.126
api,0.016
aplikasi,0.031
arang,0.016
arti,0.016
as,0.016
asam,0.016
awal,0.016
ayo,0.063
baca,0.063
bagai,0.016
bagaimana,0.047
baik,0.079
bandung,0.016
bang,0.031
bantu,0.031
bapak,0.079
baru,0.079
batin,0.016
bawa,0.031
bayar,0.063
beda,0.016
begini,0.016
begitu,0.126
belakang,0.031
belanda,0.016
beli,0.079
beliau,0.016
belum,0.016
benar,0.079
berat,0.016
beri,0.016
berlian,0.016
besar,0.016
betul,0.031
biasa,0.047
biaya,0.031
bilang,0.016
bisa,0.016
blio,0.031
bodoh,0.031
boku,0.031
boleh,0.016
bom,0.016
bos,0.016
both,0.016
breaking,0.031
bred,0.016
buang,0.031
buat,0.157
budak,0.016
buka,0.016
bukan,0.079
bulan,0.031
buruk,0.031
butuh,0.016
captainya,0.016
cari,0.016
cc,0.016
cepat,0.016
cerdas,0.016
cil,0.016
cinta,0.016
ckck,0.016
clear,0.016
cocok,0.016
corona,0.016
cukur,0.016
cuma,0.031
dagang,0.016
damai,0.016
dan,0.031
danke,0.016
dari,0.016
daripada,0.016
datang,0.016
dekat,0.016
deku,0.031
dengan,0.031
dep,0.016
depa,0.016
di,0.016
diagnosa,0.016
dikenalin,0.016
dikit,0.031
dila,0.016
dipangilnya,0.016
diri,0.016
dit,0.016
ditati,0.016
doang,0.031
dokter,0.016
dong,0.047
dua,0.016
duduk,0.016
dulu,0.031
duluan,0.016
dunia,0.016
eh,0.016
eksekusi,0.016
eksplor,0.016
elite,0.016
emot,0.016
enak,0.016
episode,0.031
eren,0.016
es,0.016
ex,0.016
exp,0.016
fifth,0.016
fotokopi,0.016
foya,0.031
fulan,0.016
gabi,0.016
gambar,0.031
gamers,0.016
ganjar,0.016
ganjil,0.016
gapake,0.031
gawean,0.016
gemilau,0.016
gemintang,0.016
gerak,0.016
gigi,0.016
gin,0.047
goa,0.079
grader,0.016
gula,0.016
gulir,0.016
guna,0.016
habis,0.047
hai,0.016
haikyu,0.016
hanya,0.016
hanzo,0.016
harap,0.016
harga,0.063
hati,0.016
heist,0.031
heistnya,0.016
henti,0.016
hidup,0.016
hokage,0.016
hubung,0.016
hukum,0.063
huruf,0.016
hype,0.016
ibu,0.047
idam,0.016
ikut,0.063
inbox,0.016
indah,0.016
indonesia,0.031
info,0.016
ingat,0.031
ingin,0.016
ini,0.063
istirahat,0.063
isu,0.016
itachiyama,0.016
itu,0.031
iya,0.126
iyasih,0.016
jabat,0.016
jadi,0.157
jaga,0.016
jahat,0.016
jaksa,0.016
jalan,0.016
jalur,0.016
jam,0.016
jangkau,0.016
jari,0.016
jauh,0.016
jawab,0.031
jendral,0.016
jersey,0.031
jinbei,0.016
jo,0.047
jokowi,0.016
juar,0.016
jubah,0.016
juga,0.031
juta,0.016
kacau,0.016
kai,0.031
kait,0.016
kaki,0.016
kalau,0.157
kali,0.031
kangker,0.016
kapan,0.016
