term,weight
acak,0.007
acara,0.013
aces,0.007
ada,0.074
adaga,0.007
adan,0.007
adenya,0.013
agar,0.04
ah,0.04
aidzin,0.02
aip,0.02
air,0.007
ajak,0.007
ajar,0.02
akan,0.02
akhir,0.033
akumah,0.027
al,0.02
alias,0.007
alih,0.007
alisa,0.007
alm,0.007
amal,0.007
aman,0.007
amin,0.02
ampun,0.007
an,0.013
anak,0.047
anda,0.107
aneh,0.007
angin,0.007
ann,0.007
aolku,0.007
apa,0.054
apalagiya,0.007
aplikasi,0.02
ar,0.007
arah,0.007
arikingking,0.007
arsip,0.007
arti,0.007
aslik,0.007
astaga,0.007
atas,0.033
atauga,0.007
ath,0.007
atuhda,0.007
atur,0.007
aul,0.007
aunties,0.007
aviwkila,0.007
awal,0.007
ayam,0.007
ayo,0.013
azriel,0.007
bab,0.007
baca,0.02
bagaimana,0.04
bagus,0.013
bahasa,0.007
baik,0.04
balas,0.007
balik,0.02
banding,0.007
bandung,0.007
bangga,0.007
bangun,0.027
bangunin,0.007
bantu,0.033
banyak,0.04
bapak,0.06
bareng,0.007
baru,0.06
baso,0.007
batas,0.007
bawa,0.02
bawah,0.013
bawain,0.007
bayang,0.027
beada,0.007
bebas,0.007
bebeledagan,0.007
beberapa,0.007
beda,0.027
begini,0.02
begitu,0.094
beku,0.007
bele,0.007
beli,0.02
benar,0.033
benci,0.02
bene,0.007
bentuk,0.007
beranda,0.007
berat,0.013
beri,0.02
berita,0.013
beritahu,0.007
berkah,0.007
bersingungan,0.007
besar,0.033
betuls,0.007
bgtbgt,0.007
bias,0.007
biasa,0.033
biaya,0.007
bibi,0.013
bicara,0.007
bilang,0.04
bilot,0.007
bingbing,0.007
bingung,0.02
bisa,0.033
bisul,0.007
bobanya,0.007
bodoh,0.007
boleh,0.007
bom,0.007
bongkar,0.007
bookmark,0.007
boong,0.007
boromeus,0.007
bos,0.007
bruntusan,0.007
buah,0.013
buat,0.06
bucat,0.007
budak,0.007
buka,0.02
bukan,0.047
buku,0.007
bulak,0.007
bulan,0.02
bulu,0.007
bumerang,0.007
buna,0.013
buntal,0.007
bunuh,0.007
burung,0.007
butuh,0.007
bw,0.007
cabut,0.007
cakue,0.007
cantik,0.007
cara,0.013
cari,0.02
celinguk,0.007
cemil,0.06
cepat,0.027
ceplak,0.007
chairmate,0.007
cilor,0.02
cim,0.007
cincin,0.007
cingak,0.007
cinta,0.007
cip,0.013
cit,0.007
coba,0.027
cornering,0.007
corona,0.013
cpt,0.007
cuci,0.007
cukup,0.007
cuma,0.087
cuman,0.013
da,0.013
daging,0.007
damar,0.007
dan,0.02
dapat,0.02
darah,0.007
daripada,0.013
dasar,0.007
datang,0.007
deby,0.007
degdeganya,0.007
deh,0.06
dekat,0.007
dengan,0.033
dentum,0.007
des,0.007
di,0.047
diakumah,0.007
diam,0.027
dibekelin,0.007
dicoceng,0.007
diet,0.013
digituin,0.013
dihack,0.007
dika,0.007
dilancarin,0.007
dinding,0.007
dingetin,0.007
dini,0.007
diri,0.007
diskon,0.007
disuguhin,0.007
ditawarin,0.007
diterusin,0.007
doa,0.02
doang,0.007
doger,0.007
dong,0.013
dosen,0.007
du,0.007
dua,0.013
duany,0.007
duduk,0.007
dulu,0.067
dzikir,0.007
easiest,0.007
ebel,0.02
ebul,0.007
eh,0.007
elep,0.007
emosi,0.027
enak,0.02
enaq,0.007
enek,0.013
eneuk,0.007
enk,0.013
epis,0.007
episode,0.007
erat,0.007
ermiati,0.007
es,0.027
fase,0.007
fitnah,0.007
fokus,0.007
foto,0.027
ftw,0.007
gaberani,0.013
gabetah,0.007
gadenger,0.007
gadget,0.007
gadicerna,0.007
gagendut,0.007
gaharus,0.007
gajah,0.007
gakuat,0.033
galang,0.013
gangerti,0.013
ganggu,0.007
ganti,0.007
gantung,0.02
ganyangka,0.007
