term,weight
ada,0.034
adalah,0.128
aduh,0.009
agar,0.017
ah,0.026
ahahahahah,0.009
aidzin,0.009
ajadeh,0.009
ajanih,0.009
ajar,0.009
ajasih,0.017
akan,0.043
akhir,0.026
akun,0.017
akur,0.017
album,0.017
alih,0.009
alir,0.009
alteko,0.009
aman,0.009
ambi,0.009
ampun,0.009
anak,0.017
anda,0.145
aneh,0.017
anggota,0.009
antartika,0.009
apa,0.111
apartement,0.009
apik,0.009
apnya,0.009
april,0.009
arb,0.009
asing,0.009
asli,0.026
astaga,0.009
atau,0.026
awal,0.009
ayo,0.026
baca,0.026
baekhyun,0.034
bagaimana,0.017
bagi,0.009
bagus,0.017
bahagia,0.026
bahkan,0.009
baik,0.068
bajing,0.043
balik,0.026
bangchan,0.009
bangun,0.009
bantal,0.009
banyak,0.026
barang,0.009
bareng,0.034
baret,0.009
baru,0.017
batal,0.009
batin,0.009
batu,0.009
bayar,0.009
bayu,0.017
bch,0.009
beberapa,0.017
beda,0.009
begitu,0.06
belah,0.017
belanja,0.009
beli,0.009
belum,0.009
benar,0.026
benci,0.009
benda,0.009
berak,0.009
beranda,0.009
berapa,0.009
berat,0.009
besar,0.026
besok,0.017
bias,0.017
biasa,0.034
bicara,0.009
bisa,0.094
bodoh,0.009
boleh,0.009
bos,0.009
bosan,0.009
boys,0.009
buang,0.009
buat,0.051
buble,0.009
budak,0.017
buk,0.009
buka,0.017
bukan,0.026
buku,0.009
bulan,0.009
bunuh,0.017
caka,0.009
cakep,0.009
canda,0.009
cantik,0.009
capai,0.009
capitalism,0.009
cara,0.026
cari,0.009
cas,0.009
cemil,0.017
cerita,0.009
cermat,0.009
changbin,0.017
changmo,0.009
chanyeol,0.017
chen,0.017
cinta,0.043
cloy,0.009
coban,0.009
comeback,0.034
convo,0.009
cuek,0.017
cuma,0.034
cupaps,0.009
cuy,0.009
dadak,0.017
dalam,0.009
dampar,0.009
dan,0.051
dapat,0.026
dari,0.051
days,0.009
debat,0.009
debut,0.009
decide,0.009
deh,0.051
dekat,0.009
dengan,0.026
dengar,0.026
depan,0.017
detected,0.009
dhiana,0.009
di,0.017
dia,0.043
digital,0.009
dilanjutin,0.009
dilema,0.009
dimafin,0.009
dimana,0.009
diri,0.026
disini,0.009
ditanyain,0.009
divo,0.009
doang,0.051
dohwan,0.009
doing,0.009
dong,0.017
dopleganger,0.009
dosa,0.009
dram,0.009
drama,0.034
drugs,0.009
dtng,0.009
dua,0.009
dude,0.009
dukung,0.017
dulu,0.068
dunia,0.017
dword,0.009
eaj,0.009
eh,0.085
embun,0.009
enak,0.034
eng,0.009
episode,0.043
