term,weight
ada,0.045
adalah,0.011
admin,0.034
adoh,0.011
adus,0.011
agar,0.034
agus,0.022
ajar,0.056
akan,0.011
akhir,0.022
akhlak,0.011
alas,0.011
alfatihah,0.011
ambil,0.011
anak,0.09
anata,0.011
anda,0.146
angin,0.011
angkut,0.011
apa,0.078
api,0.011
apk,0.011
arti,0.011
asik,0.011
asli,0.011
astaga,0.034
atas,0.011
awal,0.011
awan,0.011
ayam,0.034
ayo,0.045
ayunda,0.011
baca,0.067
bagaimana,0.022
bagus,0.011
bahas,0.011
bahasa,0.011
baik,0.112
baju,0.011
balasan,0.034
balik,0.011
banding,0.011
bandingin,0.011
bandung,0.011
bang,0.011
banyak,0.045
bapak,0.011
barang,0.011
bareng,0.022
baru,0.056
basah,0.011
bata,0.011
batin,0.011
batu,0.011
bau,0.034
bawa,0.011
bawah,0.011
bayang,0.011
bayar,0.011
bayarin,0.022
bayi,0.011
bca,0.011
beban,0.011
bedain,0.011
begitu,0.034
belai,0.011
belakang,0.011
belanja,0.011
beli,0.034
beliau,0.022
belok,0.011
belum,0.011
ben,0.011
benang,0.022
benar,0.034
benarkan,0.011
benci,0.011
benny,0.011
bensu,0.011
bentak,0.011
bentar,0.011
berani,0.011
berapa,0.034
beri,0.022
berita,0.011
besar,0.011
besok,0.011
betapa,0.011
biasa,0.034
bicara,0.011
bilang,0.022
biru,0.011
bisa,0.011
bodoh,0.011
boneka,0.011
buang,0.011
buat,0.112
bude,0.011
bukan,0.011
bukit,0.011
buku,0.011
bulan,0.011
bulus,0.011
butuh,0.011
cabai,0.011
cabut,0.011
cahaya,0.011
canda,0.011
canin,0.011
capai,0.022
cari,0.011
cat,0.011
cemil,0.056
cemiwiw,0.011
cendol,0.011
cepat,0.011
cerah,0.011
cerdik,0.011
cerita,0.034
cicil,0.022
cilok,0.011
citayem,0.011
coba,0.045
codet,0.011
coklat,0.022
corona,0.011
cuci,0.011
cukup,0.011
cuma,0.045
daftar,0.011
dagang,0.011
dalang,0.011
dampar,0.011
dari,0.011
deh,0.011
dekat,0.011
dengan,0.045
dengar,0.011
depan,0.011
desa,0.022
dewe,0.011
di,0.022
dia,0.034
diam,0.011
dibayarin,0.011
dicatet,0.011
difotoin,0.011
dihiden,0.011
dijadin,0.011
dikiloin,0.011
dikit,0.011
dikitikitik,0.011
dinas,0.011
direp,0.011
diri,0.045
diselipin,0.011
disemutin,0.011
diskon,0.022
ditelatin,0.011
ditunguin,0.011
dokter,0.022
dong,0.045
