term,weight
ada,0.095
admin,0.016
aduh,0.008
agar,0.048
ah,0.032
ai,0.008
aih,0.008
air,0.008
ajar,0.008
ajasi,0.008
aji,0.016
akan,0.008
akhir,0.008
alahuma,0.008
alias,0.008
alya,0.008
ambil,0.008
ampuh,0.008
ampun,0.008
amzinc,0.008
an,0.016
anda,0.183
aneh,0.008
antusias,0.008
anzeng,0.016
apa,0.135
apas,0.008
apaya,0.016
apresiasi,0.008
ariari,0.008
arimane,0.008
ariyanti,0.008
arti,0.024
asal,0.008
asique,0.008
astaga,0.04
astagon,0.008
asup,0.008
atas,0.008
atau,0.008
ayo,0.04
babeh,0.008
babehnya,0.008
baca,0.024
badig,0.008
bagaimana,0.016
bagasi,0.008
bagus,0.008
bahagia,0.008
bahasa,0.008
baik,0.048
bajing,0.056
baju,0.008
baku,0.008
balik,0.016
banding,0.008
bank,0.008
banyak,0.016
bareng,0.008
baru,0.008
bawa,0.016
bayar,0.016
bca,0.008
bdmd,0.016
beban,0.008
beda,0.016
begini,0.008
begitu,0.056
beli,0.024
belum,0.008
benar,0.079
bentuk,0.008
beranda,0.008
berani,0.008
berat,0.008
beri,0.008
berisik,0.016
besar,0.016
betah,0.008
beuh,0.008
biadab,0.04
biasa,0.008
bicara,0.008
bilang,0.04
billy,0.008
bingung,0.008
bisa,0.032
bittersweet,0.008
blok,0.008
bnr,0.016
bodoh,0.008
bodor,0.008
bosan,0.016
boseh,0.008
bp,0.008
bruh,0.008
buat,0.119
budak,0.016
buka,0.032
bukan,0.024
bukber,0.008
buku,0.016
bunga,0.008
cantik,0.008
cari,0.008
cemil,0.04
cepat,0.008
cerita,0.016
cewenya,0.008
chatime,0.008
cimol,0.008
cinta,0.04
ciwalk,0.008
clingy,0.008
coba,0.032
colab,0.008
cuaca,0.008
cuci,0.008
cuma,0.016
da,0.008
daftar,0.008
dan,0.016
dandan,0.008
dapat,0.008
dari,0.032
daripada,0.016
dasar,0.008
datang,0.008
deh,0.04
dekat,0.008
dengar,0.016
desain,0.008
di,0.008
dia,0.008
dibicarain,0.008
dimsum,0.008
dinegri,0.008
dinget,0.008
dingin,0.008
diri,0.024
disuruh,0.008
ditenangin,0.008
djiwa,0.008
doang,0.008
