term,weight
adat,0.014
adi,0.014
adil,0.029
agar,0.043
ah,0.043
air,0.072
ajak,0.014
aji,0.014
akan,0.014
akhir,0.014
al,0.029
alir,0.014
aman,0.029
amin,0.014
anak,0.029
anda,0.173
antisipasi,0.014
apa,0.058
april,0.014
atas,0.014
awas,0.014
awkarin,0.014
ayat,0.029
ayo,0.13
azab,0.014
babine,0.014
babu,0.014
baca,0.014
bagus,0.043
bahagia,0.014
baik,0.13
baja,0.014
bajing,0.014
bakteri,0.014
bang,0.043
bangke,0.014
bantu,0.058
barangkali,0.014
bareng,0.029
basuh,0.014
batal,0.014
bebaz,0.014
bedak,0.014
bedel,0.014
begandengan,0.014
begitu,0.072
belah,0.014
belai,0.014
benar,0.014
benda,0.014
bengkal,0.014
biasa,0.029
bisa,0.014
bojone,0.014
bola,0.029
bolong,0.014
bom,0.029
buat,0.115
buber,0.014
budak,0.014
buka,0.014
bukti,0.014
bulan,0.014
cangkeman,0.014
canin,0.029
cantik,0.043
capai,0.014
cara,0.014
cari,0.029
cemar,0.014
cemburuin,0.014
cemil,0.058
cendol,0.014
ceng,0.014
cengel,0.014
cepat,0.058
cerewet,0.014
cerita,0.014
ces,0.014
cidro,0.014
cinta,0.101
cintak,0.014
coba,0.014
combed,0.014
congor,0.014
corona,0.014
cuk,0.014
cukup,0.014
cuma,0.029
dadi,0.029
dal,0.043
dama,0.014
dan,0.014
darah,0.014
dari,0.014
dasar,0.014
datang,0.014
dawet,0.014
demo,0.014
desa,0.014
dewe,0.014
di,0.072
dia,0.014
dikit,0.014
dilema,0.029
doa,0.014
donasi,0.014
dong,0.029
donga,0.014
dulu,0.043
dungs,0.014
duwur,0.014
edan,0.014
egois,0.014
em,0.014
empat,0.014
enak,0.029
entar,0.014
entek,0.014
erat,0.014
fakboi,0.014
fase,0.014
fatihah,0.014
fine,0.014
floyd,0.014
frey,0.014
gadis,0.043
gagah,0.014
gah,0.014
gakmau,0.014
gaktau,0.014
ganti,0.014
gas,0.043
gatal,0.014
gawe,0.014
gaz,0.014
gelem,0.014
gelut,0.014
gendak,0.014
geng,0.014
genti,0.014
george,0.014
gin,0.014
gratis,0.014
habis,0.029
hai,0.029
hal,0.029
halah,0.014
hamil,0.014
hangat,0.014
harga,0.014
hari,0.043
henti,0.014
herpes,0.014
hilang,0.029
hindun,0.014
hukum,0.014
ibu,0.029
idam,0.014
idr,0.014
ih,0.014
ikut,0.014
iman,0.014
inalilahi,0.014
inces,0.014
indonesia,0.014
ini,0.101
instagramable,0.014
inti,0.014
iseh,0.014
islam,0.014
istimewa,0.014
isyak,0.014
itu,0.058
ivan,0.014
iya,0.014
jacob,0.014
jadi,0.072
jalan,0.043
jancuk,0.014
japape,0.043
japepe,0.014
jebul,0.014
jelas,0.043
jelaske,0.014
jijik,0.014
jola,0.043
jos,0.014
jual,0.014
juang,0.043
kabeh,0.029
kain,0.014
kalah,0.014
kalau,0.086
kalik,0.014
kami,0.014
kan,0.014
kandung,0.014
kaos,0.029
kapan,0.029
kapas,0.029
karma,0.014
kartoyono,0.014
