term,weight
abadi,0.011
abu,0.011
ada,0.116
adams,0.011
adat,0.011
admin,0.011
aduh,0.063
agama,0.011
agar,0.042
agung,0.011
ah,0.021
air,0.042
akhir,0.063
akun,0.011
al,0.011
alahuma,0.011
alahumasholialasayidinamuhamad,0.011
alamat,0.021
alas,0.011
alip,0.011
alm,0.011
alpha,0.011
ambil,0.011
ambyar,0.021
an,0.011
anak,0.053
anda,0.147
anggar,0.011
angkut,0.011
antem,0.011
apa,0.095
apadanya,0.011
apain,0.011
apartemen,0.011
arah,0.011
arif,0.011
arne,0.011
arti,0.042
asli,0.011
asmara,0.011
atur,0.021
awal,0.032
awam,0.011
ayo,0.126
ba,0.011
babang,0.011
badan,0.011
badut,0.011
bagai,0.032
bagaimana,0.011
bagus,0.011
bahas,0.021
baik,0.042
balik,0.021
bang,0.116
bangku,0.011
bangun,0.021
bantu,0.011
banyak,0.137
bapak,0.021
barang,0.021
baru,0.042
bawa,0.011
bawah,0.011
bayang,0.011
bayar,0.011
bebe,0.011
begini,0.021
begitu,0.011
belakang,0.011
belanja,0.011
beli,0.011
benang,0.011
benar,0.021
bendera,0.011
berani,0.011
berapa,0.011
beras,0.011
beri,0.053
berita,0.011
berplat,0.011
bersilahturahmi,0.011
besar,0.011
besok,0.021
betapa,0.011
bhangsat,0.011
biasa,0.032
bicara,0.011
biduan,0.011
bilang,0.032
bilangin,0.011
bima,0.011
bisa,0.042
blondy,0.011
bobol,0.011
bodoh,0.042
bolak,0.021
bosan,0.021
buah,0.011
buang,0.011
buat,0.095
budayane,0.011
buka,0.053
bukan,0.042
bukber,0.011
bulan,0.032
bunuh,0.011
buruk,0.011
cacing,0.011
cara,0.011
cari,0.032
cemil,0.074
cepat,0.011
cerah,0.011
charging,0.011
cinta,0.032
coba,0.032
congrats,0.011
congratulations,0.011
corona,0.021
cukup,0.032
cuma,0.011
cupang,0.011
curhat,0.011
dada,0.021
dagang,0.011
dalam,0.021
darah,0.021
dari,0.063
dasar,0.011
data,0.011
datang,0.011
daya,0.021
dayak,0.021
defence,0.011
deh,0.032
dekat,0.053
dengan,0.011
derby,0.011
desa,0.011
desain,0.011
dewa,0.032
dewe,0.011
dhani,0.011
di,0.063
dia,0.021
didi,0.032
dilanjutin,0.011
dinas,0.011
dinding,0.011
diri,0.021
diskon,0.011
djancoek,0.011
dom,0.011
donasi,0.011
dong,0.032
dulu,0.053
dunia,0.032
dus,0.011
dwayne,0.011
dzikir,0.011
ecomerce,0.011
eh,0.032
emosi,0.021
enak,0.032
fast,0.011
fisik,0.011
foto,0.011
fredly,0.011
gadis,0.032
gaji,0.011
galih,0.021
ganjar,0.011
ganti,0.021
garing,0.011
garis,0.011
gas,0.021
gaspol,0.011
gaya,0.011
gayo,0.011
gereja,0.011
gertak,0.011
gia,0.011
gitar,0.021
goa,0.063
godan,0.011
grafik,0.011
gratis,0.011
grup,0.011
gula,0.011
gus,0.011
gusti,0.011
habis,0.032
hack,0.011
hampir,0.011
harga,0.011
hari,0.095
harimau,0.011
harum,0.011
harus,0.011
hasil,0.032
hati,0.074
heroes,0.021
hewan,0.011
hidayah,0.021
hidup,0.021
hijau,0.011
hilang,0.021
hitam,0.021
hiya,0.032
hobah,0.011
hobi,0.011
hormat,0.021
hujan,0.011
hype,0.011
ibadah,0.032
ibu,0.042
idola,0.011
ikan,0.011
ikat,0.011
ikhlas,0.011
ikhlasno,0.011
ikut,0.011
ikutin,0.011
imbang,0.011
