term,weight
abu,0.026
ac,0.013
ada,0.04
adalah,0.04
adil,0.013
admin,0.026
agar,0.026
ahjusi,0.013
ajar,0.013
akan,0.013
akbar,0.013
akhir,0.013
akhlak,0.013
aktris,0.013
akun,0.026
alahu,0.013
alam,0.013
alas,0.013
alias,0.04
aman,0.026
ambil,0.013
ambis,0.013
ambyar,0.013
amin,0.053
ampuh,0.013
anda,0.211
angotanya,0.013
anniversary,0.013
ap,0.013
apa,0.092
arti,0.04
asam,0.013
asiap,0.013
asli,0.013
asmr,0.013
astaga,0.013
atap,0.013
atas,0.013
atom,0.013
awkwk,0.013
ayo,0.04
baca,0.053
bagaimana,0.026
bagus,0.079
bahagia,0.026
baik,0.04
bajing,0.013
balik,0.013
bangga,0.013
bangtan,0.013
banyak,0.092
bapak,0.04
bareng,0.013
baru,0.026
bawa,0.026
beberapa,0.013
bebi,0.026
beda,0.013
begini,0.013
begitu,0.053
beku,0.013
beli,0.013
beliau,0.013
benar,0.079
bentar,0.013
bentuk,0.013
berapa,0.013
berhasil,0.013
beri,0.013
besok,0.026
betol,0.013
biasa,0.066
bilang,0.026
bilangin,0.013
bilirubin,0.013
biliverdin,0.013
bio,0.013
biru,0.013
bisa,0.092
bismillah,0.013
bocor,0.013
bogoshipda,0.013
bom,0.026
bon,0.013
bts,0.013
btul,0.04
buat,0.158
budak,0.013
bukan,0.066
buku,0.026
bumi,0.013
cahaya,0.013
cakep,0.013
cara,0.04
catat,0.013
cemil,0.026
cenayang,0.013
ceria,0.013
cerita,0.013
ceu,0.013
cha,0.04
chaca,0.013
chaeyoung,0.013
chagiya,0.013
chef,0.013
chip,0.013
cinta,0.079
ciri,0.026
coaster,0.013
coba,0.013
corona,0.026
coronanya,0.013
cuci,0.013
cuma,0.013
daftar,0.013
dalam,0.013
dam,0.013
dan,0.053
dapat,0.013
darah,0.013
dari,0.079
daripada,0.04
dasar,0.026
debu,0.013
dedek,0.013
deh,0.026
dendam,0.013
dengan,0.013
depan,0.013
di,0.013
dia,0.013
diam,0.013
dijelasin,0.013
dingin,0.013
diri,0.026
dismenore,0.013
distirahatkan,0.013
doang,0.013
dolar,0.013
dom,0.013
dong,0.026
dongsaeng,0.013
dulu,0.053
dunia,0.013
dut,0.013
eh,0.04
ehe,0.013
enak,0.053
enfj,0.013
episode,0.013
erectrus,0.013
erti,0.013
esfj,0.013
fadya,0.013
fakta,0.013
fas,0.026
fasoya,0.013
faster,0.026
feses,0.013
fine,0.013
fingers,0.013
flawless,0.013
gagal,0.013
gali,0.013
ganjil,0.013
ganti,0.026
gara,0.026
gemas,0.026
genap,0.026
gengsi,0.013
geraham,0.013
gin,0.013
giveaway,0.013
globulin,0.013
goa,0.04
gugup,0.053
gws,0.013
hai,0.026
halaman,0.013
halusinasi,0.013
hancur,0.013
hanya,0.053
harga,0.013
hari,0.04
harus,0.013
hasil,0.013
hedeh,0.013
heran,0.013
hf,0.013
hidrogen,0.013
hidup,0.013
highlight,0.013
hilang,0.04
hingga,0.013
hitung,0.04
hubung,0.04
hujan,0.013
huruf,0.013
ibu,0.026
ih,0.013
ikat,0.013
ikut,0.092
imbuh,0.013
imut,0.013
in,0.066
indah,0.013
ingin,0.026
ingus,0.013
ini,0.079
inisiatif,0.013
inspirasi,0.013
instagram,0.04
istirahat,0.026
itaewon,0.013
itu,0.171
iu,0.013
iya,0.158
jadi,0.105
jail,0.013
jalan,0.04
jalur,0.013
jauh,0.04
jawab,0.013
jdin,0.013
jelas,0.053
jelek,0.013
jess,0.013
jiayou,0.013
jinja,0.013
jiwa,0.013
juga,0.053
kaidah,0.013
kala,0.013
kalau,0.119
kali,0.066
kalian,0.013
kan,0.066
kapital,0.013
karena,0.013
kasi,0.013
kasih,0.026
kata,0.066
kati,0.013
kayak,0.026
kejar,0.026
kejut,0.013
kelas,0.013
kelelawar,0.026
keluar,0.026
kemarin,0.026
kemungkinanya,0.013
ken,0.026
kenal,0.013
keren,0.04
kereta,0.013
kerja,0.013
kesal,0.013
kim,0.013
kimia,0.013
kira,0.026
kirim,0.013
kita,0.053
klarifikasi,0.013
kn,0.026
knyatan,0.013
koma,0.026
kondisi,0.013
konfigurasi,0.013
konser,0.013
kontribusi,0.013
korbanya,0.013
kosa,0.013
krl,0.013
kuasa,0.013
kuat,0.013
kukus,0.013
kunyit,0.013
kurang,0.013
kuras,0.013
kurma,0.013
kyknya,0.026
lagi,0.026
lagu,0.04
lah,0.053
lain,0.013
laki,0.092
langsung,0.026
lantai,0.013
lari,0.013
lebih,0.026
lelah,0.013
lembab,0.013
lewat,0.013
lihat,0.079
lingkar,0.013
liv,0.013
loh,0.026
ltmpt,0.026
lulus,0.026
maju,0.013
makas,0.013
makin,0.013
makna,0.013
malah,0.013
malam,0.013
