term,weight
aah,0.009
ada,0.035
adalah,0.017
aduh,0.017
adven,0.009
aerodinamis,0.009
agenda,0.009
agustus,0.009
ah,0.061
ahjusi,0.009
ahsan,0.009
air,0.017
ajak,0.009
ajar,0.017
ajik,0.009
akan,0.043
akhir,0.043
akhirnye,0.009
akrab,0.009
aktif,0.017
alam,0.009
alat,0.009
alon,0.009
alus,0.009
aman,0.017
ambil,0.009
ambruk,0.009
ambyar,0.009
ampun,0.009
an,0.009
anak,0.017
anda,0.148
andai,0.009
aneh,0.009
anggur,0.009
angka,0.009
angkat,0.009
angrek,0.009
anna,0.009
antre,0.009
antusias,0.017
apa,0.165
apel,0.009
april,0.009
asap,0.009
atas,0.017
awal,0.026
ayam,0.017
ayem,0.009
ayo,0.009
babe,0.009
baca,0.009
badan,0.009
bagaimana,0.043
bagus,0.009
bahagia,0.026
bahaya,0.009
bahkan,0.009
baik,0.069
balas,0.009
balesnya,0.009
balik,0.026
bangun,0.009
banmal,0.009
bantu,0.009
banyak,0.017
banyu,0.009
bapak,0.061
barang,0.009
barangsiapa,0.017
baru,0.052
batal,0.009
batas,0.009
batin,0.009
bauk,0.009
bayang,0.017
bayi,0.052
bd,0.017
bebas,0.009
beberapa,0.009
beberes,0.009
beda,0.017
begitu,0.113
beku,0.009
belakang,0.017
beliau,0.026
beloved,0.009
belum,0.009
benang,0.009
benar,0.035
benci,0.009
bentar,0.009
beranda,0.009
beranta,0.017
berapa,0.017
beri,0.009
berkah,0.017
berkat,0.009
berkonmari,0.009
bersih,0.009
besok,0.017
biasa,0.043
bicara,0.026
bijaksana,0.009
bilang,0.035
biru,0.009
bisa,0.026
bodoh,0.009
bok,0.009
botol,0.009
boyo,0.017
bromo,0.009
buah,0.009
buang,0.009
buat,0.096
budaya,0.009
budhe,0.017
buk,0.009
bukan,0.043
bukti,0.009
bulan,0.017
bunga,0.035
bunyi,0.009
buru,0.017
busuk,0.009
butuh,0.009
cacing,0.017
cahaya,0.009
candi,0.009
canduwebtun,0.009
cantik,0.017
cari,0.009
carnival,0.017
cemil,0.087
ceo,0.009
cepat,0.026
cerdik,0.009
cerita,0.026
cheers,0.009
christmas,0.009
chung,0.009
ci,0.009
cicil,0.009
cinta,0.009
co,0.026
coba,0.017
cocoklogi,0.009
coklat,0.009
corona,0.009
cuaca,0.009
cuci,0.009
cukup,0.009
cuma,0.017
daftar,0.017
daku,0.009
dalam,0.017
damai,0.009
damba,0.009
damping,0.009
dan,0.061
dapat,0.017
dapur,0.017
dar,0.009
dari,0.026
darimana,0.009
daripada,0.009
dasar,0.009
data,0.009
datang,0.061
daun,0.009
deh,0.009
dek,0.009
dekat,0.017
demi,0.009
dendam,0.009
dendrobium,0.009
dengan,0.069
dengar,0.026
depan,0.052
desember,0.009
desimal,0.009
detail,0.009
detak,0.009
deting,0.009
dewasa,0.009
di,0.139
dieng,0.017
diganguin,0.009
dikatain,0.009
diluar,0.009
dimasukin,0.009
dingin,0.009
diri,0.017
disminore,0.009
disruduk,0.009
divisi,0.009
domba,0.017
dong,0.035
dosa,0.009
drama,0.017
dri,0.009
dua,0.009
dulu,0.078
dunia,0.017
dus,0.009
dut,0.009
dwe,0.009
efek,0.009
eh,0.017
ejek,0.017
ekologis,0.009
ekspresi,0.009
el,0.009
elus,0.009
eman,0.026
emas,0.017
enak,0.026
eniwei,0.009
entah,0.017
enti,0.009
eosaek,0.009
ergonomis,0.009
esaka,0.009
ex,0.009
favorit,0.009
fine,0.017
fisik,0.009
fitri,0.009
flu,0.009
foto,0.017
frescomilk,0.009
fresh,0.009
fulmon,0.009
fungsi,0.009
game,0.009
ganggu,0.009
ganti,0.017
gatal,0.009
gbu,0.009
gembira,0.017
gerak,0.017
gereja,0.009
gerhana,0.009
gerimis,0.017
getuk,0.009
gigi,0.009
gila,0.026
gilir,0.009
gin,0.009
gireul,0.009
giveaway,0.009
glegeken,0.009
goa,0.009
godain,0.009
gogogo,0.009
goguma,0.009
gonta,0.009
gosok,0.017
gotta,0.009
gravitasi,0.009
gudang,0.009
gugel,0.009
gunung,0.009
guru,0.026
gws,0.009
habis,0.026
haha,0.017
hai,0.009
haik,0.009
hal,0.009
hampir,0.026
hande,0.009
haneun,0.009
hantu,0.009
hapus,0.009
harga,0.009
hari,0.191
harmoni,0.009
haru,0.017
harus,0.017
hasan,0.009
hasil,0.017
hati,0.026
hawane,0.009
hayuk,0.009
hebat,0.009
hembus,0.009
hendak,0.009
hendra,0.009
henti,0.035
hias,0.009
hibiscus,0.009
hibur,0.009
hidung,0.017
hidup,0.026
hihihihihi,0.009
hilang,0.026
hirup,0.009
hitam,0.017
hitung,0.009
hiu,0.009
hohah,0.009
hotspot,0.009
htp,0.026
hujan,0.026
hwa,0.009
ibadah,0.009
ibu,0.043
ide,0.009
idul,0.009
ignatius,0.009
ikon,0.017
ikut,0.035
ilham,0.009
ilmu,0.017
imlek,0.009
imut,0.009
indah,0.035
indonesia,0.009
ingat,0.017
ingin,0.017
ini,0.026
insomnia,0.017
intip,0.009
introduce,0.009
isi,0.009
isoh,0.009
istirahat,0.043
itu,0.096
iu,0.009
iya,0.026
iyswbpgsui,0.009
jadi,0.096
jaga,0.017
jahit,0.009
jalan,0.061
jam,0.017
janji,0.009
jantung,0.009
jarak,0.017
