term,weight
aa,0.023
abah,0.008
abstrak,0.008
aceh,0.008
ada,0.031
adalah,0.015
agak,0.008
agama,0.008
agar,0.023
aidzin,0.008
air,0.008
ajak,0.008
ajar,0.054
akad,0.008
akan,0.062
akhir,0.116
al,0.031
alas,0.008
alias,0.008
alm,0.008
alumni,0.015
amerika,0.008
amin,0.039
anak,0.054
anamnesa,0.008
anda,0.085
aneh,0.015
anis,0.008
antis,0.008
apa,0.054
apansihcah,0.008
arab,0.015
artis,0.008
asal,0.015
ashfi,0.039
asli,0.008
astaga,0.008
atau,0.008
atur,0.008
awal,0.008
ayah,0.008
ayo,0.031
baca,0.015
bacan,0.015
badan,0.008
bagaimana,0.008
bagi,0.008
bagus,0.015
bah,0.008
bahagia,0.008
bahas,0.008
bahasa,0.015
baik,0.046
baju,0.023
bakso,0.008
balas,0.008
balasan,0.039
balik,0.015
bangun,0.008
banjaran,0.008
banten,0.008
bantu,0.015
banyak,0.077
bapak,0.046
bareng,0.023
baru,0.062
batal,0.008
batin,0.008
bawa,0.015
bayang,0.008
bayangin,0.008
bayi,0.008
beban,0.015
beberapa,0.008
begini,0.008
begitu,0.015
belah,0.008
belanja,0.008
beli,0.023
beliau,0.023
belum,0.023
benang,0.008
benar,0.031
bengong,0.008
bentuk,0.008
berapa,0.008
berat,0.008
berdo,0.008
beri,0.008
besar,0.008
besit,0.008
besok,0.015
biasa,0.008
biggest,0.008
bilang,0.062
binatang,0.015
bingung,0.015
bisa,0.023
bisnis,0.008
blabalabala,0.008
bodrenya,0.008
boleh,0.015
bonbin,0.008
boro,0.015
bosan,0.008
botak,0.015
buah,0.008
buat,0.077
buka,0.031
bukan,0.023
buku,0.015
bulan,0.008
bupati,0.023
burger,0.008
cabut,0.015
cair,0.008
cakep,0.008
canda,0.008
cantik,0.015
cari,0.023
cemberut,0.008
cemil,0.031
cepat,0.023
cerita,0.015
champaign,0.008
cidewey,0.008
cielah,0.008
cigondewah,0.008
cijerah,0.008
cinta,0.015
cintawana,0.015
cipta,0.008
cireng,0.008
cisondari,0.039
ciwidey,0.015
clt,0.008
coba,0.031
coban,0.008
cocok,0.015
cocokologi,0.008
condong,0.008
