term,weight
actingnya,0.008
actress,0.008
ada,0.057
adalah,0.057
aduh,0.033
agar,0.008
ah,0.016
aigo,0.008
ajar,0.008
akademik,0.008
akan,0.016
akhir,0.082
aktif,0.008
akun,0.008
alam,0.025
alas,0.008
albothyl,0.008
album,0.008
amazed,0.008
ambil,0.016
amin,0.008
ampun,0.025
an,0.016
anak,0.09
ancen,0.008
anda,0.106
andal,0.016
aneh,0.016
anet,0.008
angka,0.008
apa,0.123
apresiasi,0.008
arti,0.008
asah,0.008
asik,0.008
asli,0.049
autosave,0.008
awal,0.025
ayah,0.041
ayam,0.016
ayo,0.041
baca,0.008
bagai,0.008
bagi,0.008
bagus,0.025
bahas,0.008
bahasa,0.008
bahkan,0.016
balas,0.033
balik,0.025
balita,0.008
bangkrut,0.008
bangku,0.008
bangun,0.008
banjir,0.008
banyak,0.057
bapak,0.057
barang,0.025
barcelona,0.008
bareng,0.016
baru,0.033
bawa,0.016
bawah,0.033
bawang,0.016
bayangin,0.008
bebas,0.008
bebek,0.008
beda,0.008
begini,0.008
begitu,0.057
belakang,0.041
beli,0.016
belum,0.008
bem,0.008
benar,0.09
benda,0.008
bengkak,0.008
bening,0.008
bensu,0.008
bentuk,0.008
beranda,0.016
berapa,0.008
berita,0.008
beruang,0.016
besar,0.016
betadine,0.008
bias,0.008
biasa,0.008
bicara,0.008
bijaksana,0.008
bilang,0.033
bimbing,0.016
binge,0.008
bingung,0.025
bisa,0.033
bistik,0.008
blok,0.016
blooms,0.008
bodoh,0.008
bogor,0.033
boleh,0.008
bolu,0.016
bontot,0.008
boper,0.008
bora,0.008
bosan,0.008
breathe,0.008
brem,0.008
bromancenya,0.008
brompton,0.008
buat,0.098
budapest,0.008
buka,0.025
bukan,0.016
buku,0.008
bumi,0.008
bunuh,0.008
buru,0.008
buruk,0.008
cak,0.008
camellia,0.008
cangkir,0.008
cari,0.033
cause,0.008
celaka,0.025
cemil,0.025
cepat,0.008
chocochip,0.008
chpt,0.008
cina,0.008
cinta,0.016
coba,0.008
cocok,0.016
coftof,0.008
cokiesnya,0.008
contextnya,0.008
correct,0.008
cpns,0.008
creepy,0.008
cukup,0.033
cuma,0.033
cutie,0.008
dadang,0.008
daftar,0.016
dan,0.041
dapat,0.008
darah,0.008
dari,0.033
dasar,0.008
datang,0.049
daya,0.008
deep,0.025
definisi,0.008
definitely,0.008
deh,0.025
dekat,0.016
dengan,0.033
deok,0.008
deoksun,0.008
depan,0.016
di,0.049
dia,0.008
dibolehin,0.008
didik,0.008
dimana,0.008
dimatin,0.008
dimsum,0.008
dipikirin,0.008
diri,0.008
dis,0.008
ditanyain,0.025
ditawarin,0.016
doang,0.008
does,0.008
dokter,0.008
dong,0.033
dosa,0.008
drama,0.016
drive,0.008
duka,0.008
dukung,0.008
dunia,0.008
eh,0.025
email,0.008
enak,0.016
engkel,0.008
episode,0.008
es,0.016
eun,0.008
ezra,0.016
fakta,0.008
favorit,0.008
fck,0.008
feb,0.008
fk,0.016
foto,0.025
francisco,0.008
gagal,0.008
gambar,0.008
ganggu,0.008
ganti,0.025
gantung,0.008
garis,0.016
gelar,0.008
gemas,0.016
gemoi,0.008
george,0.008
geprek,0.016
gigi,0.016
gila,0.033
gin,0.025
goblin,0.016
goerge,0.008
gong,0.008
grammatically,0.008
gu,0.008
gudang,0.008
gugup,0.016
gung,0.008
gusi,0.008
habis,0.025
hahahahahaha,0.008
hahahahahahaha,0.008
hai,0.008
haji,0.008
hal,0.008
hampir,0.016
haneul,0.008
hangat,0.008
haqi,0.008
harap,0.016
hari,0.025
harus,0.008
hati,0.016
hibur,0.008
hidup,0.008
his,0.008
hits,0.008
hormat,0.008
hubung,0.008
huf,0.008
hujan,0.008
humans,0.008
huw,0.008
hwa,0.016
hyeong,0.008
hyperactive,0.008
ibu,0.098
ih,0.008
ikan,0.008
ikjun,0.008
ikut,0.008
in,0.016
indihome,0.016
indomaret,0.008
industri,0.016
infeksi,0.016
info,0.008
ingat,0.008
ingin,0.008
ingris,0.008
ini,0.066
injak,0.008
instagram,0.033
interaksi,0.008
intern,0.008
