term,weight
abcd,0.01
acik,0.01
ada,0.01
adalah,0.02
agama,0.01
agar,0.02
agenda,0.02
agengipun,0.01
ages,0.01
agus,0.01
ah,0.04
ajar,0.01
akakakak,0.01
akan,0.01
akhir,0.02
aman,0.01
amin,0.03
an,0.03
anak,0.01
anda,0.23
andrean,0.01
ang,0.01
anggota,0.01
apa,0.07
apel,0.02
arti,0.01
artikel,0.01
asam,0.01
astaga,0.01
asupan,0.01
audi,0.01
awan,0.01
ayo,0.07
baca,0.06
bagaimana,0.01
bagoest,0.01
bagus,0.01
bahkan,0.02
baik,0.03
bakpia,0.01
bakwan,0.01
balik,0.02
bang,0.01
bantu,0.01
banyak,0.04
bapak,0.02
bar,0.01
barang,0.02
bareng,0.01
baru,0.1
bawa,0.01
bawang,0.01
begitu,0.1
bel,0.02
belah,0.01
beli,0.03
beliau,0.01
belum,0.02
benang,0.01
benar,0.06
benci,0.01
bentar,0.02
berapa,0.05
berita,0.01
besar,0.01
besok,0.03
biasa,0.01
bilang,0.01
bingung,0.01
bisa,0.01
blablabla,0.01
bmu,0.01
boced,0.01
bocin,0.02
bodan,0.01
bokong,0.02
bolang,0.01
boleh,0.02
bom,0.01
botak,0.02
brarti,0.01
breaking,0.01
buat,0.02
buatanya,0.01
buka,0.05
bukan,0.02
bula,0.01
cahaya,0.02
cai,0.01
cari,0.03
ce,0.03
cece,0.01
cecek,0.02
cepat,0.03
cerita,0.01
christmas,0.01
ciken,0.02
cin,0.03
cincin,0.02
cinta,0.01
cita,0.02
ciye,0.01
ckck,0.01
ckckck,0.01
co,0.01
coba,0.04
cp,0.01
cpt,0.01
cuci,0.01
cuma,0.04
cupu,0.02
curhat,0.01
dadah,0.01
dagang,0.01
dangdut,0.01
dari,0.02
daritadi,0.01
dasar,0.01
datang,0.01
deh,0.04
dek,0.01
dekat,0.01
demi,0.01
dengan,0.01
dengar,0.02
desa,0.01
dewasa,0.01
dia,0.02
dikirimin,0.01
dikit,0.02
dilema,0.01
diread,0.01
diri,0.01
ditarin,0.01
ditranslatenya,0.01
doa,0.02
doang,0.01
dolan,0.01
dong,0.04
dp,0.01
dpr,0.01
dulu,0.05
dunia,0.02
each,0.01
eh,0.05
em,0.01
emosi,0.01
enak,0.02
entah,0.02
erti,0.01
es,0.01
fa,0.01
fail,0.01
farin,0.03
foto,0.01
gagal,0.01
gali,0.01
gara,0.01
gat,0.02
gbu,0.01
gelar,0.01
gembira,0.01
genset,0.01
gizi,0.01
gmana,0.01
gong,0.01
goreng,0.01
gorenganya,0.01
grup,0.01
habis,0.01
haha,0.01
