term,weight
aa,0.028
ada,0.105
admin,0.007
agama,0.014
agar,0.007
ah,0.014
ajak,0.007
ajar,0.007
aji,0.007
akad,0.014
akan,0.014
akhir,0.014
aki,0.007
al,0.007
alas,0.007
albumeun,0.007
alkes,0.007
aman,0.007
an,0.042
anak,0.077
anda,0.035
angka,0.007
angkutan,0.007
antar,0.007
anterin,0.007
apa,0.105
asah,0.007
asal,0.007
asik,0.007
asong,0.007
atas,0.007
avengers,0.007
awal,0.007
ayo,0.119
baca,0.007
badan,0.007
bagai,0.007
bagaimana,0.021
bahagia,0.007
bahan,0.007
baik,0.007
bandung,0.028
bangga,0.007
bantu,0.007
banyak,0.021
bapak,0.049
bareng,0.007
baru,0.063
basah,0.007
batal,0.014
batin,0.007
batuk,0.007
bawah,0.021
bcl,0.007
beberapa,0.042
beda,0.007
begini,0.007
behel,0.021
behelan,0.007
belai,0.007
belakang,0.007
belanja,0.007
beli,0.056
benar,0.014
benci,0.007
bentar,0.007
berapa,0.021
berat,0.014
berecana,0.007
berita,0.007
berkurumun,0.007
berlanganan,0.007
berpemghasilan,0.007
bersin,0.007
besar,0.014
besok,0.014
beta,0.007
betul,0.028
biasa,0.028
biaya,0.007
bilang,0.014
bingung,0.014
bisa,0.105
bodoamat,0.007
bonceng,0.007
bosan,0.042
bosenya,0.007
brengsek,0.007
buat,0.056
budi,0.007
buka,0.028
bukan,0.042
buku,0.007
bulan,0.028
buruk,0.007
butir,0.014
butuh,0.014
cahaya,0.007
campur,0.014
cantik,0.007
cemil,0.07
cepat,0.021
cerita,0.028
choy,0.007
ci,0.007
cilik,0.007
cinta,0.007
coba,0.021
corona,0.042
cuaca,0.007
cuankie,0.014
cuma,0.028
dadak,0.007
daerah,0.007
dagang,0.007
daging,0.007
dalam,0.007
dampak,0.007
dapat,0.014
dari,0.014
datang,0.007
dea,0.028
debu,0.007
dek,0.007
dekat,0.014
dena,0.007
dengan,0.007
dengar,0.007
depan,0.014
derajat,0.007
desa,0.007
di,0.175
dia,0.007
dikerjain,0.007
dikit,0.007
dikosan,0.007
dingin,0.007
diri,0.042
dit,0.014
doang,0.014
donasi,0.014
drama,0.007
dt,0.007
du,0.007
dua,0.007
duduk,0.007
duhduhduh,0.007
duka,0.014
dulu,0.049
dunia,0.007
dzuhur,0.007
edisi,0.007
efek,0.014
ekspresi,0.007
elah,0.007
emosi,0.014
enak,0.028
endgame,0.007
episode,0.028
erin,0.007
es,0.007
facebok,0.007
fatihah,0.007
flu,0.007
fokus,0.021
formalitas,0.007
gadget,0.007
gambar,0.007
ganti,0.007
gapaham,0.014
gasih,0.007
gejala,0.007
gelap,0.007
gemas,0.021
gembok,0.007
gendok,0.007
gigi,0.014
gilir,0.007
gin,0.056
goblo,0.007
gojek,0.007
goler,0.007
goreng,0.007
grabfod,0.007
greget,0.007
gugup,0.014
gws,0.007
habis,0.014
haduh,0.014
halusinasi,0.007
hambar,0.007
hampir,0.007
hangat,0.007
harap,0.007
hareudang,0.007
harga,0.007
hari,0.098
haru,0.007
harus,0.021
hasil,0.021
hati,0.014
hay,0.007
hayday,0.014
henti,0.021
hidup,0.007
hihihihi,0.007
hormat,0.007
hujan,0.014
hutang,0.007
ibu,0.063
idola,0.007
ih,0.021
ikhlas,0.007
ikut,0.077
ikuti,0.021
ilmu,0.014
inap,0.007
ini,0.035
input,0.007
instagram,0.007
instentif,0.007
internet,0.007
ip,0.007
irin,0.014
istigfar,0.007
istirahat,0.014
istri,0.007
itu,0.049
iya,0.063
iyanih,0.007
jabodetabek,0.007
jadi,0.07
jaga,0.021
jajan,0.007
jakarta,0.014
jalan,0.035
jam,0.063
jangkau,0.007
janji,0.007
jarak,0.007
jari,0.007
jasa,0.007
jatuh,0.007
jauh,0.014
jawab,0.007
jelas,0.007
jemur,0.007
