term,weight
abar,0.004
abonya,0.004
aca,0.023
ada,0.027
adalah,0.019
adan,0.019
admin,0.004
agal,0.004
agama,0.004
agar,0.023
ah,0.008
ajak,0.008
akal,0.004
akan,0.015
akar,0.004
akhir,0.034
akrab,0.004
aktif,0.004
akun,0.004
alam,0.008
alas,0.008
alat,0.004
allah,0.004
alot,0.004
aman,0.008
ambil,0.008
amin,0.004
amplop,0.011
an,0.008
anak,0.057
anane,0.004
anatara,0.004
ancam,0.008
anda,0.183
andal,0.004
andelin,0.004
aneh,0.004
anggap,0.004
angka,0.004
angkotnya,0.004
angkutan,0.004
anjlok,0.004
antar,0.004
antem,0.004
antiklimaks,0.004
antre,0.004
apa,0.092
aparat,0.004
api,0.004
arah,0.008
arti,0.004
asa,0.004
asal,0.004
atas,0.027
atau,0.004
atheis,0.004
atm,0.004
atuhlah,0.004
awal,0.004
awalnkami,0.004
awur,0.004
ayah,0.05
ayam,0.008
ayo,0.004
babi,0.004
baca,0.023
badan,0.004
bagai,0.008
bagaimana,0.019
bahagia,0.004
bahan,0.004
bahas,0.004
bahkan,0.004
baik,0.034
bajing,0.004
baju,0.004
bakar,0.004
bakmi,0.004
balado,0.004
bandung,0.019
bang,0.011
bangkit,0.008
bangun,0.011
banting,0.004
bantu,0.011
banyak,0.038
bapak,0.011
barang,0.015
bareng,0.008
baru,0.034
batak,0.004
batas,0.004
batin,0.004
batu,0.008
bawa,0.011
bayar,0.004
bayi,0.011
bebas,0.011
beberapa,0.011
begini,0.004
begitu,0.019
bekal,0.004
bekas,0.023
belakang,0.019
belas,0.004
beli,0.027
belum,0.008
benang,0.008
benar,0.023
bentak,0.004
bentar,0.004
benteng,0.004
beranda,0.004
berapa,0.004
beras,0.004
berat,0.004
berita,0.004
bertangung,0.004
besar,0.004
besok,0.004
betah,0.004
betawi,0.004
betul,0.004
biarawati,0.004
biasa,0.011
bibir,0.004
bicara,0.011
bilang,0.011
bingung,0.004
bini,0.008
bisa,0.015
bisu,0.004
blok,0.004
bodoh,0.019
bogor,0.004
bom,0.004
bong,0.004
boobs,0.004
borong,0.004
bot,0.004
boyong,0.004
br,0.008
browse,0.004
buah,0.011
buat,0.046
buka,0.027
bukain,0.004
bukan,0.011
bulan,0.008
bumbu,0.004
bundling,0.004
bunuh,0.004
buta,0.004
butuh,0.004
cahaya,0.004
cakep,0.004
cangkir,0.004
cara,0.004
cares,0.004
cari,0.015
cat,0.004
catat,0.004
cekik,0.008
celaka,0.008
cemar,0.004
cemburu,0.004
cemil,0.023
cepat,0.023
cianjur,0.008
cicil,0.004
cimahi,0.008
cina,0.004
cingo,0.004
cinta,0.015
cipta,0.004
ciyan,0.004
coba,0.023
cofe,0.004
coklat,0.008
com,0.004
cont,0.004
corona,0.004
cukup,0.027
cuma,0.015
cus,0.004
cuss,0.004
dadar,0.004
daerah,0.004
dagang,0.004
daging,0.004
dalam,0.004
damping,0.004
dan,0.011
danisa,0.004
dapat,0.019
dapur,0.004
darat,0.004
dari,0.05
dasar,0.004
datang,0.019
dating,0.004
definisi,0.004
deh,0.019
dekat,0.004
dengan,0.095
dengkul,0.004
depan,0.008
desa,0.004
desak,0.004
dewasa,0.004
di,0.042
dia,0.042
diam,0.019
did,0.004
digimanain,0.004
dijebrusin,0.004
diket,0.004
dimana,0.008
dinding,0.008
dirga,0.176
diri,0.019
disini,0.004
diskusi,0.004
ditingalkan,0.008
diurusin,0.004
dokumen,0.004
dong,0.004
doyan,0.004
dp,0.004
dsni,0.008
du,0.004
dua,0.004
duduk,0.011
dulu,0.031
duluan,0.004
dunia,0.004
eh,0.004
eike,0.004
elite,0.004
emas,0.004
entah,0.015
epik,0.004
episode,0.004
etapi,0.004
extender,0.008
facebok,0.004
faceboknya,0.004
facebook,0.004
fisik,0.008
flash,0.004
fokus,0.004
foto,0.015
frekuensi,0.004
frontal,0.004
fucekboy,0.004
futsal,0.004
fyp,0.004
gadis,0.008
gagal,0.004
gaji,0.004
game,0.004
games,0.004
ganti,0.004
garis,0.004
gas,0.008
gembira,0.004
gerak,0.004
geram,0.004
gertak,0.004
gerutu,0.004
gin,0.011
ginih,0.004
goa,0.038
golong,0.008
gubris,0.008
gula,0.004
gunung,0.008
gurilem,0.004
habis,0.008
had,0.004
hafal,0.004
hai,0.019
halal,0.004
halaman,0.008
hamba,0.004
hampers,0.004
hampir,0.011
hamster,0.004
hancur,0.004
handsanitizer,0.004
hangat,0.004
hanha,0.004
hanya,0.019
haram,0.004
harap,0.004
hareup,0.004
hari,0.027
harkat,0.004
harus,0.004
hasil,0.008
hati,0.011
hayo,0.008
helm,0.004
henti,0.008
heran,0.004
hias,0.004
hibur,0.008
hidup,0.031
hilang,0.008
hingga,0.004
his,0.004
hohohihe,0.004
hormon,0.004
hotel,0.019
hubung,0.008
hukum,0.004
humor,0.008
hutan,0.004
iblis,0.008
ibu,0.069
idealis,0.004
ikut,0.019
imbas,0.004
imlek,0.011
imunisasi,0.004
in,0.008
industri,0.004
ingat,0.011
ingin,0.011
ini,0.042
instagram,0.004
instisari,0.004
ips,0.004
isi,0.004
islam,0.004
istirahat,0.004
istri,0.008
ite,0.004
item,0.004
itu,0.042
iwa,0.004
iya,0.015
jadi,0.076
jaga,0.004
jakapermai,0.004
jakarta,0.004
jaktim,0.004
jalan,0.011
jaman,0.004
jamur,0.004
janji,0.011
jari,0.004
jauh,0.008
jawab,0.019
jelas,0.004
jelasin,0.004
jelata,0.004
jelek,0.008
jelema,0.004
jengah,0.004
jenis,0.004
jepret,0.004
jerat,0.004
jerawat,0.004
jimat,0.004
jt,0.004
jual,0.034
juang,0.008
judul,0.004
juga,0.042
jujur,0.015
july,0.011
justru,0.004
juta,0.004
kab,0.008
kabar,0.023
kabur,0.011
kadang,0.008
kalau,0.076
kali,0.05
kalian,0.004
kamar,0.031
kami,0.015
kamis,0.004
kamp,0.004
kampus,0.004
kan,0.019
kangkung,0.004
kantor,0.011
kapan,0.008
kapok,0.004
karakter,0.004
karena,0.073
kartu,0.004
karuan,0.004
karyawan,0.004
kas,0.004
kasih,0.015
kasus,0.008
kata,0.034
kayak,0.011
ke,0.011
kebahagian,0.004
kebun,0.004
keburu,0.004
kecewa,0.004
kecil,0.008
kedai,0.004
keinginanya,0.004
kejadianya,0.004
kelanjutanya,0.004
kelaperan,0.004
keluar,0.015
keluarga,0.023
kemarenan,0.004
kemarin,0.011
kembali,0.015
kemudian,0.011
ken,0.015
kena,0.015
kenapa,0.019
kentut,0.008
kepercayan,0.004
keras,0.004
kereta,0.004
kerja,0.038
kesengsaran,0.004
ketaker,0.004
ketat,0.004
ketemu,0.011
khatam,0.004
khawatir,0.004
kimura,0.004
kira,0.008
kirim,0.008
kirimanya,0.004
kis,0.008
kluarganya,0.004
kode,0.004
kolam,0.004
komenin,0.004
komplek,0.004
komunikasi,0.004
kontrak,0.004
kontras,0.004
kopi,0.008
kopikap,0.004
korp,0.004
kota,0.019
kotor,0.004
ktp,0.008
kucing,0.004
kuliah,0.004
kulit,0.004
kumpul,0.004
labrinth,0.004
lada,0.004
lagi,0.057
lagipula,0.004
lah,0.004
lain,0.004
laki,0.031
laku,0.008
lalu,0.069
lama,0.023
laman,0.004
lancar,0.004
langkah,0.004
langsung,0.027
lanjut,0.023
lanjutin,0.004
lantai,0.004
lapar,0.004
lapor,0.004
larang,0.004
lari,0.004
layak,0.004
lebaran,0.008
lebih,0.023
lego,0.004
lelah,0.004
lemah,0.004
lemari,0.004
lemas,0.004
lengan,0.008
lewat,0.015
lho,0.008
libat,0.008
libur,0.004
lihat,0.015
lingkar,0.004
lipat,0.004
lodges,0.011
loh,0.004
lokal,0.004
lokasi,0.004
lolos,0.004
lontong,0.004
luk,0.004
luka,0.011
luluh,0.004
lulus,0.004
lumayan,0.004
lupa,0.004
maaf,0.034
mabuk,0.008
madu,0.004
maju,0.004
mak,0.004
makan,0.004
makas,0.004
maklum,0.004
maksud,0.015
maksutnya,0.008
malah,0.004
malai,0.004
malam,0.019
malas,0.011
mall,0.008
malu,0.008
mana,0.011
mandi,0.004
manfatin,0.004
mantan,0.011
manusia,0.004
marah,0.004
maret,0.004
martabat,0.004
masa,0.004
masak,0.008
masalah,0.015
masih,0.011
mastin,0.004
masuk,0.004
mati,0.008
matic,0.004
mau,0.107
medan,0.008
meja,0.015
memak,0.004
memang,0.038
memar,0.004
membabibuta,0.004
memeng,0.004
mempan,0.004
menang,0.004
menghadang,0.004
mengunakan,0.004
menikah,0.008
meningalkan,0.004
mental,0.004
menyecar,0.004
mereka,0.004
merk,0.004
mertua,0.019
mes,0.008
microwave,0.004
mikrofon,0.027
milik,0.008
minat,0.004
minggu,0.015
mingirin,0.004
minta,0.034
minum,0.008
mirip,0.004
misal,0.004
misi,0.008
missed,0.004
mobil,0.004
modal,0.008
mode,0.004
model,0.004
mohon,0.004
mostly,0.004
motor,0.004
muka,0.027
mula,0.004
mulai,0.038
mulus,0.004
mulut,0.004
muncul,0.011
mundur,0.008
mungkin,0.015
murbei,0.004
musibah,0.004
musim,0.004
mutusin,0.004
nada,0.004
nafkahin,0.004
nah,0.004
naik,0.011
nama,0.008
nanah,0.004
nang,0.008
narkoba,0.011
nasi,0.004
nasib,0.004
natural,0.004
nego,0.004
negoisasi,0.011
nekat,0.015
neraka,0.004
ngajakndia,0.004
ngalamin,0.004
ngamuk,0.008
ngider,0.004
ngomongna,0.004
ngumpulim,0.004
nice,0.004
ningalin,0.019
ntan,0.004
nu,0.004
nuang,0.004
nunjukin,0.004
nya,0.008
nyala,0.004
nyamber,0.004
nyamperin,0.004
nyaring,0.004
nyawa,0.004
nyeletuk,0.004
nyerah,0.004
nyusul,0.004
obrol,0.004
oke,0.019
okebaikla,0.004
oknum,0.008
olah,0.011
olahraga,0.004
oleh,0.004
omong,0.004
omzet,0.004
onar,0.004
ongkir,0.004
oplos,0.004
orang,0.053
otaku,0.008
oyo,0.004
pacar,0.008
pada,0.004
padahal,0.004
padalarang,0.004
pagi,0.011
paham,0.015
pajero,0.004
pak,0.008
pakai,0.038
paksa,0.008
paling,0.004
paman,0.023
pamit,0.008
panas,0.004
pandemi,0.004
pangilan,0.011
panjang,0.008
pantai,0.004
pantas,0.004
parsel,0.004
pasal,0.004
pasang,0.011
pasar,0.015
pasrah,0.004
patah,0.008
patung,0.004
pekerjaan,0.004
pekerjan,0.011
peluang,0.008
peluk,0.011
pembicaran,0.004
pempek,0.004
pencil,0.004
penjagan,0.004
penuh,0.008
pepet,0.004
per,0.008
perabot,0.004
peras,0.004
percaya,0.004
pergi,0.053
pergike,0.004
perhati,0.004
periksa,0.008
perlu,0.011
pernah,0.031
persis,0.004
pertama,0.015
pertamakalinya,0.004
pesan,0.011
peta,0.004
pih,0.004
pihak,0.011
pikir,0.015
pimpin,0.004
pindah,0.015
pintu,0.008
pisah,0.008
pocari,0.004
pojok,0.008
polisi,0.019
positif,0.011
pribadi,0.008
privatenya,0.004
protes,0.004
provider,0.004
ps,0.004
pulang,0.034
punua,0.004
punya,0.023
pusing,0.004
putar,0.004
putih,0.004
putus,0.015
rad,0.008
ragu,0.008
ramah,0.004
rasa,0.019
ratap,0.004
rd,0.008
rebah,0.004
rebounding,0.004
rebu,0.004
recook,0.004
renang,0.004
rencana,0.004
rendah,0.004
rentet,0.004
resmi,0.004
retwetnya,0.004
rias,0.004
ribu,0.008
rindu,0.008
ringan,0.004
robek,0.004
rum,0.011
rumah,0.073
rumit,0.004
rupa,0.011
rusak,0.004
rusakin,0.004
rusuh,0.004
rute,0.004
saat,0.019
sabu,0.004
sadar,0.008
sadez,0.004
saing,0.004
saja,0.046
sakit,0.019
saksi,0.004
salah,0.011
salak,0.004
salar,0.004
saling,0.004
sama,0.107
sambilmelotot,0.004
samenleven,0.004
sampah,0.004
sampai,0.019
sana,0.004
sangat,0.004
sangkut,0.004
sanjung,0.004
sarana,0.004
sarat,0.004
sate,0.004
satu,0.042
saudara,0.088
saya,0.764
sayang,0.019
sebagai,0.004
sebentar,0.004
sebrang,0.004
sebut,0.004
second,0.004
sedang,0.008
sedia,0.004
sedih,0.004
sedikit,0.008
segala,0.008
segera,0.004
sehat,0.004
sejak,0.008
sekali,0.031
sekarang,0.008
sekitar,0.004
sekuel,0.004
selalu,0.011
selamat,0.008
selera,0.004
selesai,0.011
selingkuh,0.004
selisih,0.004
seliwer,0.004
seluler,0.004
semacem,0.004
semangat,0.004
sembunyi,0.011
sempat,0.011
sempetnya,0.004
semua,0.053
sen,0.004
sendiri,0.011
senonoh,0.004
seperti,0.027
serah,0.004
serbuk,0.004
seringkali,0.004
sesal,0.008
sesuai,0.004
sesuatu,0.004
setan,0.004
setuju,0.011
sewa,0.004
shocked,0.004
si,0.027
siang,0.004
siap,0.011
siapa,0.011
sibuk,0.004
sih,0.027
sihir,0.004
sikeras,0.004
simpang,0.004
sinetron,0.004
sisi,0.008
sodor,0.004
sok,0.008
sokong,0.004
sombong,0.004
sore,0.008
status,0.008
stensil,0.004
stiker,0.004
suami,0.027
suasana,0.004
suatu,0.004
subsisdi,0.004
subuh,0.004
sudah,0.069
suka,0.015
sukabumi,0.011
sulit,0.015
sungguh,0.008
super,0.004
supirnya,0.004
surat,0.019
suruh,0.008
syok,0.004
syuka,0.004
syukur,0.004
tadi,0.011
tahan,0.015
tahu,0.031
tahun,0.004
takbir,0.004
takut,0.004
takuya,0.004
tambah,0.004
tampar,0.004
tamu,0.004
tanggung,0.004
tangis,0.004
tangkap,0.015
tanjung,0.008
tanya,0.031
tapi,0.034
tarik,0.004
tarung,0.004
tato,0.004
tebak,0.004
tebus,0.011
teh,0.008
tekan,0.004
telan,0.004
telat,0.008
telepon,0.011
telur,0.004
teman,0.019
temaram,0.004
tempat,0.023
temu,0.008
tenang,0.004
tenda,0.004
tendang,0.004
tengsin,0.004
tentu,0.004
tepis,0.008
terbaik,0.008
teriak,0.008
terima,0.004
terimakasih,0.053
terka,0.004
terlalu,0.015
terus,0.011
tetap,0.004
tetayocin,0.004
tetesin,0.004
teuing,0.004
tg,0.004
thn,0.004
tiap,0.011
tiba,0.004
tidak,0.29
tidaks,0.004
tidur,0.034
tiga,0.004
tim,0.004
tindak,0.004
tinggal,0.015
tingkah,0.004
tingkat,0.004
tipikal,0.011
tiri,0.004
titik,0.004
titip,0.004
toko,0.004
tokopedia,0.004
tolak,0.008
tong,0.004
travelnya,0.004
trims,0.004
truk,0.004
tuju,0.004
tumbuh,0.004
tumbuk,0.004
tumpah,0.004
tunda,0.004
tunggu,0.008
tunguin,0.004
tunjuk,0.008
turun,0.015
tutup,0.008
uang,0.011
ubah,0.008
ubin,0.004
ucap,0.008
uduk,0.004
ug,0.004
uji,0.008
ujug,0.004
ukur,0.004
ulpoad,0.004
umpatanya,0.004
umum,0.004
umur,0.008
undur,0.004
ungkap,0.004
unjung,0.004
untuk,0.023
untuku,0.004
untung,0.008
upaya,0.004
upeti,0.004
urus,0.011
usah,0.008
usaha,0.019
usik,0.004
utama,0.008
utas,0.004
varia,0.004
versi,0.008
wah,0.004
waktu,0.023
walhasil,0.004
wanita,0.011
wawancara,0.011
weeks,0.004
whatsap,0.004
wifi,0.004
wisuda,0.004
ya,0.004
yak,0.004
yakin,0.008
yamasa,0.004
yang,0.222
zar,0.004
zona,0.004
