term,weight
able,0.006
ada,0.017
aduh,0.011
agama,0.023
agar,0.034
ah,0.023
ahli,0.006
air,0.006
ajak,0.006
ajar,0.017
aji,0.006
akan,0.011
akh,0.011
akhir,0.057
aktif,0.011
akurat,0.006
alas,0.011
alias,0.011
alvin,0.006
aman,0.006
ambil,0.011
amel,0.006
amelnya,0.006
ampun,0.006
an,0.023
anak,0.017
anasta,0.006
anda,0.124
andarini,0.006
andok,0.006
aneh,0.006
angin,0.011
angkat,0.006
antem,0.006
antisipasi,0.006
apa,0.113
arah,0.011
asal,0.006
asap,0.011
astaghfirulahaladzim,0.006
atas,0.017
athaya,0.011
atur,0.011
awal,0.006
ayah,0.011
ayam,0.006
ayo,0.017
baca,0.028
bagai,0.006
bagaimana,0.034
bagus,0.006
bahas,0.006
bahkan,0.006
baik,0.045
balas,0.017
balesnya,0.006
balik,0.017
bangga,0.006
bangun,0.011
banyak,0.034
bapak,0.011
bareng,0.006
barracuda,0.006
baru,0.045
bau,0.006
bawa,0.017
bebek,0.006
beberapa,0.006
beda,0.006
begini,0.023
begitu,0.034
belanja,0.011
beli,0.006
beludru,0.006
belum,0.034
benar,0.074
benda,0.006
berapa,0.006
bercengkrama,0.006
berisik,0.006
berita,0.006
besok,0.023
betul,0.006
bey,0.006
biadab,0.011
biarin,0.006
biarpun,0.006
bias,0.006
biasa,0.023
biasane,0.006
bicara,0.017
bilang,0.006
bingung,0.017
bintang,0.006
bisa,0.034
bisindo,0.006
bk,0.006
bodoh,0.011
bohong,0.006
bola,0.006
bolak,0.006
bom,0.006
boro,0.006
bosan,0.006
brosur,0.006
buagus,0.006
buah,0.006
buat,0.068
budak,0.006
buka,0.006
bulan,0.017
bulmat,0.006
bunyi,0.006
burgerking,0.006
buruk,0.006
buset,0.006
butuh,0.011
cakap,0.006
camil,0.006
cantik,0.006
cara,0.011
cari,0.006
cc,0.006
ceker,0.006
cemil,0.017
cenderung,0.006
cepat,0.011
ceplos,0.006
cerita,0.017
cermin,0.006
ceroboh,0.006
cetak,0.006
chandraliow,0.006
chatku,0.006
cia,0.006
cinta,0.006
coba,0.011
cocor,0.006
cok,0.006
contek,0.006
corelku,0.006
corona,0.011
cuil,0.006
cukup,0.006
cuma,0.006
cuy,0.006
da,0.006
dadi,0.006
daftar,0.011
dakwah,0.006
dan,0.011
dana,0.006
dapat,0.011
dar,0.006
dari,0.023
daripada,0.011
dasar,0.006
datang,0.006
deh,0.006
dekat,0.006
dele,0.006
dendam,0.006
dengan,0.045
dengar,0.006
depan,0.011
deutsch,0.011
di,0.023
dia,0.006
diam,0.006
dian,0.006
diangep,0.006
diarani,0.006
dicancel,0.006
didik,0.006
difolbek,0.006
difolow,0.006
digonceng,0.006
dih,0.006
dihubungin,0.006
dikenalin,0.006
dikit,0.006
dilock,0.006
dimana,0.006
diomongin,0.006
dipack,0.006
dirawatin,0.006
disabilitas,0.006
disamaratain,0.006
dit,0.006
djeqi,0.006
doa,0.006
doang,0.017
dong,0.006
dpl,0.017
dplku,0.006
drama,0.011
duduk,0.006
dulu,0.062
dunia,0.017
duyung,0.006
edgy,0.006
edit,0.006
elah,0.006
elpigi,0.006
emosi,0.011
enggan,0.006
eroh,0.006
es,0.006
euy,0.006
faktor,0.006
fal,0.006
finishnya,0.006
fitnah,0.006
fokus,0.011
folbek,0.006
foto,0.006
funk,0.006
gaisok,0.006
gakuat,0.006
gambar,0.006
ganggu,0.011
gas,0.006
gasa,0.006
gataunya,0.006
gausa,0.011
gelem,0.006
gelombang,0.006
gemar,0.006
gemas,0.006
gendut,0.006
gercep,0.006
giat,0.006
gila,0.006
gimane,0.006
gimmick,0.006
gin,0.051
gmnsi,0.006
goreng,0.006
gtl,0.006
guduk,0.006
gulon,0.006
habis,0.017
hade,0.006
haha,0.023
hai,0.017
haid,0.006
hak,0.011
hal,0.011
hancur,0.006
hangat,0.006
hanya,0.011
hapus,0.011
harga,0.006
hari,0.068
harus,0.017
hati,0.006
heboh,0.017
hello,0.006
henti,0.011
henyak,0.006
hidup,0.011
hijau,0.006
hijrah,0.006
hilang,0.006
hingga,0.011
hpnya,0.006
huahaha,0.006
hujan,0.011
humoris,0.011
ibu,0.034
icad,0.011
ifan,0.011
iku,0.006
ikut,0.011
ikuti,0.006
in,0.017
indah,0.006
indomaret,0.006
ingat,0.006
ingin,0.006
ini,0.079
instruksi,0.006
interaksi,0.006
inti,0.006
irfansyah,0.006
isi,0.017
isine,0.006
islam,0.006
isok,0.006
istimewa,0.011
isuk,0.006
itu,0.085
iya,0.068
jabodetabek,0.006
jadi,0.175
jajan,0.006
jalan,0.006
jam,0.017
jaman,0.006
janc,0.011
janck,0.006
januari,0.006
jarak,0.011
jarang,0.006
jauh,0.006
jawab,0.011
jek,0.006
jelas,0.006
jenis,0.006
jepit,0.006
jerapah,0.006
jerman,0.006
jermanya,0.006
jerome,0.017
jijik,0.006
jinjit,0.006
jiwa,0.006
jok,0.006
joys,0.006
juang,0.011
judul,0.006
juga,0.034
jujur,0.006
juz,0.006
kabut,0.006
kacau,0.011
kadang,0.011
kala,0.006
kalah,0.006
kalau,0.124
kali,0.034
kan,0.045
kanan,0.006
kapan,0.011
kara,0.006
karena,0.023
kasih,0.011
kasihan,0.006
kasur,0.006
kasus,0.006
kata,0.017
kati,0.006
kayak,0.006
ke,0.011
kebab,0.011
kebo,0.006
kebun,0.006
kece,0.006
kecil,0.011
kelompok,0.006
keluar,0.028
kemarin,0.034
kembali,0.006
ken,0.057
kena,0.017
kenal,0.006
kenapa,0.017
kene,0.006
keras,0.006
keren,0.011
kerja,0.006
kesengol,0.006
ket,0.006
ketriger,0.006
khatam,0.011
khatamin,0.006
kiblat,0.006
kilas,0.006
kinda,0.006
kira,0.011
kiri,0.006
kisah,0.006
kita,0.017
kmn,0.006
kn,0.04
knpsi,0.006
knya,0.006
komentar,0.006
kon,0.017
konsep,0.006
kopi,0.006
korea,0.006
korslet,0.006
kos,0.006
kosong,0.011
kota,0.011
kotak,0.006
koyok,0.011
krucil,0.006
ksl,0.006
kubiarin,0.006
kubur,0.006
kuketawain,0.006
kunci,0.006
kunto,0.006
kupas,0.006
kursi,0.006
lagi,0.028
lagu,0.006
lah,0.028
lain,0.011
lak,0.006
laki,0.04
laksana,0.006
lalu,0.023
lama,0.028
langsung,0.028
lapang,0.006
lapor,0.006
least,0.006
lebaran,0.011
lebih,0.017
legine,0.006
lek,0.017
lelah,0.011
lembut,0.006
leng,0.006
lengkap,0.006
less,0.006
lettering,0.006
lha,0.006
lihat,0.028
literasi,0.006
logo,0.006
lombok,0.006
look,0.006
lpm,0.006
lucu,0.006
lulus,0.006
luwes,0.006
maaf,0.011
macam,0.011
macet,0.006
mager,0.006
mahir,0.011
mahkota,0.006
mai,0.006
makin,0.006
maksud,0.011
malah,0.028
malam,0.028
malas,0.006
malemnya,0.006
malu,0.023
mana,0.017
mancing,0.006
mangil,0.006
mangkanya,0.017
mangkas,0.006
manusia,0.017
marah,0.006
masak,0.006
masih,0.011
maskara,0.011
maskaran,0.006
masker,0.006
masuk,0.006
matcha,0.006
mati,0.011
mau,0.107
mauk,0.006
mbaten,0.006
mbiyen,0.006
medok,0.006
memang,0.062
memberi,0.017
memed,0.006
menang,0.011
mendengarkan,0.006
meni,0.006
mentemen,0.006
merah,0.006
mereka,0.023
mie,0.011
minta,0.017
minum,0.006
misi,0.006
mixer,0.006
momen,0.006
momogi,0.006
moro,0.006
mraktekin,0.006
mudah,0.006
muka,0.006
mulai,0.011
mulut,0.011
mungkin,0.006
muntah,0.006
mur,0.006
mv,0.006
mz,0.006
nadin,0.006
naik,0.017
nakok,0.006
nama,0.006
nang,0.057
nanges,0.006
nangisin,0.006
nanyain,0.006
naya,0.006
ndang,0.006
ndo,0.006
nelfon,0.006
nemuin,0.006
nespes,0.006
neuro,0.011
ngagetin,0.006
ngaku,0.006
ngarai,0.006
ngawe,0.006
nge,0.006
ngeblak,0.006
ngecapture,0.006
ngecek,0.006
ngechat,0.006
ngefolback,0.006
ngegas,0.006
ngejudge,0.006
ngembalin,0.006
ngeprotect,0.006
ngeributin,0.006
ngerokok,0.017
ngmgin,0.006
ngombe,0.006
ngomel,0.006
ngono,0.006
ngubah,0.006
ngucapinya,0.006
nguntal,0.006
nia,0.006
niat,0.006
nikmat,0.011
nila,0.006
nmax,0.011
nomernya,0.006
nomor,0.028
nongki,0.006
normal,0.006
novel,0.006
nya,0.045
nyalahin,0.006
nyaman,0.011
nyanyi,0.017
nyaring,0.006
nyata,0.04
nyawa,0.006
nyebarnya,0.006
nyemangatin,0.006
obrol,0.006
ojok,0.006
omong,0.028
onok,0.011
opi,0.006
orang,0.085
oya,0.006
pa,0.006
pacar,0.023
pada,0.006
padahal,0.023
pagi,0.006
paham,0.011
pakai,0.04
paling,0.006
pancasila,0.011
pandang,0.006
pandugo,0.006
papas,0.006
parah,0.006
parno,0.011
peduli,0.006
pegang,0.006
pekerjan,0.006
peluk,0.011
penuh,0.011
peras,0.006
percaya,0.006
percoyo,0.006
perhati,0.011
periksa,0.006
pernah,0.045
persudzonan,0.006
pertalite,0.006
pesan,0.006
peta,0.011
pikir,0.034
pindah,0.011
pingiran,0.006
pisang,0.006
poine,0.006
pokok,0.006
posyandu,0.006
potong,0.006
pria,0.006
prinsipil,0.006
profilemu,0.006
proker,0.006
proses,0.006
psiko,0.006
pukul,0.006
punya,0.011
puput,0.011
purane,0.006
pusing,0.006
putra,0.006
putri,0.006
racun,0.006
rada,0.006
rahmad,0.006
rajin,0.006
ramadhan,0.017
ramadhani,0.006
rantau,0.006
rasa,0.023
raung,0.006
realita,0.006
rebah,0.011
rek,0.034
rekues,0.011
relevan,0.011
rem,0.011
responsif,0.006
riang,0.006
rindu,0.034
rokok,0.017
rontok,0.006
rumah,0.04
rumit,0.006
runyam,0.006
saat,0.011
saiki,0.006
saja,0.119
saking,0.006
sakip,0.006
sakit,0.011
salah,0.017
sama,0.119
sampai,0.057
sana,0.006
sandal,0.006
sandwich,0.006
sanitizernya,0.006
saran,0.006
sari,0.006
sastro,0.006
satu,0.006
saudara,0.124
saya,0.667
se,0.023
sebab,0.006
sebar,0.006
sebentar,0.011
sebuah,0.034
sebut,0.011
sedia,0.006
sedih,0.017
segera,0.006
segi,0.006
sego,0.006
sehat,0.006
sejak,0.023
sekali,0.164
sekarang,0.04
sekitar,0.006
selalu,0.006
selamat,0.017
selesai,0.006
selip,0.006
semangat,0.006
sembako,0.006
semoga,0.011
sempat,0.017
semua,0.023
sendiri,0.028
sengaja,0.006
sengol,0.006
senin,0.006
sensi,0.006
sentuh,0.006
seperti,0.062
sepik,0.006
sering,0.011
serong,0.006
sesuai,0.006
setan,0.017
sgt,0.011
shab,0.006
shb,0.006
shits,0.006
sial,0.04
siang,0.006
siapa,0.006
sibuk,0.006
sih,0.028
silah,0.006
silat,0.006
simpan,0.006
simpul,0.006
sini,0.006
sinom,0.006
sistem,0.006
situ,0.017
situasi,0.006
skakmat,0.006
skripsi,0.006
smala,0.006
smsm,0.006
soal,0.011
soale,0.011
sok,0.006
solo,0.006
sombong,0.006
sore,0.011
sosio,0.006
spidol,0.006
spotify,0.006
standar,0.006
staykult,0.006
stiker,0.006
suasana,0.006
suatu,0.006
sudah,0.13
suka,0.045
sukses,0.006
sumpah,0.011
surabaya,0.011
surat,0.011
suroya,0.006
suruh,0.006
surya,0.011
susah,0.011
susu,0.006
syafiq,0.023
syawal,0.006
syok,0.006
syukur,0.023
tadi,0.011
tahan,0.006
tahu,0.023
takut,0.034
tampak,0.006
taneman,0.006
tangan,0.006
tangis,0.017
tanjung,0.006
tanpa,0.006
tanya,0.011
tapi,0.062
target,0.006
taro,0.017
taruh,0.011
tawa,0.164
tebang,0.006
teh,0.011
telepon,0.023
televisi,0.006
teman,0.04
tembus,0.006
tempat,0.011
temu,0.011
temuin,0.006
tenang,0.017
tengah,0.017
tentu,0.011
tepat,0.006
ter,0.006
terima,0.006
terus,0.045
tetap,0.04
tiap,0.011
tiba,0.023
tidak,0.351
tidur,0.006
tim,0.006
tinder,0.006
tinggal,0.017
tipis,0.006
toh,0.006
tok,0.006
tolak,0.006
tolong,0.028
tong,0.006
tonton,0.034
traits,0.006
transaksi,0.006
trims,0.006
trisila,0.006
tsah,0.006
tugas,0.034
tuhan,0.028
tular,0.006
tulis,0.006
tung,0.006
turns,0.006
tuti,0.006
tutuk,0.006
tutup,0.006
twetku,0.006
twice,0.006
twiternya,0.006
twitter,0.011
tyas,0.006
ubah,0.017
udu,0.006
ujan,0.028
ujung,0.017
ular,0.006
umat,0.006
uns,0.011
untuk,0.011
untung,0.006
urusin,0.006
usah,0.006
usul,0.011
utama,0.006
vatikan,0.006
versi,0.006
vidcal,0.011
virus,0.006
wacana,0.006
wah,0.006
waktu,0.034
walaupun,0.006
