term,weight
ada,0.025
adakalanya,0.008
adalah,0.167
adam,0.008
affected,0.008
affordable,0.008
afi,0.008
afirmasi,0.008
agama,0.017
agar,0.017
aguero,0.008
air,0.008
airpod,0.008
ajak,0.008
ajar,0.05
aju,0.008
akan,0.017
akhir,0.025
al,0.008
alexandra,0.008
allah,0.008
aman,0.025
ambil,0.008
amin,0.008
an,0.025
ancam,0.008
anda,0.175
aneh,0.008
anjlok,0.008
antre,0.008
apa,0.184
apakabar,0.008
apes,0.008
arah,0.008
asal,0.017
asap,0.008
asbun,0.008
asli,0.017
astaga,0.008
atamufid,0.008
atas,0.008
atau,0.008
atleast,0.008
audio,0.008
awet,0.008
baca,0.067
backup,0.008
bagaimana,0.025
bagi,0.008
bahagia,0.008
bahahahaha,0.008
bahkan,0.008
baik,0.067
bajing,0.042
balas,0.017
balik,0.025
bangun,0.017
bantu,0.042
banyak,0.05
banyuwangi,0.008
bapak,0.008
bapuk,0.008
bara,0.008
bareng,0.008
baron,0.008
baru,0.025
basically,0.008
batal,0.008
bayar,0.008
beda,0.025
begini,0.025
begitu,0.05
beku,0.008
belum,0.017
benang,0.008
benar,0.05
benda,0.008
benersih,0.008
bentr,0.008
bentuk,0.008
berat,0.008
berhasil,0.017
berhenti,0.008
berita,0.008
besar,0.042
besok,0.008
betapa,0.008
biadab,0.008
bicara,0.025
bigger,0.008
bina,0.008
bingung,0.008
bisa,0.05
bismillah,0.017
bizare,0.008
blinders,0.008
bljr,0.008
blogspot,0.025
blues,0.008
bodoh,0.025
bohong,0.008
bola,0.008
boleh,0.008
bom,0.042
both,0.008
bpjs,0.008
buah,0.008
buat,0.058
buka,0.008
bukan,0.008
bunuh,0.008
buru,0.008
buruk,0.008
butuh,0.017
bz,0.008
cahaya,0.008
cair,0.008
cakep,0.008
calms,0.008
campak,0.008
canda,0.017
canggung,0.008
cara,0.025
cari,0.008
cemas,0.008
cepat,0.008
cerita,0.008
chag,0.008
chin,0.008
chug,0.008
cinta,0.025
ciri,0.008
coba,0.033
colok,0.008
combo,0.008
congo,0.008
congrats,0.017
cops,0.008
corona,0.017
cs,0.008
cui,0.008
cuma,0.017
cuman,0.008
cuy,0.025
dagang,0.008
dan,0.125
dapat,0.075
dar,0.008
dari,0.067
daripada,0.008
datang,0.008
days,0.017
deh,0.017
dek,0.008
dekat,0.008
dengan,0.008
dengar,0.017
depan,0.017
derita,0.008
detail,0.008
devicenya,0.008
di,0.067
dia,0.042
diarahin,0.008
didnt,0.017
dikit,0.008
dimana,0.008
dimingerti,0.008
dimn,0.008
disingapur,0.008
disini,0.017
disney,0.008
dit,0.017
doang,0.017
dokter,0.025
dolo,0.008
dong,0.008
drc,0.008
dude,0.008
dudes,0.008
dulu,0.033
dunia,0.008
each,0.008
ebola,0.008
editor,0.008
efek,0.008
eh,0.008
elbakyan,0.008
enak,0.008
episode,0.008
episodes,0.008
erti,0.008
etika,0.008
eug,0.008
euy,0.017
every,0.017
ewkwk,0.008
faktor,0.025
fantastic,0.008
fatihah,0.008
feb,0.008
fi,0.008
fifa,0.025
fisiologi,0.008
fitur,0.008
fizi,0.017
floyd,0.008
folks,0.008
foto,0.008
fren,0.008
fut,0.008
futsal,0.008
gabener,0.008
gadibolehin,0.008
gadis,0.008
gagal,0.008
galadriel,0.008
gambar,0.008
gangerti,0.008
ganglion,0.008
garis,0.025
gasih,0.008
gejala,0.008
gemar,0.008
george,0.008
giat,0.008
gin,0.042
goals,0.008
gokil,0.008
goosebumps,0.008
grafik,0.008
gratis,0.008
greget,0.008
grup,0.025
gudang,0.008
guided,0.008
guidline,0.008
guna,0.008
gws,0.008
habis,0.025
had,0.017
hahahahahaha,0.008
hahahahahahahah,0.008
hahahahahahahahaha,0.008
hampir,0.008
han,0.008
hanya,0.033
harap,0.025
hari,0.008
harus,0.008
hasek,0.008
heartbreaking,0.008
hearted,0.008
hebat,0.017
hembus,0.008
hidup,0.042
hikmah,0.008
hilang,0.008
himpun,0.008
hindar,0.008
hiyahiya,0.008
hormat,0.017
htp,0.008
hujanya,0.008
hujat,0.008
humor,0.008
hutang,0.008
ibu,0.05
icloudnya,0.008
igd,0.025
ilaihi,0.008
ilmu,0.008
impressive,0.008
imrealy,0.008
in,0.033
ina,0.008
inalilahi,0.008
inalilahiwainlilahirojiun,0.008
indonesia,0.017
indonesian,0.008
ingat,0.008
ingin,0.008
ini,0.117
instagram,0.008
interact,0.008
internet,0.008
intro,0.008
involved,0.008
ipd,0.017
ipin,0.008
istimewa,0.008
istirahat,0.008
itu,0.334
ive,0.008
iya,0.017
iyadong,0.008
iyaiya,0.008
izin,0.008
jadi,0.226
jaga,0.025
jahahahaha,0.008
jalan,0.017
jalanin,0.008
jam,0.033
jatah,0.008
jazz,0.008
jejaring,0.008
jelas,0.017
jengah,0.008
jenis,0.025
jorok,0.008
jual,0.008
juang,0.017
juga,0.033
jujur,0.008
jurnal,0.008
kacau,0.017
kalau,0.109
kali,0.008
kalian,0.008
kambing,0.008
kan,0.025
kane,0.008
kantong,0.008
karena,0.017
kasar,0.008
kasih,0.008
kasman,0.008
kaspan,0.017
kaspen,0.008
kasus,0.008
kata,0.025
kati,0.008
kecewa,0.008
kelarin,0.008
kelelawar,0.017
kelola,0.008
keluar,0.008
keluarga,0.008
kemarin,0.033
