term,weight
activist,0.007
ada,0.059
adalah,0.037
aduh,0.015
aerobik,0.007
agak,0.007
agar,0.022
ah,0.007
air,0.015
aiueo,0.007
ajak,0.015
ajar,0.051
akan,0.022
akhir,0.015
ala,0.007
albeit,0.007
alergi,0.007
alex,0.015
alexei,0.007
algoritma,0.007
although,0.007
alus,0.007
ambil,0.007
ampuh,0.007
an,0.015
anda,0.147
android,0.007
aneh,0.007
anes,0.015
anesnya,0.007
angkasa,0.007
angkat,0.007
ansietasku,0.007
anti,0.007
apa,0.161
apantu,0.007
aplikasi,0.015
ariana,0.007
arik,0.007
asik,0.007
asli,0.007
astaga,0.007
atas,0.015
awam,0.015
awas,0.007
awat,0.007
ayam,0.022
aygo,0.007
ayo,0.007
babay,0.007
baca,0.051
bagaimana,0.059
bahas,0.007
bahasa,0.015
bahkan,0.015
baik,0.022
bajing,0.015
baju,0.007
balas,0.007
balik,0.015
ballerina,0.007
balsem,0.007
balut,0.007
banci,0.007
banding,0.007
bang,0.015
bangga,0.007
bangun,0.007
bangunya,0.007
banj,0.007
banya,0.007
banyak,0.022
bapak,0.051
baru,0.029
basah,0.007
bau,0.015
bawa,0.007
bawah,0.007
bawan,0.007
bayang,0.015
bayi,0.007
beberapa,0.007
becky,0.007
beda,0.022
begini,0.007
begitu,0.073
bejo,0.007
bekas,0.007
belanja,0.015
beli,0.007
beliau,0.007
belum,0.037
benar,0.044
bentur,0.007
berapa,0.007
bergerenjel,0.007
berhasil,0.007
beri,0.007
bersih,0.007
besok,0.007
bestestestestestestest,0.007
bi,0.007
biasa,0.037
biaya,0.007
bicara,0.007
bilang,0.022
bingung,0.007
bisa,0.029
biseksual,0.007
bmi,0.007
bodoh,0.007
boikot,0.007
bokek,0.015
bola,0.022
boleh,0.007
boong,0.015
bosan,0.015
bot,0.007
botak,0.007
bradi,0.007
bruh,0.015
buat,0.073
buka,0.007
bukan,0.015
buku,0.007
bulu,0.007
buluh,0.007
buruk,0.007
butuh,0.022
caem,0.007
canda,0.007
cara,0.029
carideh,0.007
cashback,0.007
ce,0.044
cece,0.015
cemburu,0.007
cemil,0.029
cengirnya,0.007
cepat,0.007
cepetan,0.007
