term,weight
acne,0.015
ada,0.073
ademe,0.015
adil,0.015
adohe,0.015
aduh,0.029
aha,0.015
aidzin,0.015
ajak,0.015
akan,0.029
akhir,0.015
akhlak,0.015
aktivitas,0.015
alamat,0.015
ale,0.015
aman,0.015
amin,0.029
ampun,0.015
anak,0.029
anda,0.102
angpao,0.015
apa,0.146
apel,0.015
arti,0.015
asline,0.015
ayah,0.029
ayo,0.029
bagaimana,0.015
bagus,0.044
bajilak,0.015
balas,0.015
banding,0.015
bang,0.015
bangke,0.015
banyak,0.044
banyakin,0.015
bar,0.015
bareng,0.029
baru,0.015
batal,0.015
batin,0.015
bawa,0.015
beberapa,0.015
beli,0.015
ben,0.015
benar,0.044
bengi,0.058
beranda,0.015
berapa,0.015
berat,0.015
beri,0.029
berkah,0.015
bersih,0.029
besok,0.073
besoksilaturahmu,0.015
bha,0.015
bi,0.015
biasa,0.029
bicara,0.029
bilang,0.029
bimbing,0.029
bingung,0.015
biru,0.015
bisa,0.015
bisnis,0.015
bo,0.015
bodoh,0.015
buah,0.029
buat,0.015
buka,0.029
bukti,0.015
bulan,0.087
buteq,0.015
butuh,0.015
cahaya,0.029
cakap,0.015
calca,0.015
calone,0.015
cari,0.029
catat,0.015
cecak,0.015
cedak,0.029
cemil,0.015
centong,0.015
cicak,0.015
cinta,0.015
ckckckck,0.015
coba,0.029
cocok,0.029
coro,0.029
corona,0.044
cosrx,0.029
creamnya,0.015
cuma,0.015
daftar,0.015
dal,0.029
damping,0.015
dan,0.029
dapat,0.015
dasar,0.015
datang,0.015
debat,0.015
dedy,0.015
deh,0.015
depan,0.015
detected,0.015
detik,0.015
di,0.015
diam,0.015
didik,0.015
dikancani,0.015
diladenin,0.015
dimarahin,0.015
dingat,0.015
dingo,0.029
dino,0.015
dinonaktifne,0.015
diri,0.015
dishare,0.015
ditingalkan,0.015
diunreg,0.015
doang,0.044
dokter,0.015
dong,0.044
dua,0.015
dulu,0.058
edan,0.015
em,0.058
enak,0.015
enaq,0.015
endi,0.015
eneke,0.015
entek,0.015
entuk,0.015
ewu,0.015
faidzin,0.015
fast,0.015
fitri,0.029
foto,0.015
fotone,0.015
gajah,0.015
gambar,0.029
ganguanya,0.015
ganjil,0.029
ganti,0.015
gantung,0.015
gawe,0.015
gemblung,0.015
genap,0.015
gethuk,0.015
ghosting,0.015
gin,0.015
godog,0.029
goro,0.029
gulir,0.015
gulu,0.015
gusti,0.015
halal,0.029
hanya,0.015
harga,0.015
hari,0.073
harus,0.015
hasil,0.015
hati,0.029
helm,0.015
hidup,0.058
hilang,0.015
hubung,0.029
hutang,0.015
hwa,0.015
hypermart,0.015
ibadah,0.029
ibu,0.029
ide,0.029
idul,0.029
ilmu,0.015
iloveyou,0.029
iman,0.029
ini,0.029
instan,0.015
isi,0.015
iya,0.044
jadi,0.044
jaga,0.058
jalan,0.015
jam,0.015
jancok,0.015
jarak,0.015
jauh,0.015
jerawat,0.015
jilbab,0.015
jne,0.015
jodoh,0.015
joget,0.015
jomblo,0.015
jual,0.029
juni,0.015
jurnal,0.015
jurus,0.015
kabeh,0.029
kalah,0.015
kalau,0.073
kale,0.015
kalean,0.015
kali,0.015
kamar,0.015
kamera,0.015
kan,0.015
kapa,0.015
kapan,0.015
karang,0.015
kasih,0.015
kating,0.058
ke,0.015
kecut,0.015
keh,0.015
kei,0.015
kelas,0.015
keluarga,0.029
kemarin,0.044
kembali,0.015
ken,0.029
kena,0.015
kenal,0.015
kenang,0.015
kenapa,0.029
kene,0.015
kepala,0.015
keramas,0.015
ket,0.015
ketik,0.015
ki,0.058
kilang,0.029
klenger,0.015
koe,0.058
komitmen,0.015
kondisi,0.015
konspirasi,0.015
konsul,0.029
kontrol,0.015
kopi,0.015
kosku,0.015
kota,0.015
kti,0.015
kuat,0.015
kui,0.015
kulit,0.015
kumlot,0.015
kunci,0.015
kurang,0.029
la,0.029
label,0.015
lagi,0.029
lah,0.029
lahir,0.015
laila,0.015
laki,0.248
lali,0.015
lam,0.015
lama,0.015
lambene,0.015
lancar,0.015
langsung,0.029
lanjut,0.015
laptop,0.015
lebaran,0.015
lebih,0.029
lee,0.029
lembar,0.015
lepat,0.015
lepek,0.015
lesu,0.015
lihat,0.029
lingkar,0.015
link,0.029
listrik,0.015
liyane,0.044
loh,0.015
loreal,0.015
lumayan,0.015
lupa,0.015
maaf,0.029
mahasiswi,0.015
maju,0.015
makin,0.015
maksiat,0.029
makul,0.015
mal,0.015
malam,0.015
mana,0.029
mandi,0.029
