term,weight
acne,0.01
ada,0.052
adalah,0.01
admin,0.01
aduh,0.01
agar,0.021
ah,0.01
ajak,0.021
ajasi,0.01
ajasih,0.01
akan,0.031
akhir,0.021
akhirx,0.01
akun,0.01
alam,0.01
alias,0.021
ambil,0.01
ampuh,0.01
anda,0.084
aneh,0.01
angkat,0.01
angur,0.01
anjg,0.01
apa,0.115
apaoun,0.01
arief,0.01
asli,0.021
astaga,0.042
asuh,0.01
atau,0.021
ayam,0.042
ayo,0.042
baca,0.01
baik,0.052
balado,0.01
balik,0.01
bambank,0.01
banar,0.01
bantu,0.01
banyak,0.052
bareng,0.01
baru,0.031
batas,0.01
bedosa,0.01
begadang,0.01
begini,0.01
begitu,0.031
beku,0.01
beli,0.031
belum,0.021
benar,0.031
benci,0.021
benerbener,0.01
bentar,0.01
berani,0.01
berat,0.01
bertemu,0.01
besok,0.021
beting,0.01
betul,0.021
bgtbgtbgt,0.021
bhaik,0.021
biasa,0.031
biasax,0.01
biji,0.01
bingung,0.042
bio,0.01
bisa,0.01
bisul,0.01
bljr,0.01
blooms,0.01
bo,0.01
boba,0.01
bocor,0.01
bodoh,0.021
boros,0.01
bosan,0.031
br,0.021
brem,0.01
brightening,0.01
btlbtl,0.01
btn,0.01
buan,0.01
buat,0.063
buka,0.01
buku,0.01
buta,0.01
cahaya,0.021
cangung,0.01
cantik,0.01
capex,0.021
carax,0.01
cari,0.01
cba,0.01
cef,0.01
cemil,0.052
cepat,0.01
cerita,0.021
cfc,0.01
cimory,0.01
cinta,0.021
coba,0.021
cocok,0.01
cocwit,0.01
cok,0.01
contoh,0.01
cowox,0.01
crita,0.01
cuk,0.01
cuma,0.01
cuman,0.021
cupang,0.01
da,0.01
dan,0.063
dapur,0.01
dar,0.01
daripada,0.021
dasar,0.01
datang,0.021
daun,0.01
debat,0.01
deh,0.052
dekan,0.01
dengeri,0.01
dia,0.01
dijulidin,0.01
dikacangin,0.01
dikit,0.021
dikomenin,0.031
dikuahin,0.01
dilema,0.01
dipakai,0.01
ditunguin,0.01
doang,0.021
doix,0.01
dong,0.01
dorong,0.01
dosen,0.021
drama,0.063
duaduax,0.01
dulu,0.052
dunia,0.01
durian,0.01
eh,0.01
ehehe,0.01
emgx,0.01
enak,0.042
endorse,0.01
energi,0.01
es,0.01
favorito,0.01
film,0.021
gabkin,0.01
gadapat,0.01
gadis,0.01
gadoin,0.01
gamesti,0.01
ganisa,0.01
gantung,0.01
gapake,0.01
gaprnh,0.01
garis,0.01
gausa,0.031
gaya,0.01
gbkl,0.01
gd,0.01
geprek,0.01
gesek,0.01
gila,0.042
gin,0.031
gprnh,0.01
gulai,0.01
gusi,0.01
habis,0.031
haduh,0.01
hai,0.084
hancur,0.01
harap,0.01
hari,0.042
harusx,0.01
hati,0.01
hebat,0.01
hedeh,0.031
heran,0.01
hidup,0.01
ho,0.01
hokben,0.01
hosplay,0.01
hrini,0.01
hyun,0.01
ibu,0.042
ikjun,0.01
ikut,0.021
informasi,0.01
ingin,0.021
ini,0.021
instagram,0.031
iri,0.01
itu,0.042
iya,0.073
jadi,0.063
jadwal,0.01
jae,0.01
jahiliyah,0.01
jail,0.01
jalan,0.031
jaman,0.01
jancu,0.01
jasa,0.01
ji,0.01
jijik,0.01
jink,0.01
jrg,0.01
jual,0.031
juang,0.01
juga,0.021
jujur,0.031
kacau,0.021
kadang,0.01
kaku,0.01
kalau,0.219
kali,0.01
kalian,0.01
kamo,0.01
kampus,0.021
kan,0.052
kapan,0.01
karena,0.031
kartux,0.01
kasi,0.01
kasih,0.021
kastil,0.01
kata,0.01
kaum,0.01
kebahagian,0.01
kebodoan,0.01
kecil,0.01
keju,0.01
kelas,0.01
keluh,0.01
kemarin,0.01
ken,0.063
kena,0.01
kenapa,0.063
keren,0.021
kerja,0.031
kerupuk,0.01
kesah,0.01
kesal,0.021
kesini,0.01
ketemu,0.01
ketika,0.01
kira,0.01
kirakira,0.01
kita,0.01
kiwi,0.01
kompak,0.021
kompas,0.01
kondisi,0.01
kopi,0.031
korea,0.042
kosong,0.01
kt,0.021
kuliah,0.052
kuliahx,0.01
kulit,0.021
kurma,0.01
kwetiaw,0.021
kyung,0.01
lagi,0.031
lagux,0.01
lah,0.021
laki,0.021
lakuin,0.021
lala,0.01
lama,0.031
lamax,0.01
lancar,0.01
langit,0.01
langsung,0.031
layar,0.01
lbaran,0.01
lebaran,0.01
lebih,0.042
lee,0.01
lemas,0.01
libur,0.021
lihat,0.073
lingkar,0.01
loh,0.01
lontong,0.01
luar,0.021
luciene,0.01
lucu,0.042
lulus,0.01
lupa,0.021
maaf,0.01
macam,0.021
mafan,0.01
main,0.01
makanya,0.01
makas,0.01
makin,0.031
malah,0.01
malas,0.073
malu,0.021
mana,0.042
manasin,0.01
mandat,0.01
manis,0.01
manusia,0.021
mao,0.01
marah,0.01
marahmarah,0.01
maranu,0.01
masalah,0.021
masker,0.01
masuk,0.01
mata,0.01
matkul,0.01
mau,0.198
mayox,0.01
mbaca,0.01
mbanking,0.021
meganshop,0.01
memang,0.042
mendengarkan,0.01
mente,0.01
mes,0.021
mesti,0.01
metil,0.01
mg,0.021
mie,0.01
minat,0.01
minta,0.01
mirip,0.01
mit,0.01
mkn,0.01
mlz,0.01
monangis,0.01
mrasa,0.01
mudah,0.021
muh,0.01
muka,0.01
mukbang,0.01
mulai,0.01
mundur,0.01
mungkin,0.01
murah,0.01
muyak,0.01
