term,weight
ada,0.01
adalah,0.031
adegan,0.01
adminya,0.01
aduh,0.021
agar,0.042
ah,0.01
ajak,0.01
ajar,0.021
ajhusi,0.01
akhir,0.031
akhirat,0.01
aktor,0.021
alas,0.01
alis,0.01
ambil,0.021
amin,0.031
ampun,0.031
an,0.01
anak,0.021
anda,0.178
anggota,0.01
angkring,0.01
angkutan,0.01
anniversary,0.01
apa,0.136
apdet,0.01
apung,0.01
aqu,0.01
arti,0.01
astaga,0.021
atine,0.021
atria,0.01
awal,0.01
ayam,0.031
ayo,0.042
baca,0.01
badan,0.01
bagaimana,0.073
bagus,0.021
bahagia,0.021
bahasa,0.01
baik,0.031
baiku,0.01
baleno,0.01
banding,0.01
bangke,0.01
banyak,0.021
bapak,0.031
baru,0.021
batas,0.01
baterai,0.01
bawang,0.01
bayi,0.021
becomes,0.01
beda,0.01
begitu,0.052
belakang,0.01
belanjan,0.01
beli,0.063
belum,0.01
ben,0.01
benar,0.042
bengek,0.01
beri,0.031
besok,0.01
biasa,0.01
bicara,0.021
bilang,0.01
bingung,0.01
bisa,0.063
bismillah,0.01
bodoh,0.01
bola,0.01
boleh,0.01
brg,0.01
bts,0.01
buat,0.115
bukan,0.042
buku,0.01
bulan,0.01
bulanya,0.01
bungkus,0.01
buruk,0.021
cantik,0.021
capai,0.01
cara,0.01
cari,0.01
celaka,0.01
cemil,0.042
cepetan,0.01
cerita,0.021
chaerin,0.01
chanmi,0.01
chef,0.01
chen,0.01
chingus,0.01
cicil,0.01
cinta,0.021
cita,0.01
cnblue,0.021
coban,0.01
congratulation,0.021
cpns,0.01
cukup,0.021
dadak,0.01
dam,0.01
dapat,0.094
dapetnya,0.01
darah,0.01
dari,0.01
datang,0.01
deh,0.021
dek,0.042
dekat,0.01
dengan,0.021
dengar,0.01
dengki,0.01
depan,0.01
depresi,0.01
di,0.01
dia,0.01
dibocorin,0.01
dibuly,0.01
dih,0.01
dijulidin,0.01
dila,0.01
dilangkahin,0.01
dinas,0.01
dinebul,0.01
dingatkan,0.01
dinget,0.01
dingin,0.01
dipakein,0.01
disi,0.01
ditanyain,0.01
ditunjukin,0.01
diturunin,0.01
dokter,0.01
donat,0.01
dong,0.031
donyo,0.01
drama,0.01
dua,0.01
dudu,0.01
duka,0.01
dukung,0.01
dulu,0.031
duluan,0.01
dunia,0.01
efek,0.01
efisien,0.01
eh,0.031
elakok,0.01
enak,0.052
energi,0.01
exol,0.042
eyeliner,0.01
fandom,0.01
fanwar,0.01
film,0.01
fnc,0.031
foto,0.021
galak,0.021
gantin,0.01
gaya,0.01
gebres,0.042
gejolak,0.01
genk,0.01
ger,0.01
geser,0.01
getting,0.01
gigi,0.01
gin,0.084
gliyer,0.01
goguma,0.01
golek,0.01
goreng,0.021
gugup,0.031
guru,0.021
habis,0.021
hadiah,0.01
hadir,0.01
hai,0.073
hak,0.01
halah,0.01
hamish,0.01
hampers,0.01
harap,0.01
hari,0.063
harus,0.031
hati,0.042
hawane,0.01
henti,0.021
hidup,0.031
hobi,0.01
hormat,0.01
hubung,0.021
ibadan,0.01
ibu,0.063
ih,0.021
ikan,0.01
ikut,0.021
imbang,0.01
imut,0.01
in,0.021
indonesia,0.01
induk,0.031
ingat,0.021
ini,0.105
instagram,0.01
insya,0.021
int,0.01
iri,0.01
istirahat,0.01
itu,0.136
iya,0.126
izin,0.021
jadi,0.262
jahit,0.01
jail,0.01
jalan,0.021
jam,0.01
jamin,0.01
janah,0.01
jantung,0.01
jarak,0.01
jari,0.01
jatim,0.01
jauh,0.042
jawab,0.01
jelas,0.021
jengkol,0.01
jepan,0.021
jik,0.021
johnsons,0.01
jual,0.01
juga,0.01
jumlah,0.021
jung,0.01
kabar,0.01
kaki,0.01
kalau,0.167
kalem,0.01
kali,0.01
kambing,0.021
kan,0.042
kantor,0.01
karena,0.01
karir,0.01
karuan,0.01
kata,0.021
kayak,0.031
kayan,0.021
kbs,0.01
kecil,0.021
kejengklak,0.01
kejut,0.042
kelabang,0.01
kelas,0.031
keluar,0.021
keluarga,0.021
keluh,0.01
kembali,0.021
ken,0.021
kenal,0.01
kenapa,0.105
kendangaken,0.01
kepriye,0.01
keris,0.01
kerja,0.01
kerupuk,0.01
ketawa,0.01
ketemu,0.021
ketika,0.01
ki,0.01
kilat,0.01
kirim,0.021
klub,0.01
knetz,0.021
koe,0.01
komplit,0.01
kontainer,0.01
kontrak,0.01
kontrol,0.01
koperasi,0.01
korban,0.01
koreksi,0.01
kota,0.021
krystal,0.01
kualitas,0.01
kuat,0.031
kue,0.01
kui,0.01
kuliah,0.01
kumat,0.01
kursus,0.01
lagu,0.01
lah,0.031
lahir,0.01
laki,0.063
laku,0.01
lama,0.031
lampu,0.021
lancar,0.042
langsung,0.042
lanjutin,0.01
larang,0.021
lari,0.021
lawan,0.01
lebih,0.052
lebur,0.01
lengan,0.01
lhkw,0.01
lho,0.021
lightstick,0.01
lihat,0.031
lindung,0.01
ll,0.01
lokal,0.01
lomba,0.01
louder,0.01
lucu,0.01
lumayan,0.01
lupa,0.01
luwe,0.01
maaf,0.01
macak,0.01
magrib,0.021
mak,0.01
makane,0.01
malah,0.052
malas,0.01
mamam,0.01
mana,0.031
mandi,0.01
mandra,0.01
mangan,0.01
mangil,0.01
mantap,0.01
mapin,0.01
mari,0.01
mario,0.01
masa,0.031
masak,0.021
masalah,0.021
masing,0.01
masuk,0.021
mata,0.01
matang,0.01
mati,0.042
mau,0.073
maurer,0.01
mbo,0.01
media,0.01
memang,0.042
menang,0.021
meni,0.01
menikah,0.01
menit,0.01
mentah,0.01
mereka,0.021
mergo,0.01
mesti,0.01
mga,0.01
mgkn,0.01
mie,0.021
mieayam,0.01
mieayamku,0.01
milik,0.021
mimpi,0.01
mindrip,0.01
minhyuk,0.01
minta,0.021
minyak,0.01
mr,0.01
muda,0.01
muka,0.01
mulai,0.021
muncul,0.01
murid,0.01
musuh,0.01
mygsari,0.01
nada,0.021
nafas,0.01
nama,0.01
nang,0.021
nasi,0.01
nate,0.01
ndang,0.031
ndlesep,0.01
ne,0.01
nebulizer,0.01
neh,0.021
