term,weight
ada,0.117
adab,0.031
adalah,0.016
adopsi,0.008
aduh,0.008
agama,0.008
agar,0.016
ah,0.047
ahmad,0.008
aidzib,0.008
ajak,0.008
akan,0.008
akbar,0.016
akhir,0.039
akhlak,0.008
alas,0.008
alelo,0.008
alhasil,0.008
alias,0.008
alohu,0.008
alykazahara,0.008
ambil,0.008
ambivalensi,0.016
amin,0.008
ampun,0.047
an,0.008
anak,0.023
anda,0.226
angin,0.008
angkasa,0.016
antisosial,0.008
anut,0.008
apa,0.21
april,0.016
arah,0.008
arak,0.008
asik,0.016
asing,0.016
asyik,0.008
atas,0.008
atulah,0.008
auah,0.008
awal,0.008
awas,0.023
awet,0.008
awetanya,0.008
ayah,0.008
ayan,0.008
ayo,0.07
babat,0.008
baca,0.016
bacan,0.008
badai,0.008
bagai,0.008
bagaimana,0.023
bagi,0.008
bagus,0.023
bahagia,0.008
bahan,0.008
bahas,0.023
bahasa,0.008
baik,0.055
bak,0.016
balada,0.008
balas,0.023
balik,0.031
balon,0.008
bandel,0.016
bandung,0.008
bangga,0.008
bangun,0.008
bangunin,0.008
banyak,0.047
bapak,0.016
bar,0.008
bareng,0.008
baru,0.07
bau,0.008
bawa,0.031
bawah,0.008
bayar,0.008
bayi,0.008
bct,0.008
bdmt,0.008
bebas,0.008
beberapa,0.016
beda,0.008
bedak,0.008
bege,0.008
begini,0.008
begitu,0.008
bekas,0.016
belepotan,0.008
beli,0.031
bengu,0.008
beranda,0.008
beruang,0.008
besar,0.008
besok,0.008
betul,0.008
biadab,0.008
biasa,0.008
bibir,0.008
bicara,0.023
bidang,0.008
bilang,0.016
bilangin,0.016
bilayk,0.008
bilur,0.008
bintik,0.016
bisa,0.062
blaster,0.008
blasteranya,0.008
bodoh,0.039
boleh,0.008
bom,0.07
boro,0.016
bosan,0.016
bruno,0.016
buah,0.023
buana,0.008
buang,0.008
buat,0.179
budak,0.008
buka,0.023
bukan,0.023
buku,0.023
bulan,0.008
bulet,0.008
buli,0.016
bumi,0.008
buna,0.008
bunda,0.016
buruk,0.008
ca,0.031
cakep,0.008
capaldi,0.008
cari,0.008
casting,0.008
catat,0.023
cemil,0.023
cepat,0.023
cerita,0.008
checkout,0.008
cie,0.008
cih,0.016
cina,0.008
cinta,0.016
cipta,0.008
citayem,0.008
coba,0.047
coco,0.008
coklat,0.008
congratulations,0.008
cuci,0.008
cukup,0.039
cuma,0.039
da,0.008
dakjal,0.016
dan,0.008
dapat,0.016
darah,0.008
dari,0.008
darimana,0.008
dasar,0.008
dati,0.008
daur,0.008
deadline,0.008
debu,0.008
deep,0.008
deh,0.039
dengar,0.008
depan,0.016
deposito,0.008
deterjen,0.008
di,0.016
dia,0.008
diam,0.031
dibangunin,0.008
dibilangin,0.008
diciputat,0.008
digituin,0.008
dihandap,0.008
dikatain,0.008
dikemanain,0.008
dikit,0.008
diliburin,0.008
dimarahin,0.008
dinding,0.008
dini,0.008
dior,0.008
dirapetin,0.008
diri,0.031
diridhai,0.008
diwc,0.008
doang,0.031
dong,0.086
dora,0.008
duar,0.008
dulu,0.039
duluan,0.008
dunia,0.008
ego,0.008
eh,0.086
ekosistem,0.008
elah,0.008
elegi,0.008
else,0.008
emas,0.016
emengna,0.008
emosi,0.016
enak,0.016
enakeun,0.008
enek,0.008
engkau,0.008
exo,0.016
facial,0.008
fatamorgana,0.008
filantropi,0.008
film,0.008
foreo,0.008
foto,0.016
fotokopi,0.008
fst,0.008
gaberenti,0.008
gadang,0.008
gadimana,0.008
gaduh,0.008
gagal,0.016
gaje,0.008
galiat,0.016
galucu,0.008
gambar,0.016
gamebot,0.008
gamenya,0.008
ganemu,0.008
gangerti,0.016
ganti,0.008
gantung,0.008
gara,0.016
gasalah,0.008
gasik,0.008
gaya,0.008
gc,0.008
gebug,0.008
gelap,0.016
gelebug,0.008
gemas,0.008
gigi,0.008
gila,0.016
gin,0.055
gipewey,0.008
gjls,0.008
goa,0.382
gusi,0.008
habis,0.023
