term,weight
abur,0.006
ada,0.019
adalah,0.063
adegan,0.006
aduh,0.006
agar,0.013
ah,0.025
airmata,0.006
ajak,0.013
ajar,0.006
akan,0.025
akhir,0.013
akrab,0.006
akun,0.006
alias,0.006
alibi,0.006
ambil,0.019
amin,0.006
an,0.025
anak,0.013
anda,0.114
aneh,0.013
angep,0.006
anyink,0.013
anymore,0.006
aowkaowkwk,0.006
ap,0.019
apa,0.114
apalg,0.006
api,0.006
appreciate,0.006
april,0.006
apsi,0.006
asa,0.006
asal,0.006
asing,0.006
astaga,0.006
atas,0.013
atau,0.006
attractive,0.006
awal,0.006
ay,0.025
ayam,0.006
ayank,0.006
baca,0.025
bagaimana,0.019
bagus,0.006
bagusab,0.006
bahan,0.006
bahasa,0.006
bahkan,0.025
baik,0.057
bajing,0.013
balas,0.025
balik,0.006
bantu,0.006
banyak,0.013
bapak,0.006
baru,0.013
bawa,0.019
bc,0.006
bcs,0.006
bd,0.006
beda,0.013
begini,0.019
begitu,0.025
belakang,0.006
beli,0.013
belum,0.032
benang,0.019
benar,0.013
benci,0.038
benda,0.013
berapa,0.006
berita,0.013
beside,0.006
besok,0.006
biadab,0.019
bias,0.006
bicara,0.013
bilang,0.019
bindo,0.006
bintang,0.006
bisa,0.032
bkl,0.013
bknya,0.006
blez,0.006
bli,0.013
blio,0.006
blkg,0.006
bnr,0.025
bnrn,0.006
bodoamat,0.006
bodoh,0.013
bohong,0.006
br,0.032
brani,0.006
buat,0.051
bubuk,0.006
buka,0.013
bukan,0.019
bukti,0.006
buktin,0.006
bulan,0.019
bunuh,0.006
cabay,0.006
cal,0.013
cangkir,0.025
cantik,0.006
cara,0.006
cari,0.006
cemas,0.006
cerdas,0.006
cerita,0.006
ceurik,0.006
chal,0.006
cicil,0.006
cih,0.006
cinta,0.019
classy,0.006
clu,0.006
coba,0.013
couldn,0.006
cptan,0.006
creepy,0.006
cuih,0.006
cukup,0.013
cuma,0.044
daftar,0.006
dalam,0.006
dampak,0.006
dan,0.051
dapat,0.019
darah,0.006
dari,0.057
daripada,0.006
datang,0.006
debat,0.006
definitely,0.006
deh,0.006
dekat,0.019
dengan,0.013
dengar,0.006
dengki,0.006
depan,0.006
desa,0.006
dgrin,0.013
di,0.038
dia,0.006
dibutuhin,0.006
dikunya,0.006
dimana,0.013
dinda,0.006
dinget,0.013
diri,0.006
diselipin,0.006
doank,0.025
doesn,0.006
doing,0.032
dong,0.006
downgrade,0.006
drmn,0.006
dua,0.006
dulu,0.051
dulukan,0.006
dunia,0.025
during,0.006
editin,0.006
effortless,0.006
ego,0.006
eh,0.006
eja,0.013
ekspresi,0.006
em,0.006
emas,0.025
emot,0.006
enak,0.006
enek,0.006
energi,0.013
episode,0.006
exfoliator,0.006
fadilah,0.006
fakgurl,0.006
fast,0.006
favorit,0.006
fgd,0.006
fip,0.006
flis,0.013
flish,0.006
flowers,0.006
fmipa,0.006
foto,0.006
freaking,0.006
gadis,0.006
gaenak,0.019
gairah,0.006
gajah,0.025
gakaruan,0.006
gakeliatan,0.006
gakuat,0.013
galucu,0.006
gambar,0.006
gangerti,0.013
ganti,0.013
gaperna,0.006
gas,0.006
gbkl,0.006
gedung,0.006
geli,0.019
gelik,0.006
gemeteran,0.006
gemini,0.006
gendo,0.006
geter,0.006
gih,0.006
gila,0.006
gin,0.044
gjls,0.006
gngerti,0.006
goa,0.025
godgod,0.006
goodbyes,0.006
goreng,0.006
gosan,0.006
gpk,0.006
gtgt,0.006
gugup,0.006
habis,0.019
hai,0.013
halusinasi,0.006
hamba,0.006
hambar,0.006
hambur,0.006
hangat,0.006
hanya,0.032
harap,0.025
harga,0.006
hari,0.019
haru,0.013
harus,0.019
hasil,0.006
hati,0.019
hatjep,0.006
hayang,0.006
henti,0.006
heran,0.006
hewan,0.025
hidup,0.006
hija,0.006
hilang,0.013
his,0.006
hobi,0.006
hormat,0.013
horor,0.006
hotel,0.006
hrsnya,0.006
ibu,0.038
igstory,0.006
ijah,0.006
ikut,0.032
ikuti,0.006
in,0.025
informasi,0.006
ingat,0.019
ingin,0.044
ini,0.032
instagram,0.006
inti,0.006
introduce,0.006
ish,0.006
isi,0.006
istirahat,0.006
item,0.013
itu,0.171
ive,0.013
iya,0.025
iyah,0.006
jadi,0.095
jakarta,0.006
jalan,0.013
jam,0.006
jari,0.013
jauh,0.006
jawa,0.013
jawab,0.013
jika,0.006
jm,0.006
jokes,0.006
jono,0.006
jrx,0.006
juga,0.07
jujur,0.019
jumat,0.006
june,0.006
jvleha,0.006
kabarin,0.006
kaca,0.006
kaesang,0.006
kaki,0.006
kalah,0.006
kalau,0.152
kali,0.019
kalimat,0.006
kamera,0.006
kan,0.044
kane,0.006
kapan,0.006
karakter,0.006
karena,0.089
kasi,0.013
kasih,0.013
kasus,0.006
kata,0.006
kayak,0.006
keceng,0.006
kecewa,0.006
kelas,0.006
kelelawar,0.006
keluar,0.013
kemarin,0.006
kembali,0.013
kena,0.006
kenal,0.019
kenapa,0.063
kepala,0.006
keputusanya,0.006
keren,0.013
kerja,0.006
kes,0.006
kesal,0.019
ketawa,0.013
ketemu,0.006
ketika,0.013
khusus,0.006
ki,0.013
kira,0.006
kirimin,0.006
kisah,0.006
kmrin,0.006
kolektor,0.006
koneng,0.006
kontak,0.006
konyol,0.006
koper,0.006
koret,0.006
korup,0.013
korupsi,0.006
kos,0.006
ksl,0.013
kuasa,0.006
kuat,0.013
kucing,0.006
kuliah,0.006
kulit,0.025
kunci,0.006
kurang,0.013
ladge,0.006
lagi,0.051
lagu,0.013
lah,0.032
lain,0.006
laki,0.032
lakuin,0.006
lali,0.006
lama,0.025
lampu,0.006
langsung,0.006
lanjutanya,0.006
lapar,0.006
lawan,0.019
lawas,0.013
lebaran,0.013
lebih,0.013
lelah,0.006
lesgo,0.006
lewat,0.013
libor,0.006
libur,0.013
lihat,0.076
lindung,0.006
lipat,0.006
lirik,0.006
lov,0.019
luh,0.006
lukis,0.006
lulus,0.006
lupa,0.025
mahal,0.013
mak,0.013
makanya,0.013
makas,0.013
makin,0.006
malam,0.006
malas,0.013
mana,0.013
mantap,0.006
manusia,0.006
marah,0.006
masa,0.006
masak,0.006
masalah,0.006
masih,0.025
masker,0.006
masuk,0.006
masup,0.006
masx,0.006
mati,0.019
matin,0.006
mau,0.076
mav,0.006
mbanya,0.006
memang,0.032
mempan,0.006
menang,0.019
meni,0.006
mentah,0.013
merah,0.006
mereka,0.025
mers,0.006
mg,0.006
mie,0.019
mikirnya,0.006
minggu,0.019
mirip,0.006
mksdnya,0.013
mnt,0.006
modar,0.006
morgan,0.013
motor,0.006
msk,0.006
mual,0.006
muka,0.006
mungkin,0.006
murah,0.006
mw,0.019
na,0.025
nad,0.006
naik,0.006
nang,0.019
nanganin,0.006
nanges,0.006
nasional,0.006
nasip,0.006
natural,0.006
nawaitu,0.006
nbt,0.006
nd,0.006
negatif,0.006
neraka,0.019
ngabales,0.006
ngabisa,0.006
ngacangin,0.006
ngadak,0.006
ngechat,0.006
ngehargai,0.006
ngelakuin,0.006
ngereply,0.006
ngestalk,0.006
ngetik,0.006
ngetranslet,0.006
ngira,0.006
ngiranya,0.006
ngis,0.006
nguras,0.006
nilai,0.006
ninja,0.006
normal,0.013
notif,0.006
nt,0.025
nur,0.013
nya,0.006
nyala,0.013
nyaman,0.006
nyangkut,0.006
nyaris,0.006
nyata,0.025
ob,0.006
obrol,0.019
ojek,0.006
online,0.006
oper,0.006
orang,0.057
oren,0.006
pacar,0.013
pada,0.025
padahal,0.013
paham,0.019
pakai,0.013
pala,0.006
paling,0.019
palsu,0.006
panik,0.006
panjang,0.006
pantar,0.006
pantas,0.006
parents,0.006
parkir,0.013
parno,0.013
password,0.006
pdg,0.013
peacefully,0.006
peluk,0.006
pena,0.006
pengecualianya,0.006
penjara,0.006
peras,0.006
percaya,0.006
peri,0.006
perintah,0.006
periode,0.006
perkara,0.006
pernah,0.051
pertama,0.006
pesta,0.013
pewe,0.006
phising,0.006
pikir,0.051
pinjam,0.006
pk,0.006
poinya,0.006
posenk,0.006
povnya,0.006
pribadi,0.006
pribadiw,0.006
produksi,0.013
properly,0.006
puaseu,0.006
puebi,0.006
pulang,0.013
pun,0.006
punchlinenya,0.006
punya,0.044
pura,0.013
pusing,0.019
putih,0.006
raja,0.006
rasa,0.025
ratus,0.006
rawat,0.006
reaction,0.006
referensi,0.006
