term,weight
aa,0.009
ada,0.018
adan,0.009
adaptasi,0.009
adil,0.009
admin,0.018
adrianya,0.009
aduh,0.009
agar,0.018
air,0.009
ajak,0.009
ajar,0.027
akhir,0.045
akusi,0.009
alam,0.009
alaska,0.009
album,0.009
alumni,0.009
amas,0.009
ambil,0.027
anak,0.036
anan,0.009
anda,0.099
aneh,0.027
antek,0.009
anya,0.009
apa,0.081
apalg,0.018
apaqa,0.009
arik,0.009
arti,0.018
asep,0.027
asik,0.009
asli,0.018
atap,0.009
atas,0.018
atau,0.018
awokawok,0.018
ayah,0.009
ayo,0.018
babeh,0.018
baca,0.018
bagaimana,0.018
bagi,0.018
bagus,0.009
bahan,0.009
baik,0.045
baju,0.009
bakso,0.009
balada,0.009
balas,0.009
balik,0.009
bang,0.009
bangun,0.009
bank,0.009
banten,0.009
banya,0.009
banyak,0.009
banyakin,0.009
bapak,0.045
barakalah,0.009
baru,0.063
bawa,0.009
bawang,0.018
bayam,0.009
bearpath,0.009
bebas,0.009
beda,0.018
begini,0.009
begitu,0.045
begok,0.009
belah,0.009
beli,0.054
beliau,0.018
belum,0.027
benang,0.009
benar,0.054
benarkan,0.009
berani,0.009
bernienya,0.009
bersih,0.009
besar,0.018
besok,0.009
biadab,0.009
biang,0.027
biasa,0.027
bicara,0.009
bikinin,0.009
bilangin,0.009
binatang,0.009
bingo,0.009
bisa,0.045
bisnis,0.009
bknsi,0.009
bni,0.009
bodoh,0.009
bodyguardnya,0.009
bok,0.009
boleh,0.027
bolu,0.009
botol,0.018
buat,0.217
budak,0.009
buku,0.009
bunuh,0.009
butuh,0.009
cabai,0.027
cacing,0.009
cahaya,0.036
calon,0.009
cantik,0.009
cara,0.009
cari,0.027
cc,0.009
cemil,0.009
cengek,0.009
ceplos,0.018
cetaphil,0.009
chang,0.009
chatan,0.009
cinta,0.027
coba,0.09
cocok,0.018
coklat,0.009
condong,0.009
corona,0.018
cowony,0.009
crispy,0.036
cuma,0.027
cumi,0.009
dada,0.009
daging,0.009
dajal,0.009
dan,0.054
dari,0.036
dasar,0.009
daun,0.009
deh,0.027
dei,0.009
dengan,0.009
dengar,0.009
depan,0.009
di,0.027
dia,0.009
diam,0.009
didik,0.018
digital,0.009
dikit,0.009
dimasukin,0.009
dimenangin,0.009
dimsum,0.018
dipangil,0.009
diri,0.018
disini,0.009
doa,0.009
dom,0.009
dong,0.009
dorong,0.009
dosen,0.018
dpte,0.009
dram,0.009
drama,0.018
dua,0.009
duid,0.009
dulu,0.018
