term,weight
abidin,0.036
ada,0.036
adeknya,0.018
adit,0.036
admin,0.018
adoh,0.018
aerobik,0.018
agustus,0.018
ajak,0.073
akhir,0.036
alhail,0.018
alir,0.018
alit,0.018
aman,0.036
amatir,0.018
amernya,0.036
anak,0.055
anda,0.128
aneka,0.018
angkat,0.018
antangin,0.018
antar,0.018
anyar,0.018
apa,0.073
apen,0.018
april,0.018
arab,0.036
arsyad,0.018
asap,0.018
asifa,0.018
asin,0.018
astaga,0.036
atas,0.018
awal,0.018
awan,0.018
awk,0.018
awkmu,0.018
ayo,0.2
babarsari,0.018
bagaimana,0.018
bagi,0.018
bagianya,0.018
baik,0.036
bajing,0.018
balap,0.018
balek,0.018
balik,0.018
bang,0.018
bangsa,0.018
banting,0.018
banyak,0.018
bapak,0.073
baru,0.018
bawa,0.018
bayar,0.018
bebas,0.018
bela,0.018
belakang,0.018
beli,0.018
belum,0.018
ben,0.018
benar,0.036
beranda,0.018
berapa,0.036
berat,0.018
betapa,0.036
bicara,0.018
bimbel,0.018
bintang,0.018
bisa,0.055
bisik,0.018
bisnis,0.018
blimbing,0.018
blog,0.018
bluder,0.018
bodoh,0.018
bola,0.036
boleh,0.018
boso,0.018
brati,0.018
brownis,0.018
buat,0.055
bude,0.018
buka,0.018
bukalapak,0.018
bukan,0.036
bulan,0.036
burgernya,0.018
cak,0.018
canda,0.018
cemil,0.036
cenderung,0.018
cerewet,0.018
cerita,0.018
cicak,0.018
cinta,0.018
cmd,0.018
cok,0.036
coklat,0.018
corona,0.036
cp,0.018
crito,0.018
cuak,0.036
cuaks,0.018
cuk,0.018
culametan,0.036
cupang,0.018
cwaks,0.018
cyuk,0.018
dalgombes,0.018
damai,0.018
damang,0.018
dan,0.055
dana,0.018
dari,0.036
darthvader,0.018
dasar,0.036
desa,0.018
desember,0.018
dia,0.055
dibagin,0.018
didik,0.018
digrebek,0.018
dijak,0.018
dini,0.018
dit,0.036
doang,0.018
domba,0.018
dosen,0.018
dri,0.018
duyung,0.018
ecer,0.018
enak,0.018
enk,0.036
ente,0.018
fc,0.018
fisi,0.018
fisik,0.018
gadang,0.018
gaenak,0.018
gakuat,0.018
galang,0.018
gas,0.018
gedi,0.018
gemscol,0.018
ges,0.018
ghoib,0.018
gin,0.018
golek,0.018
greenfield,0.018
griya,0.018
grosir,0.018
gtuan,0.018
gugur,0.018
habis,0.036
haiyuk,0.018
hamba,0.018
harap,0.018
hari,0.055
harus,0.018
hati,0.055
hayo,0.018
heish,0.018
hikshiks,0.018
horoskop,0.018
ibu,0.018
idam,0.018
ikan,0.018
ikut,0.036
imam,0.036
in,0.018
ini,0.073
intel,0.018
inti,0.018
iring,0.018
istri,0.018
itu,0.055
iya,0.091
izroil,0.018
jackpot,0.018
jadi,0.036
jaga,0.018
jagung,0.018
jalan,0.018
jam,0.018
jamu,0.018
jantung,0.018
jare,0.018
jasa,0.036
jelajah,0.018
jinsho,0.018
jo,0.018
joko,0.018
ju,0.018
jual,0.036
judi,0.018
juga,0.055
jurig,0.018
kabupaten,0.018
kafir,0.036
kakean,0.018
kaki,0.036
kalau,0.036
kan,0.055
kancamu,0.018
kancane,0.018
kanker,0.018
kantung,0.036
kapan,0.018
karena,0.018
kata,0.018
kaum,0.018
kecap,0.018
kedip,0.018
kekar,0.018
kelas,0.018
kelinci,0.018
keluarga,0.018
kenapa,0.055
kenek,0.018
kera,0.018
kero,0.018
ki,0.055
kini,0.036
kira,0.018
kiwo,0.018
koleksi,0.018
kontrak,0.018
kopi,0.055
kota,0.018
kristen,0.018
krisyanto,0.018
kronis,0.018
ksono,0.018
kuasa,0.018
kucing,0.018
kuliner,0.018
kunci,0.018
kup,0.018
kurang,0.018
la,0.055
lagi,0.036
lagu,0.018
laki,0.182
lali,0.018
lama,0.055
lancar,0.018
languange,0.018
lanjut,0.018
lantai,0.018
lara,0.018
latih,0.018
laut,0.018
laylaylaylaylay,0.018
lebaran,0.036
lek,0.018
leptop,0.018
lihat,0.036
lipur,0.018
lirik,0.018
localpred,0.018
loh,0.073
lolos,0.018
