term,weight
ada,0.043
adalah,0.017
aduh,0.009
agar,0.009
agu,0.009
agustus,0.009
ah,0.017
ajar,0.017
ajig,0.009
aju,0.034
akhir,0.017
aktif,0.026
akun,0.009
alam,0.009
alas,0.009
album,0.017
aman,0.009
ambil,0.009
ambyar,0.017
ampun,0.009
anak,0.043
anda,0.103
angkut,0.009
anjibg,0.009
anzeng,0.009
apa,0.094
aplikasi,0.009
april,0.009
argh,0.009
asal,0.009
asli,0.009
asmoro,0.009
atas,0.009
atau,0.017
atetiba,0.009
atur,0.009
awal,0.009
ayam,0.009
ayik,0.009
babi,0.009
babik,0.009
baca,0.017
badut,0.009
baekhyun,0.009
bagaimana,0.026
bahagia,0.009
bahas,0.009
bahasa,0.017
bahkan,0.017
baik,0.026
bain,0.009
bajing,0.017
bakhyun,0.009
balas,0.017
balik,0.009
bang,0.026
banyak,0.06
baru,0.034
batalin,0.009
bawa,0.009
bawang,0.009
beda,0.009
begitu,0.077
bela,0.009
beli,0.017
benang,0.009
benar,0.034
bene,0.009
bentar,0.009
beranda,0.009
berapa,0.017
berlian,0.009
bersih,0.009
besar,0.017
biadab,0.034
bias,0.051
biaya,0.017
bicara,0.026
bigis,0.009
bilang,0.009
bimbing,0.009
bingung,0.009
biru,0.017
bisa,0.017
blackpink,0.017
bojo,0.009
broto,0.009
browser,0.017
buat,0.094
bubar,0.009
buka,0.034
bukan,0.06
bukandove,0.009
bulan,0.009
bungkus,0.009
bungsu,0.009
buruk,0.009
butuh,0.017
cabai,0.009
cantik,0.009
cara,0.009
catchy,0.009
cemil,0.026
cepat,0.009
ceramahin,0.009
cerewet,0.009
chen,0.017
chil,0.009
choco,0.009
cindy,0.009
cinta,0.009
coba,0.051
coca,0.009
cola,0.009
colab,0.009
cs,0.009
cuk,0.009
cukur,0.009
cuma,0.026
curiga,0.009
dafa,0.009
daff,0.009
daftar,0.009
daging,0.009
dalam,0.009
dan,0.009
dapat,0.009
dari,0.017
darimana,0.009
dat,0.009
dayung,0.009
deh,0.034
delete,0.009
dengan,0.026
dengar,0.026
dengernya,0.009
depan,0.017
desktop,0.009
di,0.009
dibiarin,0.009
didi,0.026
digiveaway,0.009
diladenin,0.009
dilisten,0.009
dingin,0.009
diri,0.009
doa,0.009
dong,0.085
dora,0.009
download,0.009
dua,0.009
duliu,0.009
dulu,0.017
duluan,0.009
dungtek,0.009
edit,0.009
editanya,0.009
eh,0.051
ehe,0.034
email,0.009
emas,0.009
emosi,0.009
enak,0.034
eunsang,0.009
exo,0.034
faktor,0.009
fase,0.009
fast,0.009
fitur,0.009
folder,0.009
foto,0.043
fucek,0.009
gadis,0.009
gagal,0.009
gambar,0.017
ganti,0.009
gantung,0.009
geli,0.009
gemas,0.009
gemoy,0.009
gila,0.009
gin,0.026
gitek,0.017
gituan,0.009
goeun,0.009
gojek,0.009
gosah,0.009
goyang,0.009
greget,0.009
gula,0.009
gutak,0.017
habis,0.043
hadap,0.009
haduh,0.009
haha,0.017
hai,0.026
halowen,0.009
hamil,0.009
hangyul,0.017
hapus,0.009
hari,0.017
harus,0.009
hati,0.009
helah,0.009
hendery,0.009
hidup,0.009
hilang,0.009
hitam,0.009
hitung,0.017
hng,0.009
host,0.009
hubung,0.009
hujan,0.009
humor,0.009
humoris,0.009
humorqyu,0.009
iat,0.009
ibu,0.043
iket,0.009
ikon,0.017
ikut,0.009
in,0.009
indah,0.017
indonya,0.009
indosat,0.017
ing,0.009
ingat,0.009
ingrisnya,0.009
ini,0.026
injir,0.009
instagram,0.017
inul,0.009
ira,0.009
isi,0.009
istilah,0.009
iswngnya,0.009
itu,0.12
iya,0.068
iyasih,0.009
jadi,0.179
jaga,0.009
jalan,0.017
jaman,0.009
jamanya,0.009
jari,0.017
jasa,0.009
jawab,0.009
jemari,0.009
jempol,0.009
jika,0.009
jiwa,0.009
jogdae,0.009
jorok,0.009
josh,0.009
judul,0.017
juga,0.026
jujur,0.009
jum,0.009
jumat,0.009
kabar,0.009
kaki,0.009
kala,0.009
kalau,0.231
kali,0.034
kalung,0.009
kan,0.043
kana,0.009
karena,0.017
kartu,0.009
kartun,0.009
kasar,0.009
kasih,0.009
kata,0.017
kategori,0.009
kayak,0.026
kecil,0.017
kejang,0.009
keluar,0.017
keluarga,0.026
kemarin,0.009
kempot,0.026
ken,0.085
kena,0.009
kenan,0.009
kenapa,0.043
keras,0.009
kesal,0.009
ketik,0.009
ketombe,0.009
kilau,0.009
kim,0.026
kiri,0.009
kirim,0.009
kndala,0.009
kode,0.009
konsep,0.009
kosong,0.009
kpop,0.009
kuad,0.009
kualitas,0.009
kuliah,0.009
kunci,0.009
kuntum,0.009
kurang,0.017
kwkwk,0.009
labil,0.009
lagi,0.009
lagia,0.009
lah,0.026
lahar,0.017
lain,0.026
laki,0.034
laku,0.009
lalu,0.009
lama,0.017
langsung,0.043
lari,0.017
lebih,0.017
legenda,0.009
