term,weight
abdinegara,0.008
actingnya,0.008
ada,0.074
adalah,0.016
admin,0.008
aduh,0.008
aelah,0.008
agar,0.016
agung,0.008
aidzin,0.008
ajak,0.008
ajar,0.008
aju,0.008
aka,0.008
akhir,0.049
aku,0.008
akustik,0.008
album,0.008
alih,0.008
alu,0.008
alur,0.008
alus,0.016
ambis,0.008
ampun,0.008
an,0.033
anak,0.074
anda,0.041
aneh,0.008
angin,0.008
angka,0.016
apa,0.09
apas,0.008
apaya,0.008
aqu,0.008
arcgis,0.008
arditho,0.008
arep,0.008
asah,0.008
asik,0.008
asin,0.008
asli,0.008
astaga,0.016
asw,0.008
asyiq,0.008
atas,0.033
awal,0.016
ayam,0.016
ayo,0.09
baca,0.016
badan,0.008
bagaimana,0.033
bagus,0.008
bahagia,0.008
bahkan,0.008
baik,0.041
bajing,0.033
balik,0.008
bandel,0.008
bangga,0.008
bangke,0.008
bangun,0.033
banyak,0.041
bapak,0.016
bar,0.008
barang,0.008
baru,0.058
bebas,0.008
bedua,0.008
begini,0.008
begitu,0.074
beli,0.016
benar,0.049
benci,0.008
bening,0.008
bentar,0.008
ber,0.008
berapa,0.008
berat,0.008
berita,0.008
berkat,0.008
besi,0.008
besok,0.016
beta,0.008
bibir,0.008
bilang,0.049
binatang,0.008
bisa,0.008
bodoh,0.033
bohong,0.008
boleh,0.025
bom,0.008
bosan,0.008
buah,0.008
buat,0.09
bubuk,0.016
bubur,0.008
budak,0.008
buka,0.008
bukan,0.041
bukber,0.016
buko,0.008
bulan,0.008
bumbu,0.008
buru,0.008
butuh,0.016
bwbyazh,0.008
cangkir,0.008
cantik,0.008
cemil,0.008
centong,0.008
cepat,0.016
cerita,0.008
ceweknha,0.008
cidro,0.008
cinta,0.033
cloy,0.008
cok,0.008
coklat,0.008
corona,0.008
cowonya,0.008
crepy,0.016
cuk,0.025
cuma,0.025
cuok,0.008
curious,0.008
cuti,0.008
da,0.008
dadi,0.016
daftar,0.008
dalah,0.008
dan,0.025
dapat,0.008
dar,0.008
dari,0.008
das,0.008
dasar,0.016
datang,0.016
deketin,0.008
del,0.008
dengan,0.008
dengar,0.008
derita,0.008
dewasa,0.008
di,0.025
diapain,0.016
dibenerin,0.008
dicobain,0.008
dih,0.008
dihargain,0.008
dihormatin,0.008
dikit,0.008
dikosan,0.008
dilema,0.016
dinyanyin,0.008
diruma,0.008
dis,0.008
disini,0.008
doang,0.008
dong,0.016
donlod,0.025
donlodnya,0.008
dora,0.008
dosen,0.016
drakok,0.008
drama,0.049
drtd,0.008
dulu,0.033
dunia,0.025
egois,0.016
eh,0.008
eid,0.008
enak,0.008
enek,0.016
episode,0.008
erti,0.008
etik,0.008
eun,0.016
everywhere,0.008
facial,0.008
fase,0.008
fills,0.008
fokus,0.008
format,0.008
foto,0.008
gadateng,0.008
gambar,0.008
game,0.025
ganti,0.008
gara,0.008
garisin,0.008
gas,0.041
gasabar,0.008
gemas,0.033
gembira,0.025
gently,0.008
geram,0.008
gila,0.016
gilas,0.008
gin,0.058
gitar,0.016
gosip,0.008
grabfod,0.008
gravitasi,0.008
grup,0.008
guede,0.008
habis,0.025
hadir,0.008
haduh,0.008
hahahahahah,0.008
hai,0.025
halaman,0.016
halamanya,0.008
hampir,0.008
hanya,0.025
hari,0.041
harus,0.008
hati,0.008
header,0.008
hebat,0.008
hello,0.008
henti,0.008
heran,0.016
hidup,0.008
hilang,0.016
hirup,0.008
hlah,0.008
hoo,0.008
hua,0.025
huhuhuhu,0.008
hui,0.008
hujan,0.008
humoris,0.008
ibu,0.016
idupnya,0.008
