term,weight
ada,0.027
adas,0.007
aduh,0.007
agar,0.007
ah,0.033
ajani,0.007
ajar,0.007
ajasi,0.007
akal,0.007
akan,0.013
akhir,0.007
akhlak,0.007
album,0.013
alfa,0.007
amin,0.007
amis,0.013
anak,0.027
anda,0.18
anggota,0.007
anime,0.007
anjal,0.007
anjeng,0.013
anjenglah,0.007
apa,0.06
apas,0.02
apeni,0.02
april,0.013
asal,0.007
astaga,0.007
astagfir,0.02
ayam,0.007
babysitters,0.007
baca,0.007
bagaimana,0.033
bahaya,0.007
bahkan,0.013
baik,0.033
bajing,0.08
baju,0.013
balesnya,0.007
balik,0.007
bambang,0.02
bambwang,0.013
bangsuy,0.04
bangun,0.027
banyak,0.007
bapak,0.047
baru,0.033
baseball,0.007
bau,0.007
bawa,0.02
bayar,0.007
bayi,0.007
beasiswa,0.007
bebi,0.007
beda,0.027
begitu,0.073
beh,0.007
bela,0.007
beli,0.013
belum,0.013
benar,0.027
bentar,0.007
bentukanya,0.007
besar,0.007
betesi,0.007
biadab,0.007
bibit,0.007
bicara,0.007
bik,0.007
bilang,0.013
bils,0.013
bisa,0.013
bisq,0.007
bodoh,0.007
boleh,0.007
bon,0.06
bona,0.013
bos,0.007
bram,0.007
buah,0.007
buat,0.1
bubar,0.007
budak,0.013
buka,0.013
bukan,0.013
bulan,0.007
butuh,0.007
cacat,0.007
cacing,0.013
cair,0.007
cakap,0.007
carbut,0.007
cari,0.013
cekcok,0.007
cemil,0.033
cerewet,0.007
cerita,0.007
ceritain,0.007
cerna,0.007
chargeran,0.007
chatnya,0.007
chenji,0.007
chenle,0.007
cici,0.007
cie,0.007
cinta,0.02
ciputat,0.007
cloy,0.007
coba,0.027
covidnya,0.007
cui,0.053
culik,0.02
cuma,0.02
curhatan,0.007
dalam,0.007
dapat,0.02
dar,0.013
dari,0.007
daripada,0.007
dasar,0.02
data,0.007
datengin,0.007
dedeh,0.007
definisi,0.007
deh,0.013
dehidrasi,0.007
dekat,0.013
denda,0.007
dengar,0.007
dewasa,0.007
di,0.007
diam,0.007
dianterin,0.007
didatengin,0.007
dih,0.013
dijadin,0.007
diketawain,0.007
diri,0.007
dis,0.007
ditolongin,0.007
ditunjukin,0.007
diw,0.007
doang,0.02
dosa,0.013
drama,0.02
dreamies,0.02
duid,0.007
dulu,0.027
eh,0.053
ehe,0.007
ekspresi,0.007
emangsi,0.007
emosi,0.027
enak,0.007
episode,0.02
fail,0.007
fakultas,0.007
fans,0.007
fi,0.007
fifin,0.007
film,0.02
foto,0.007
gabutuh,0.007
gais,0.013
gakenal,0.013
gaklah,0.007
gaksih,0.007
gakuad,0.007
gakuat,0.02
gakuen,0.007
game,0.007
gamenya,0.007
gangerti,0.013
gantung,0.007
garagara,0.007
garis,0.007
gas,0.007
gasangup,0.007
