term,weight
abs,0.005
actions,0.005
ada,0.005
adalah,0.016
adit,0.005
adite,0.005
admin,0.005
aduh,0.005
aegaubge,0.005
africa,0.005
agama,0.005
ah,0.031
ajar,0.016
akal,0.005
akan,0.016
akhir,0.016
akis,0.005
akun,0.005
al,0.037
alasan,0.005
algun,0.005
allah,0.031
ambil,0.005
ami,0.01
amin,0.068
ampun,0.016
anak,0.031
anastasya,0.005
ancam,0.005
anda,0.397
andinong,0.005
anjing,0.005
anonlah,0.005
anonya,0.005
antara,0.005
anywhere,0.005
apa,0.151
aqelo,0.005
arti,0.01
arumwdyani,0.005
asal,0.01
asam,0.005
asan,0.005
aseh,0.005
aselole,0.005
asik,0.005
ask,0.005
asri,0.005
aun,0.005
awal,0.01
awam,0.005
ayah,0.047
ayam,0.016
ayo,0.031
backntar,0.005
bada,0.005
bagaimana,0.037
bagi,0.005
bahagia,0.005
bahasa,0.005
baik,0.026
baju,0.005
balas,0.026
balesnya,0.005
balik,0.005
bandel,0.005
banyak,0.037
bareng,0.01
baru,0.078
batal,0.005
bayi,0.005
beberapa,0.005
begitu,0.016
bekas,0.005
belum,0.01
benar,0.016
benci,0.005
bentuk,0.005
berapa,0.021
berbi,0.005
berizik,0.005
besar,0.01
bianca,0.005
biasa,0.01
biggest,0.005
bilang,0.016
bintang,0.021
biru,0.005
bisa,0.042
bl,0.005
bodoh,0.005
bogor,0.016
bohong,0.01
bom,0.005
bonus,0.005
boong,0.01
bosan,0.005
brg,0.005
buah,0.005
buat,0.037
buka,0.021
bukan,0.037
bukit,0.005
bulan,0.01
bule,0.005
buru,0.005
buset,0.005
bwfe,0.005
bz,0.005
ca,0.01
cabai,0.01
cak,0.005
cantik,0.016
cara,0.016
carenth,0.026
cel,0.01
cela,0.026
celaka,0.005
cemes,0.005
cepat,0.01
cer,0.01
cerita,0.063
cewekcowok,0.005
chairmate,0.005
cholok,0.005
christinerchel,0.005
cie,0.016
cinta,0.021
cipeng,0.01
cipenk,0.026
cl,0.005
cla,0.01
clar,0.005
claresta,0.005
clarista,0.021
co,0.287
coba,0.01
cocok,0.005
comxotgsjs,0.005
concorde,0.005
concordenya,0.005
contoh,0.005
cuma,0.016
cuman,0.005
cw,0.005
cyn,0.005
da,0.005
dalam,0.01
dan,0.016
dapat,0.016
dapetin,0.005
