term,weight
abadi,0.006
ada,0.049
adalah,0.031
adegan,0.006
adeknya,0.006
admin,0.025
aduh,0.012
agak,0.006
agar,0.012
agung,0.012
ah,0.006
ahli,0.006
ahmad,0.006
aile,0.012
air,0.012
ajar,0.012
akal,0.006
akan,0.006
akhir,0.061
akhire,0.006
aksesoris,0.006
akua,0.006
akun,0.012
alam,0.006
alamat,0.012
alami,0.006
alas,0.006
album,0.018
allah,0.006
ambarawa,0.006
ambyar,0.006
ampun,0.012
an,0.006
anak,0.025
anane,0.006
anda,0.098
anggota,0.018
angkat,0.006
angkatane,0.006
antar,0.012
apa,0.117
apaqa,0.006
aplikasi,0.012
aqua,0.006
arem,0.006
arep,0.018
armada,0.006
arti,0.006
artis,0.012
asal,0.012
asin,0.006
asli,0.006
astaga,0.006
atas,0.025
atau,0.006
atlet,0.012
awak,0.018
awal,0.012
awesome,0.012
ayo,0.08
bab,0.006
baca,0.031
bagai,0.006
bagaimana,0.012
bagus,0.006
bahahaha,0.006
bahan,0.012
bahasa,0.006
baik,0.061
balen,0.006
baliho,0.006
balik,0.012
bam,0.006
bandara,0.025
bangsa,0.012
bantu,0.006
banyak,0.043
bapak,0.025
bar,0.006
barang,0.006
bareng,0.018
baru,0.061
basa,0.018
batas,0.025
baterai,0.006
batik,0.012
bau,0.012
bawa,0.012
bawain,0.006
bawang,0.006
bayang,0.006
bayar,0.006
beberapa,0.031
beda,0.012
begini,0.018
begitu,0.092
bejibun,0.006
belakang,0.006
belanja,0.006
beli,0.055
belum,0.012
ben,0.006
benar,0.055
bentar,0.006
bentuk,0.025
berani,0.006
bersih,0.006
besar,0.012
besok,0.018
betul,0.006
biarawati,0.006
bias,0.006
biasa,0.043
biases,0.012
bilang,0.037
billy,0.006
bim,0.006
bingung,0.006
bisa,0.055
bismillah,0.006
blekping,0.006
blusukan,0.006
bocahe,0.006
bosan,0.006
bouncy,0.006
brambang,0.006
brarti,0.012
btob,0.006
buat,0.117
buka,0.018
bukan,0.018
buku,0.006
