term,weight
aci,0.01
ada,0.076
admin,0.01
administrasi,0.01
aduh,0.029
agar,0.019
ajak,0.01
ajar,0.057
aka,0.01
akhir,0.067
alas,0.01
alias,0.01
aman,0.01
ambil,0.01
ambruk,0.01
amin,0.019
ampuh,0.01
ampun,0.01
an,0.019
anak,0.029
anamnesis,0.01
anda,0.057
aneh,0.01
anes,0.01
anestesi,0.038
antibiotik,0.019
anyageraldine,0.01
apa,0.143
apadaya,0.01
apadeh,0.01
arti,0.01
asal,0.01
asiklovir,0.01
asli,0.019
atas,0.01
atm,0.01
ayam,0.01
ayo,0.038
baca,0.019
bagaimana,0.019
bahan,0.01
baik,0.067
bakteri,0.019
balas,0.01
balik,0.029
bandung,0.01
bangun,0.01
bangunin,0.01
banjir,0.01
banyak,0.038
bapak,0.019
barakalah,0.01
barang,0.01
baru,0.029
batas,0.019
bawel,0.01
bayar,0.01
beberes,0.01
bedah,0.029
begitu,0.048
bekas,0.019
belanja,0.01
beli,0.019
belum,0.019
benang,0.01
benar,0.01
berat,0.01
beri,0.01
bersih,0.01
besok,0.01
betina,0.01
betul,0.01
biasa,0.029
bicara,0.01
bilang,0.01
bimbing,0.019
bisa,0.067
bismillah,0.01
bknya,0.01
bodoh,0.019
bonam,0.01
boong,0.01
bosan,0.01
bossy,0.01
br,0.01
brangkar,0.01
bruntusan,0.01
btul,0.01
buat,0.086
bubu,0.019
buka,0.019
bukan,0.01
buku,0.01
bulan,0.067
bunuh,0.01
buru,0.019
cacar,0.038
cacing,0.01
cahaya,0.01
cantik,0.01
cari,0.01
cegah,0.01
celana,0.01
cemil,0.029
cepat,0.038
cetirizin,0.01
ceu,0.01
cewenya,0.019
cfh,0.01
chindy,0.019
cisarua,0.019
cito,0.038
cnd,0.01
corona,0.048
craniotomi,0.01
cs,0.01
ctm,0.019
cuci,0.01
cuma,0.019
daftar,0.019
dahi,0.01
darah,0.01
darimana,0.01
daripada,0.01
dasar,0.01
daster,0.01
datang,0.019
deact,0.01
deadline,0.01
def,0.01
definisi,0.01
deh,0.029
del,0.01
deliv,0.01
demam,0.01
depan,0.01
di,0.048
dijelasin,0.01
dikorbanin,0.01
dikosan,0.019
diobgyn,0.01
diobjekin,0.01
diprivate,0.01
diretwet,0.01
diri,0.076
disnapgram,0.01
ditelfon,0.01
diwebsite,0.01
dna,0.01
doang,0.019
doc,0.01
dokter,0.067
dong,0.038
dorong,0.01
dosa,0.019
dot,0.01
dp,0.01
dt,0.01
duka,0.01
dulu,0.038
ec,0.019
egois,0.019
eh,0.01
eklamsi,0.01
elah,0.01
enak,0.01
eyak,0.01
fatma,0.01
firstlove,0.01
firstmedia,0.01
fredly,0.01
frik,0.01
fungsi,0.01
gabelajar,0.01
gaberasa,0.01
gacuma,0.01
gaiz,0.01
gakelar,0.01
gakemana,0.01
gaktu,0.01
gal,0.01
gambar,0.01
gamungkin,0.01
gangeliat,0.01
gangerti,0.01
ganggu,0.01
ganguan,0.057
ganguanya,0.01
ganti,0.01
gantung,0.01
garis,0.01
garuk,0.01
gasengaja,0.01
gatega,0.01
gategan,0.01
gatelnya,0.01
gaul,0.01
gece,0.01
gen,0.01
gesek,0.01
gin,0.029
gituan,0.01
gondok,0.01
greget,0.01
gugup,0.01
gugur,0.01
habis,0.01
hadir,0.01
hafal,0.01
hahahahahaha,0.01
hahahihi,0.01
hai,0.01
hampir,0.01
hanya,0.019
hari,0.162
hati,0.019
hebat,0.01
heran,0.029
hidup,0.01
hilang,0.01
hindar,0.01
hubung,0.01
humoris,0.019
ibu,0.057
ibuprofen,0.01
icu,0.01
idi,0.01
idola,0.01
ih,0.019
ikjun,0.01
ikut,0.019
ilmu,0.01
imesage,0.01
imesages,0.01
impulsif,0.029
in,0.01
indah,0.01
infeksi,0.01
