term,weight
acak,0.035
adalah,0.018
aduh,0.018
agam,0.018
agar,0.035
air,0.018
akal,0.018
akan,0.035
akh,0.018
akhir,0.018
akibate,0.018
akses,0.018
alas,0.018
alok,0.018
ambek,0.018
amin,0.035
an,0.053
anak,0.035
anda,0.23
antem,0.018
antisipasi,0.018
ao,0.018
apa,0.159
api,0.018
april,0.018
arah,0.018
arti,0.035
astaga,0.018
asw,0.018
atas,0.053
awkmu,0.018
ay,0.018
ayam,0.018
ayo,0.124
ayune,0.018
baca,0.035
badan,0.018
bagaimana,0.071
bagi,0.035
bahasa,0.018
bahkan,0.018
baik,0.053
bakar,0.035
balas,0.018
bange,0.018
bangun,0.018
banyak,0.053
barakalah,0.018
barang,0.018
baru,0.053
basah,0.018
batin,0.035
bawa,0.018
bayangne,0.018
begadang,0.018
begini,0.018
begitu,0.018
belaz,0.018
beli,0.035
benang,0.035
benar,0.018
benci,0.018
bendino,0.018
berapa,0.035
berat,0.018
berproges,0.018
betul,0.018
biasa,0.018
bisa,0.035
bngung,0.018
bodoh,0.018
bola,0.018
bosan,0.035
boso,0.018
bosque,0.018
bre,0.018
buang,0.018
buat,0.053
budaya,0.018
bukan,0.018
buku,0.018
bunyi,0.018
butuh,0.053
cangkruk,0.018
cara,0.071
cekel,0.018
cemil,0.053
cerca,0.018
chalkzone,0.018
cicil,0.018
cinta,0.018
ck,0.018
coba,0.018
cocok,0.035
curhat,0.018
dadi,0.018
dalam,0.018
dan,0.035
dapat,0.018
dapetnya,0.018
dari,0.053
daripada,0.035
dekat,0.018
dele,0.053
dengan,0.035
dengar,0.035
di,0.053
diare,0.018
dicepot,0.018
dih,0.018
dingin,0.018
diri,0.035
dngar,0.018
dong,0.035
doraemon,0.018
drama,0.018
dri,0.018
drivernya,0.018
duga,0.018
dulu,0.106
dungs,0.018
dunia,0.035
ehe,0.018
ejek,0.018
emboh,0.018
enak,0.018
enek,0.018
engk,0.018
engko,0.018
enom,0.018
entah,0.018
fi,0.018
film,0.018
fitri,0.018
fokus,0.018
gadis,0.018
gae,0.018
gamelan,0.018
ganti,0.018
gantung,0.018
gelas,0.018
gin,0.053
gituan,0.018
gives,0.018
gladi,0.018
goreng,0.035
gosip,0.018
gulir,0.018
gusti,0.035
hadedem,0.018
haga,0.018
hak,0.018
hampir,0.018
hari,0.035
harus,0.035
hawa,0.018
hayo,0.018
hidup,0.035
hijrah,0.018
hilang,0.035
hiya,0.053
horor,0.035
ibok,0.018
ibu,0.035
idul,0.018
ikuti,0.018
ilmu,0.018
in,0.053
indian,0.018
indonesia,0.035
ingat,0.035
ingin,0.035
ini,0.035
insom,0.018
isi,0.018
ismoy,0.018
iso,0.071
isuk,0.035
itu,0.089
iya,0.035
jadi,0.213
jakarta,0.018
jalan,0.035
jam,0.018
jaman,0.018
jari,0.018
jauh,0.035
jawa,0.018
jendela,0.035
jeneng,0.035
jeng,0.018
jimmy,0.018
jnck,0.018
jorokin,0.018
jos,0.018
juga,0.053
kaba,0.018
kacau,0.018
kaci,0.018
kadang,0.035
kae,0.018
kaki,0.018
kalah,0.018
kalau,0.124
kali,0.035
kalik,0.018
kan,0.018
kanak,0.035
karena,0.035
kartu,0.018
kata,0.035
kayak,0.035
kebahagianq,0.018
kecil,0.018
kelas,0.018
kelompok,0.018
keluar,0.018
keluarga,0.018
kemampleng,0.018
kembali,0.018
kemping,0.018
ken,0.089
kenal,0.018
kenapa,0.124
keri,0.018
kerja,0.018
ketawa,0.018
khayal,0.018
ki,0.018
kipasin,0.018
kisihin,0.018
kita,0.018
koplo,0.018
koploin,0.035
kro,0.018
kucing,0.018
kulo,0.018
kumpul,0.018
kunci,0.018
kunjung,0.018
kyok,0.018
labirin,0.018
lagi,0.035
lagu,0.053
lahir,0.035
laki,0.053
lalap,0.018
lama,0.018
lambat,0.018
