term,weight
acak,0.007
ada,0.033
adalah,0.007
adan,0.007
adeknya,0.013
ades,0.007
admin,0.02
agar,0.013
ah,0.013
air,0.013
ajak,0.013
ajar,0.007
akan,0.033
akhir,0.026
akhlak,0.013
akun,0.007
akusih,0.007
aljabar,0.007
aloha,0.007
alumni,0.007
alur,0.007
aman,0.007
ambil,0.013
amidis,0.007
amin,0.007
anak,0.039
analisis,0.007
anda,0.104
andrea,0.007
aneh,0.007
angsur,0.007
angurin,0.007
anteng,0.007
antisosial,0.007
anyeonghaseyo,0.007
apa,0.144
apain,0.007
apaka,0.007
apas,0.013
arti,0.02
asal,0.007
astaga,0.007
atau,0.007
awal,0.013
ayo,0.02
baca,0.02
bada,0.007
baduk,0.007
bagai,0.013
bagaimana,0.026
bagus,0.007
baik,0.039
bako,0.007
bakso,0.026
balas,0.059
balesnya,0.007
balik,0.033
balsem,0.007
balsemnya,0.007
balur,0.007
balut,0.007
bandung,0.007
bangga,0.007
banjir,0.007
banteng,0.007
bantu,0.013
banyak,0.052
bapak,0.039
bar,0.013
bareng,0.007
baru,0.065
batin,0.013
bawa,0.007
bawang,0.007
bayang,0.007
bayangin,0.007
bayar,0.013
beberapa,0.013
beda,0.026
begini,0.046
begitu,0.078
belaga,0.007
belah,0.007
belakang,0.013
beli,0.039
belum,0.007
belut,0.007
belyna,0.007
benang,0.007
benar,0.085
benci,0.013
benowo,0.007
bentar,0.013
bentuk,0.007
beranda,0.007
berapa,0.007
beras,0.007
beri,0.007
berisik,0.007
berkah,0.007
besar,0.033
biadab,0.007
biarin,0.013
biarpun,0.007
biasa,0.013
bicara,0.026
bijak,0.007
bilang,0.026
bingung,0.007
bioskop,0.007
bisa,0.046
blabla,0.007
blokir,0.007
blokiranya,0.007
bo,0.013
bola,0.007
boleh,0.007
bom,0.02
botol,0.007
boyfie,0.007
brilian,0.007
buang,0.02
buat,0.098
bubuk,0.007
budaya,0.02
buka,0.02
bukan,0.026
bule,0.02
bulu,0.007
bumbuin,0.013
burung,0.007
buset,0.007
butuh,0.02
buyut,0.007
cabai,0.007
cakep,0.013
cakra,0.007
campur,0.007
canda,0.007
cara,0.013
cay,0.013
cemil,0.033
cepat,0.026
cerita,0.033
cewenya,0.007
chating,0.007
chatnya,0.007
cinta,0.013
cium,0.007
cjma,0.007
coba,0.007
congrats,0.007
corona,0.007
coveranya,0.007
cubanget,0.007
cubit,0.007
cuci,0.013
cuma,0.065
curhat,0.02
curiga,0.007
dada,0.007
daftar,0.033
daging,0.013
dalam,0.02
dapat,0.013
dapetin,0.007
darah,0.013
dari,0.013
dasar,0.007
datang,0.007
debat,0.007
deh,0.052
dekat,0.007
deng,0.007
dengan,0.007
dengar,0.013
deok,0.026
depa,0.02
depan,0.013
deras,0.007
dewasa,0.007
di,0.013
dia,0.039
dialog,0.007
dichat,0.007
dicurhatin,0.013
didenger,0.007
digangu,0.007
digigitin,0.007
dijelasin,0.007
dikatain,0.013
dikit,0.007
diliatin,0.007
dimandin,0.007
dimarahin,0.007
dinda,0.007
dipangil,0.007
direstart,0.007
diri,0.007
disalahin,0.007
disaranin,0.007
disautin,0.007
disi,0.007
diskusi,0.007
diskusin,0.007
disuport,0.007
ditanyain,0.007
ditempatin,0.007
doang,0.085
doesn,0.013
dokter,0.007
dong,0.026
download,0.007
doyan,0.013
drama,0.039
dua,0.007
dulu,0.065
dunia,0.007
eb,0.007
ega,0.007
eh,0.007
ekor,0.007
ekspetasi,0.007
elus,0.007
emaknya,0.007
emas,0.013
emoji,0.007
emosi,0.007
enak,0.052
episode,0.085
eror,0.007
favorit,0.007
fitri,0.02
foto,0.02
gaban,0.007
gabetah,0.007
gacocok,0.007
gaenak,0.007
galon,0.007
gambar,0.007
gandeng,0.007
gapenting,0.007
garagara,0.007
garela,0.007
gatal,0.026
gataulah,0.007
gaul,0.007
gausa,0.007
gaya,0.007
gelombang,0.007
gemas,0.026
gemesh,0.013
gempa,0.007
ghibah,0.007
gila,0.02
gilir,0.007
gils,0.007
gin,0.013
godtama,0.007
goreng,0.013
gores,0.007
gosip,0.007
gratis,0.007
grup,0.007
gusi,0.007
habis,0.026
hadiah,0.007
hadir,0.007
hai,0.02
halaman,0.007
halang,0.007
hampers,0.02
hampir,0.013
hancur,0.007
hangat,0.013
hanya,0.007
harga,0.007
hari,0.026
harus,0.033
hasil,0.007
hastagnya,0.007
hati,0.013
healingnya,0.013
hela,0.007
henti,0.007
hidup,0.026
hijau,0.007
hilang,0.007
himalaya,0.007
hina,0.013
hitung,0.013
hormat,0.007
hubung,0.007
hubunganya,0.007
hujan,0.007
humoris,0.007
hwa,0.013
hwan,0.007
ibu,0.039
idul,0.02
ih,0.007
ik,0.007
ikhlas,0.007
ikuti,0.007
indonesia,0.007
ingetin,0.007
ingetnya,0.007
ingin,0.007
ini,0.026
instagram,0.007
instrumen,0.013
intan,0.007
inti,0.007
isi,0.007
istighfar,0.007
item,0.007
itu,0.059
itutuh,0.007
iya,0.039
jadi,0.104
jaksa,0.007
jalan,0.02
jam,0.033
jarang,0.007
jari,0.026
jaring,0.007
jauh,0.013
jawa,0.013
jelas,0.039
jeruk,0.007
jt,0.007
ju,0.02
jual,0.013
juga,0.007
jun,0.007
jung,0.007
kadang,0.007
kakek,0.007
kaki,0.007
kalau,0.196
kali,0.013
kalian,0.026
kamar,0.007
kan,0.039
kapal,0.007
kapan,0.033
kapok,0.007
karaoke,0.007
karena,0.059
kartu,0.013
karya,0.007
kasi,0.033
kasih,0.007
kasur,0.007
kata,0.013
ke,0.007
kecap,0.007
kecil,0.013
kelanjutanya,0.007
kelapa,0.007
kelas,0.013
keluarga,0.013
kemeja,0.007
kemudian,0.007
kemungkinanya,0.007
ken,0.033
kena,0.007
kenang,0.007
kenapa,0.046
kenapasih,0.007
kenya,0.007
kepsek,0.007
keren,0.02
ketawa,0.007
ketemu,0.007
kewuh,0.007
khurafat,0.007
kilas,0.007
kim,0.007
kimbab,0.007
kira,0.007
kirana,0.007
klinis,0.013
kn,0.007
koma,0.013
komedian,0.007
komentar,0.026
komentarin,0.007
komplek,0.007
kon,0.007
kondisi,0.007
konsumsi,0.007
kontrol,0.007
korea,0.033
kos,0.007
kosnya,0.007
kosong,0.007
kriuk,0.013
kuasa,0.007
kuat,0.007
kucing,0.039
kuitung,0.007
kumpul,0.007
kunyah,0.007
kuping,0.013
kura,0.013
kurang,0.013
kusut,0.007
lagu,0.046
lah,0.026
lahir,0.013
lain,0.007
laki,0.072
lama,0.026
lampir,0.007
lampiranya,0.007
lampu,0.007
langsung,0.013
lanjut,0.007
lapar,0.007
