term,weight
ada,0.118
adeknya,0.02
aduh,0.079
ah,0.02
air,0.02
akhir,0.02
alfa,0.02
alisna,0.02
amjinc,0.02
anak,0.02
anda,0.059
anja,0.02
apa,0.039
apani,0.02
astaga,0.02
asw,0.02
atas,0.02
avanya,0.02
avatar,0.02
ayo,0.039
bagaimana,0.02
bagus,0.059
baik,0.118
bajing,0.039
balas,0.039
bangga,0.02
banjir,0.039
banyak,0.039
bapak,0.02
baru,0.02
bawa,0.039
bayi,0.039
bayik,0.02
bd,0.02
bebek,0.02
beda,0.039
bedak,0.039
begini,0.039
begitu,0.079
beli,0.02
benar,0.118
bengkoang,0.02
besar,0.039
betapa,0.02
biadab,0.02
biasa,0.039
bicara,0.02
bilang,0.02
bisa,0.118
blnj,0.02
blsnya,0.02
bodoh,0.02
boneka,0.02
brngan,0.02
buat,0.118
buaya,0.02
bubu,0.02
bukan,0.02
bulan,0.02
buwung,0.02
calon,0.02
candu,0.02
cantip,0.039
cara,0.02
cari,0.039
cemil,0.02
cepat,0.059
cerita,0.02
chtnya,0.02
cie,0.02
cocok,0.02
contoh,0.02
cuih,0.02
cukup,0.02
curhat,0.02
curi,0.02
cybercrime,0.02
dagang,0.02
dangdut,0.02
dede,0.02
deep,0.02
deh,0.02
di,0.02
dinding,0.02
diri,0.059
dong,0.02
dtng,0.02
duka,0.02
duli,0.02
dulu,0.059
dunia,0.02
eek,0.02
eh,0.02
emas,0.02
emot,0.02
enak,0.039
engap,0.02
facebook,0.02
fase,0.02
fokus,0.02
foto,0.039
gadis,0.059
gaenak,0.059
gaenakan,0.02
gasopan,0.02
gaya,0.02
gemoy,0.039
genit,0.02
ger,0.02
gin,0.039
gina,0.02
gmtnk,0.02
gpke,0.02
haduh,0.02
hai,0.118
halang,0.02
halunya,0.02
halusinasi,0.02
hancur,0.02
harus,0.02
hati,0.02
hawa,0.02
hiyahiyahiya,0.02
hobynya,0.02
hoodie,0.02
humoris,0.039
ibu,0.02
ih,0.02
in,0.039
indomaret,0.02
ingin,0.02
ini,0.059
itu,0.039
iuh,0.02
iya,0.059
jadi,0.039
jakarta,0.02
jam,0.02
jemput,0.02
jepret,0.02
jomblo,0.039
jrang,0.02
judul,0.02
juga,0.059
julidin,0.02
kalau,0.138
kali,0.02
kan,0.039
kaos,0.02
kasi,0.039
kaum,0.02
kawin,0.02
kejam,0.02
keluarnganya,0.02
kenapa,0.118
ketawa,0.02
ketek,0.02
kira,0.02
kirim,0.02
kobra,0.02
kondangan,0.02
kucing,0.02
kudung,0.02
kumpul,0.02
kunjung,0.02
lagi,0.059
lah,0.059
laki,0.079
latih,0.02
lihat,0.039
lingkung,0.02
lucu,0.02
lucuk,0.039
mainin,0.02
mak,0.02
makas,0.02
malam,0.039
malas,0.039
malu,0.02
mana,0.02
manga,0.059
mangkanya,0.02
manis,0.02
mank,0.02
masa,0.02
masing,0.02
maskara,0.02
mau,0.177
mauk,0.02
mekisut,0.02
memang,0.079
memberi,0.02
menang,0.02
menikah,0.02
minimal,0.02
minta,0.039
mira,0.02
misi,0.02
mobil,0.039
mtk,0.02
muk,0.059
mukjizat,0.02
muncul,0.02
na,0.02
nada,0.039
nang,0.039
natural,0.039
ngetik,0.02
ngigo,0.02
ngikut,0.02
nya,0.02
nyakitin,0.02
nyaru,0.02
nyelekit,0.02
obrol,0.02
omelin,0.02
online,0.039
orang,0.079
pacar,0.039
pada,0.039
padahal,0.079
paham,0.02
pakai,0.059
pamit,0.02
panggil,0.02
pangkas,0.02
panutan,0.02
pap,0.02
pasti,0.039
patut,0.02
peduli,0.02
pengirim,0.02
penting,0.02
pergi,0.02
pernah,0.02
petrus,0.02
pft,0.02
pikir,0.039
pintu,0.02
plng,0.039
pokus,0.02
positif,0.02
potonya,0.039
pria,0.098
pucek,0.02
punya,0.059
puyuh,0.02
qkwkwkwk,0.02
ramai,0.02
rampok,0.039
rapi,0.02
rasa,0.039
renang,0.02
rep,0.039
ros,0.02
sabar,0.039
saja,0.177
salah,0.059
saling,0.039
sama,0.256
sampai,0.039
sapa,0.02
satu,0.039
saudara,0.138
saya,0.217
se,0.039
sebuah,0.079
segala,0.02
sejak,0.02
sekali,0.177
sekarang,0.039
selalu,0.02
selamat,0.039
semangat,0.02
sembuh,0.02
semoga,0.02
semua,0.079
sendal,0.02
sendiri,0.118
seperti,0.079
serba,0.02
seru,0.02
server,0.02
si,0.039
sial,0.02
sibuk,0.02
simpenan,0.02
sman,0.02
soal,0.02
spa,0.02
suami,0.02
sudah,0.177
suka,0.079
support,0.02
tahu,0.118
tahun,0.02
tahung,0.02
takoyaki,0.02
takut,0.039
tambahin,0.02
tangan,0.02
tapi,0.118
tato,0.02
tawa,0.295
tebel,0.02
teman,0.059
temenan,0.02
tempelin,0.02
temu,0.02
tendang,0.02
terimakasih,0.02
terus,0.059
tidak,0.335
tim,0.02
tipu,0.02
titik,0.02
titip,0.039
tng,0.02
tnya,0.02
tolong,0.02
tua,0.02
tumben,0.02
tutorial,0.02
tuw,0.02
ubur,0.02
ucapin,0.039
ucing,0.039
ucingnya,0.02
uji,0.02
ulang,0.039
untuk,0.02
valid,0.02
viral,0.02
viva,0.02
wah,0.02
wanita,0.039
xixi,0.02
yah,0.02
yang,0.256
yay,0.02
