term,weight
ada,0.028
adan,0.007
adi,0.007
admin,0.021
aduh,0.028
agar,0.021
ah,0.007
ajak,0.007
ajar,0.014
akan,0.007
akhir,0.021
aktif,0.007
alias,0.007
alon,0.007
amal,0.007
aman,0.007
amin,0.048
ampun,0.028
an,0.007
anak,0.041
anda,0.138
andri,0.007
aneh,0.007
angep,0.007
ani,0.021
anis,0.007
anya,0.007
apa,0.124
apadaya,0.007
aquarius,0.007
ashar,0.007
ashiap,0.007
ayas,0.007
ayo,0.014
azmi,0.007
baca,0.007
bagaimana,0.055
bagay,0.007
bagi,0.007
bahagia,0.014
bahan,0.007
bahkan,0.014
baik,0.034
baju,0.021
balas,0.021
balik,0.021
bangun,0.007
bantu,0.014
banyak,0.014
bapak,0.021
barakalah,0.014
barangkali,0.014
bareng,0.007
baru,0.021
batas,0.007
bawa,0.021
bayangin,0.007
bebas,0.007
beby,0.007
becak,0.007
beda,0.028
begadang,0.007
begitu,0.007
belanjanmu,0.007
beli,0.021
belum,0.028
benar,0.028
bentar,0.007
berani,0.007
berapa,0.028
beri,0.007
beristighfar,0.007
bermanfat,0.007
besok,0.034
biasa,0.007
biaya,0.007
bicara,0.014
bilang,0.028
bingung,0.007
bisa,0.034
bismillah,0.014
bolak,0.014
boleh,0.014
bonceng,0.007
boong,0.007
boros,0.021
brebes,0.021
brgkt,0.007
buah,0.014
buang,0.007
buat,0.145
buka,0.028
bukan,0.028
bulan,0.007
burger,0.007
buruk,0.007
busana,0.007
butuh,0.014
cahaya,0.014
camil,0.007
canda,0.007
cantik,0.007
captionya,0.007
cari,0.034
cc,0.007
celengan,0.007
cemil,0.034
cepat,0.007
cerita,0.041
cinta,0.007
cip,0.028
cit,0.028
cita,0.021
citora,0.007
citra,0.014
coba,0.014
contoh,0.007
cuci,0.014
cuma,0.062
curhat,0.007
daftar,0.007
dahar,0.007
dalam,0.007
dapat,0.007
dapur,0.007
darat,0.007
dari,0.021
dasar,0.007
datang,0.021
deadline,0.007
deh,0.007
dekat,0.028
del,0.083
dela,0.014
dengar,0.007
depan,0.028
desa,0.007
dewasa,0.007
di,0.028
dia,0.007
dicelengin,0.007
dimsum,0.014
dimsumnya,0.007
dino,0.007
diomongin,0.007
diri,0.028
dito,0.007
doa,0.028
doang,0.007
dokter,0.007
dolan,0.014
dong,0.014
doraemon,0.007
dosen,0.007
duka,0.014
dulu,0.028
egosentris,0.007
eh,0.007
ehehehe,0.007
elsa,0.007
enak,0.007
es,0.007
exclusive,0.007
fafa,0.007
faiz,0.007
favorit,0.007
fi,0.145
fifi,0.014
foya,0.007
gaji,0.021
galeria,0.007
gambar,0.007
ganggu,0.007
ganti,0.014
gatal,0.007
genap,0.007
gercep,0.007
gertak,0.007
gin,0.014
gofod,0.007
grabfod,0.007
gratis,0.014
griya,0.007
grup,0.007
gugup,0.014
guling,0.007
gusti,0.007
gws,0.007
habis,0.034
haha,0.007
haidar,0.007
hakikat,0.007
hamba,0.007
harap,0.007
harga,0.014
hari,0.007
harry,0.007
hartono,0.014
harus,0.014
hasil,0.014
hati,0.014
hidup,0.007
hormat,0.007
hubungin,0.007
hujan,0.007
ibadah,0.007
ibu,0.028
idam,0.007
ikhlas,0.007
ikut,0.021
imbang,0.007
in,0.007
informasi,0.007
ingat,0.007
ingin,0.09
ini,0.041
insya,0.021
internet,0.007
ips,0.007
istirahat,0.007
itu,0.014
iya,0.048
iyaiyaiya,0.007
jadi,0.069
jalan,0.021
jam,0.034
jati,0.007
jauh,0.007
jawa,0.007
ji,0.007
jin,0.007
jinuh,0.007
jinulay,0.007
jl,0.007
jomblo,0.007
juarak,0.007
juga,0.007
kabar,0.014
kabarin,0.007
kadang,0.007
kaj,0.007
kakaku,0.007
kalah,0.007
kalau,0.131
kaleng,0.007
kali,0.048
kalian,0.048
kalisemo,0.007
kan,0.083
kana,0.007
kapan,0.014
karaoke,0.028
karena,0.014
karir,0.007
karoke,0.014
