term,weight
acak,0.014
ada,0.014
adalah,0.014
agar,0.027
ah,0.014
aipon,0.014
aisyah,0.014
ajak,0.027
akhir,0.027
akhlak,0.014
akun,0.014
akuntansi,0.014
album,0.014
allah,0.014
along,0.014
alun,0.027
aman,0.027
ambil,0.014
ambyar,0.014
amin,0.014
anak,0.014
anda,0.245
angkut,0.014
apa,0.095
apalagi,0.014
apresiasi,0.014
arnold,0.014
asa,0.014
atau,0.014
aura,0.014
awokwok,0.014
ayo,0.095
ayunda,0.014
baca,0.027
bagaimana,0.041
bagus,0.041
bahagia,0.014
baik,0.027
bajing,0.014
baku,0.014
balado,0.014
balik,0.014
bang,0.082
bangun,0.014
bantu,0.054
banyak,0.027
barter,0.014
baru,0.054
batas,0.014
batu,0.014
beda,0.027
begini,0.014
begitu,0.082
bek,0.014
belah,0.014
benar,0.014
bercandain,0.014
beri,0.014
besok,0.014
betul,0.014
biasa,0.014
biasana,0.014
biaya,0.014
bicara,0.014
bilang,0.014
binder,0.014
bisa,0.109
bismillah,0.014
bodoh,0.014
bosan,0.014
buat,0.122
bujuk,0.014
bukan,0.027
buku,0.014
bulu,0.014
calon,0.014
canda,0.014
cantik,0.014
cari,0.027
catat,0.014
cerita,0.014
cita,0.027
coba,0.054
cocok,0.014
correct,0.014
cuma,0.068
dadi,0.014
daftar,0.027
damai,0.014
dan,0.014
dekat,0.014
dengan,0.068
dengar,0.014
depa,0.014
depan,0.014
deskripsin,0.014
detected,0.014
di,0.041
dia,0.014
diam,0.014
difolback,0.014
dikenalin,0.014
dilema,0.027
doa,0.014
doang,0.041
dom,0.014
dong,0.054
drama,0.027
duain,0.014
duka,0.014
dulu,0.027
dunia,0.014
dur,0.014
eh,0.014
elita,0.014
embrio,0.014
enak,0.054
energi,0.027
es,0.014
faedah,0.014
februari,0.014
fisip,0.014
fotoin,0.014
gadis,0.014
gagal,0.027
gais,0.014
ganggu,0.014
gara,0.041
garis,0.027
gembira,0.014
geser,0.014
gin,0.041
gmbos,0.014
goler,0.014
grandma,0.014
gundul,0.014
gus,0.014
habis,0.014
hadap,0.014
haha,0.027
hai,0.027
haiya,0.014
hak,0.014
hal,0.027
halus,0.014
hampir,0.041
hantam,0.014
haram,0.014
harap,0.014
harga,0.014
hari,0.068
hayuk,0.027
hibur,0.014
hilang,0.014
hitung,0.014
hubung,0.014
humor,0.014
ikut,0.082
ilkom,0.014
in,0.014
indie,0.014
indonesia,0.014
infrastruktur,0.014
ingat,0.014
ini,0.068
inspirasi,0.014
inti,0.014
isi,0.014
istirahat,0.014
itu,0.068
iya,0.014
iyak,0.014
jadi,0.109
jalan,0.014
jarak,0.014
jateng,0.027
jawab,0.027
jer,0.014
jerat,0.014
jerome,0.068
jiwa,0.027
jodoh,0.014
jt,0.014
juga,0.068
junki,0.014
jurus,0.014
juta,0.014
kadang,0.014
kaesang,0.014
kait,0.014
kalau,0.082
kali,0.068
kamo,0.054
kampus,0.014
kan,0.027
kapal,0.014
kasih,0.027
kasur,0.014
kata,0.014
kati,0.014
kecil,0.014
kelak,0.014
kelas,0.027
kelelawar,0.014
kemarin,0.014
kembar,0.014
kenapa,0.041
kentang,0.014
keramat,0.014
keras,0.014
ketawa,0.014
ketemu,0.027
ketinggalan,0.014
kita,0.041
koh,0.027
kpsg,0.014
kurang,0.014
kutuk,0.014
laba,0.014
lagi,0.014
lagu,0.068
lahir,0.027
laki,0.041
laku,0.014
lalu,0.014
lama,0.027
langsung,0.041
layar,0.014
le,0.027
lebih,0.041
lele,0.014
lepas,0.014
lho,0.014
lihat,0.054
lokasi,0.014
look,0.027
lope,0.027
lucas,0.014
lucu,0.014
lumayan,0.014
lupa,0.014
magelang,0.163
mahasiswa,0.027
maimuna,0.014
main,0.014
malah,0.027
malioboro,0.014
malu,0.027
mana,0.014
mandi,0.014
manjah,0.014
mantapu,0.027
masa,0.014
masalah,0.014
mata,0.014
mau,0.163
maudy,0.014
mayan,0.014
mayo,0.014
meh,0.027
mei,0.014
mekdi,0.014
memang,0.041
memangil,0.014
menang,0.014
mendengarkan,0.027
mgl,0.027
mimpi,0.014
minta,0.027
minus,0.014
mobil,0.027
mon,0.027
mudah,0.014
murid,0.014
musnahin,0.014
mutualan,0.027
na,0.027
nada,0.014
nafas,0.014
nang,0.014
nanti,0.014
nax,0.014
neh,0.014
ngantuk,0.014
nge,0.014
ngejar,0.014
ngerumpi,0.014
ngevideo,0.014
ngurangi,0.014
niat,0.027
nice,0.014
ninuninuninu,0.014
nol,0.014
nya,0.014
nyadar,0.014
nyai,0.014
nyanyi,0.014
nyata,0.041
obat,0.027
ofc,0.027
omong,0.163
orang,0.095
otak,0.014
pagi,0.014
paham,0.014
pakai,0.082
pangeran,0.014
panutan,0.014
parah,0.014
pasang,0.014
pbd,0.014
peduli,0.014
pelan,0.027
pengirim,0.095
perempuan,0.014
pergi,0.054
pernah,0.027
pertama,0.014
pesan,0.014
peta,0.014
petit,0.014
pilih,0.014
pintar,0.027
po,0.027
polin,0.014
positif,0.014
potonganya,0.014
profesional,0.014
psikiater,0.014
psikolog,0.014
puasa,0.014
pun,0.014
punya,0.014
putus,0.014
qa,0.014
rada,0.014
raih,0.014
rasa,0.041
ratus,0.014
rebana,0.014
receh,0.027
replay,0.027
replayan,0.014
retweet,0.027
rindu,0.014
risol,0.014
rocomended,0.014
ros,0.014
rugi,0.014
rumah,0.014
sahur,0.014
saia,0.014
saja,0.149
salah,0.041
sali,0.014
sama,0.217
sambat,0.014
sambil,0.014
sandal,0.014
sapa,0.014
saran,0.014
satu,0.041
saudara,0.177
saya,0.421
sayang,0.014
sbm,0.014
screenshot,0.014
sebentar,0.027
sebuah,0.041
sedang,0.027
sederhana,0.014
segi,0.014
sejak,0.014
sekali,0.109
sekalipun,0.014
sekarang,0.014
sekolah,0.027
selalu,0.014
selera,0.014
semangat,0.041
semangit,0.014
semarang,0.014
semoga,0.054
semua,0.041
senam,0.014
senang,0.054
seni,0.014
seperti,0.082
servernya,0.014
seuniv,0.014
siapa,0.014
sih,0.027
simingit,0.014
sini,0.027
sirik,0.014
soal,0.014
sobat,0.014
solawatan,0.014
somplak,0.014
sopir,0.014
sosok,0.041
stok,0.014
sudah,0.122
suka,0.054
sukses,0.014
surup,0.014
susah,0.014
syef,0.014
syukur,0.014
tahan,0.014
tahu,0.068
tahun,0.095
tak,0.014
tambah,0.027
tampan,0.014
tanda,0.163
tanggal,0.041
tapi,0.027
tawa,0.177
taxi,0.014
telat,0.014
teman,0.041
terbaek,0.014
terbang,0.014
terhura,0.014
terima,0.014
terimakasih,0.014
teringat,0.014
tetap,0.027
tiap,0.014
tidak,0.312
tidur,0.027
tinggal,0.027
tinggi,0.014
titik,0.014
tmpe,0.014
tolong,0.082
tonton,0.014
transaksi,0.014
tugas,0.014
tuhan,0.014
tumben,0.014
tunggu,0.041
turun,0.014
tw,0.014
twitter,0.014
twt,0.014
tyda,0.014
ulang,0.027
ultang,0.014
umat,0.014
untidar,0.014
untuk,0.054
untung,0.054
usaha,0.014
utama,0.014
utbk,0.014
waktu,0.014
wanita,0.027
wat,0.027
welkam,0.014
wherever,0.014
whts,0.014
xrkm,0.041
ya,0.014
yakin,0.014
yampon,0.014
yang,0.177
yesuh,0.014
youngk,0.014
yuntidar,0.014
zenius,0.014
zomblo,0.014
