term,weight
aceh,0.005
ad,0.005
ada,0.043
admin,0.005
aduh,0.019
agar,0.014
ah,0.038
aia,0.005
air,0.01
ajak,0.005
ajar,0.01
akademik,0.019
akan,0.014
akhir,0.029
aktif,0.005
aktivitas,0.019
akun,0.019
ala,0.005
album,0.005
alias,0.024
alir,0.005
alternatif,0.005
alvi,0.005
alzena,0.01
aman,0.01
ambis,0.01
amin,0.014
amizah,0.005
ampun,0.014
an,0.038
anak,0.043
anda,0.105
andrea,0.005
anggap,0.005
anterin,0.005
antre,0.005
apa,0.124
aparat,0.005
apwiwjshdhdjejsjsj,0.005
aroma,0.005
asal,0.01
asumasi,0.005
asumsi,0.01
atas,0.014
atau,0.005
atur,0.005
audio,0.005
aulia,0.005
awas,0.005
awat,0.005
ayah,0.01
ayam,0.005
ayo,0.029
ayun,0.005
baca,0.062
bacan,0.01
bagai,0.01
bagaimana,0.029
bagus,0.014
bahasa,0.005
bahkan,0.005
baik,0.043
balas,0.038
balik,0.005
balikin,0.005
ban,0.005
bang,0.01
bangun,0.024
bangunin,0.005
bantu,0.024
banyak,0.029
bareng,0.01
baru,0.071
batas,0.005
batin,0.005
bayar,0.01
beberapa,0.01
beda,0.014
bedah,0.005
begini,0.01
begitu,0.091
bel,0.005
belah,0.01
belakang,0.005
beli,0.005
belum,0.019
benar,0.043
benarkan,0.005
bentar,0.01
bentuk,0.005
beranda,0.01
berani,0.005
berapa,0.019
berisik,0.01
bersih,0.005
bersosialiasi,0.005
besar,0.014
besok,0.005
betul,0.01
bias,0.005
biasa,0.01
biasain,0.005
bicara,0.024
bilang,0.019
bimbing,0.005
bingung,0.01
bintang,0.005
biru,0.005
bisa,0.038
bisajadi,0.01
bohong,0.005
boleh,0.01
bosan,0.01
brti,0.005
buah,0.01
buat,0.048
buk,0.014
buka,0.005
bukan,0.024
buku,0.01
bulan,0.019
bulat,0.005
bumi,0.005
bungkus,0.005
bunuh,0.005
buruk,0.005
butuh,0.024
cabut,0.005
cahaya,0.01
calon,0.005
camat,0.005
cara,0.01
cari,0.01
cegah,0.005
cemil,0.024
centang,0.005
cepat,0.014
cerewet,0.005
cerita,0.005
cici,0.005
cita,0.005
coba,0.024
coban,0.005
cocok,0.01
corona,0.01
couldn,0.005
cukup,0.019
cuma,0.043
curhat,0.005
cuy,0.005
da,0.005
dada,0.005
daftar,0.01
dan,0.01
dapat,0.024
darah,0.005
dari,0.01
daripada,0.014
daritadi,0.005
dasar,0.005
data,0.005
datang,0.005
deadliner,0.005
debat,0.014
deh,0.038
dekat,0.005
deli,0.005
dengan,0.019
depok,0.005
desa,0.005
desember,0.01
di,0.014
dibalesin,0.005
dibangunin,0.01
dibercandain,0.005
didengerin,0.005
dih,0.005
dikecewain,0.005
dikit,0.014
dilema,0.005
dilupain,0.005
dingetin,0.01
diomongin,0.01
dipangil,0.005
diperjuangin,0.005
diri,0.024
disimpen,0.005
diteriakin,0.005
doa,0.005
doang,0.019
dong,0.024
dosbim,0.01
dreams,0.005
dude,0.005
duka,0.005
dulu,0.057
duluan,0.005
dunia,0.01
durian,0.005
efek,0.01
eh,0.01
ekonomi,0.01
ekspresi,0.005
email,0.01
emosi,0.005
enak,0.029
energi,0.01
entah,0.01
erwin,0.005
etc,0.005
eug,0.033
eyang,0.005
fa,0.005
faedah,0.005
fans,0.005
fatin,0.005
favorit,0.005
feelings,0.005
fiksi,0.005
film,0.005
finacial,0.005
fiona,0.005
fitri,0.01
fkb,0.01
foto,0.01
freya,0.005
friends,0.005
fuad,0.005
gadapet,0.005
gajelas,0.01
gakbisa,0.01
ganti,0.01
gantung,0.005
garis,0.01
gaul,0.005
gaya,0.005
geng,0.005
geprek,0.005
gercep,0.005
giat,0.005
gilir,0.005
gin,0.033
gofod,0.005
gojek,0.005
grup,0.005
gutawa,0.005
habis,0.029
hadap,0.005
haha,0.019
hahahahahah,0.005
hai,0.005
hal,0.005
halal,0.005
hamil,0.005
hancur,0.005
hanya,0.01
hapus,0.005
harfiah,0.005
hari,0.057
haru,0.005
has,0.005
hasil,0.005
hati,0.01
heran,0.01
hidup,0.019
hih,0.01
hijau,0.005
hikmah,0.005
hilang,0.019
hirata,0.005
hobi,0.005
hormat,0.005
huf,0.005
hujan,0.005
humoris,0.005
husnul,0.005
ibu,0.01
idul,0.01
ih,0.024
ikut,0.01
ilaihi,0.005
iman,0.005
in,0.01
ina,0.005
inalilahi,0.005
informasi,0.005
ingat,0.024
ingetin,0.005
ingin,0.01
ini,0.043
inner,0.005
instagram,0.005
instastory,0.005
internship,0.005
inti,0.005
iqomah,0.01
isi,0.005
istirahat,0.005
istora,0.005
isya,0.005
itu,0.119
iya,0.076
iyadah,0.005
izin,0.005
jadi,0.124
jaga,0.005
jail,0.01
jakarta,0.024
jaksel,0.005
jalan,0.043
jam,0.01
jamah,0.005
jaman,0.01
jangkrik,0.005
jarang,0.01
jauh,0.019
jawa,0.019
jawab,0.014
jelas,0.019
jendela,0.005
jih,0.005
jika,0.005
jims,0.005
jodoh,0.005
jomblo,0.01
judul,0.005
juga,0.038
jujur,0.01
jumat,0.005
jumlah,0.005
jumpa,0.005
jurus,0.005
kabinet,0.005
kabupaten,0.01
kacamata,0.005
kadang,0.01
kait,0.005
kaji,0.01
kalah,0.005
kalau,0.081
kalender,0.005
kali,0.038
kalian,0.005
kan,0.062
kapan,0.014
karantina,0.005
karena,0.071
karim,0.005
karsa,0.005
kasih,0.005
kasus,0.005
kata,0.014
kawal,0.005
kayak,0.062
kecil,0.01
kejut,0.01
kelam,0.01
keliru,0.005
keluar,0.01
kemarin,0.033
kembali,0.005
kemenkes,0.005
kemenko,0.005
kemudian,0.014
