term,weight
abmyarquh,0.007
ada,0.078
adalah,0.052
adan,0.007
admin,0.013
agar,0.013
ajak,0.007
ajar,0.013
akal,0.026
akan,0.039
akh,0.007
akhir,0.039
akhirat,0.007
akhlak,0.007
akibat,0.007
aktivasi,0.007
akun,0.007
alas,0.013
alasan,0.007
alat,0.013
albatross,0.046
ale,0.013
alip,0.007
alit,0.007
aljabar,0.007
aman,0.013
an,0.026
anak,0.052
anda,0.378
andalanya,0.007
aneh,0.007
anggap,0.007
aoh,0.007
apa,0.143
apalagi,0.007
arham,0.007
arhang,0.007
astaga,0.007
atas,0.013
atau,0.02
atur,0.007
awal,0.026
awat,0.007
awet,0.007
ayam,0.007
ayo,0.013
bablas,0.007
baca,0.026
bagai,0.026
bagaimana,0.02
bagi,0.007
bahagia,0.026
bahan,0.007
baik,0.072
bajing,0.013
bakat,0.007
baku,0.007
balas,0.007
balik,0.033
bana,0.007
bandung,0.02
bang,0.033
bangun,0.007
bantu,0.007
banyak,0.065
bapak,0.013
baru,0.026
batin,0.007
batu,0.007
bawa,0.013
bawah,0.007
beda,0.033
begadang,0.013
begini,0.007
begitu,0.007
bela,0.007
belakang,0.02
belum,0.02
benang,0.007
benar,0.052
benci,0.007
benda,0.02
beneng,0.007
bentuk,0.02
beranda,0.007
berani,0.013
beraniko,0.007
berapa,0.026
berat,0.013
berhasil,0.007
beri,0.007
beruang,0.007
besar,0.013
besok,0.013
betapa,0.007
betul,0.02
bias,0.007
biasa,0.033
bicara,0.026
bilang,0.039
bisa,0.052
bodoh,0.013
bohong,0.007
bojongangsa,0.007
boleh,0.007
bosan,0.026
buah,0.02
buat,0.111
budi,0.026
buginese,0.007
bugis,0.007
buka,0.007
bukan,0.078
bukti,0.02
bulan,0.013
bunuh,0.007
buru,0.02
burung,0.007
butuh,0.02
bwang,0.007
bydesign,0.007
cahaya,0.007
canda,0.007
cantik,0.007
cara,0.026
cari,0.033
cause,0.007
celaka,0.02
cemil,0.02
cepat,0.02
cerah,0.007
cerita,0.013
chatan,0.007
chatanya,0.007
cheating,0.007
cie,0.013
cinta,0.046
cipta,0.026
coba,0.046
comes,0.007
contoh,0.007
corona,0.007
costumer,0.007
cowonya,0.007
cuaca,0.007
cukup,0.013
cuma,0.059
cupang,0.007
daftar,0.013
dalam,0.02
damping,0.007
dan,0.039
dapat,0.013
darah,0.007
dari,0.039
daritadi,0.007
darkmode,0.007
datang,0.02
dating,0.007
deh,0.007
dekat,0.033
demikian,0.007
dendam,0.007
dengan,0.046
dengar,0.013
depa,0.007
depan,0.013
derit,0.007
desain,0.007
detik,0.02
di,0.033
dia,0.046
dialpad,0.007
diam,0.007
dian,0.007
dibilangin,0.013
diceritain,0.007
didesign,0.007
difikir,0.007
digituin,0.007
dikit,0.007
dilema,0.013
dingin,0.007
dinginya,0.007
dipakama,0.007
diretwet,0.007
diri,0.039
diupdate,0.007
dna,0.013
doa,0.02
doc,0.007
doesn,0.007
dokter,0.013
dong,0.007
dor,0.007
duduk,0.007
dukung,0.007
dulu,0.033
duluan,0.02
dunia,0.007
egois,0.007
eh,0.013
ekspektasi,0.013
ember,0.007
enam,0.007
enough,0.02
entah,0.007
episode,0.013
erti,0.007
faedah,0.007
fagboi,0.007
fagboinya,0.007
faktor,0.007
fase,0.013
favorit,0.007
fildzah,0.007
film,0.007
fitur,0.007
fluktuasi,0.007
frutang,0.007
gabung,0.007
gadis,0.007
gagal,0.026
ganti,0.007
gantung,0.007
gar,0.007
gas,0.007
gebetan,0.007
gelap,0.007
gelisah,0.013
gerakanya,0.007
getting,0.007
gigit,0.013
gin,0.013
