term,weight
acak,0.01
ada,0.062
adalah,0.01
admin,0.073
agar,0.01
agribisnis,0.01
ah,0.01
ahli,0.01
ai,0.01
aiman,0.01
air,0.031
ajak,0.01
akhir,0.031
akhirya,0.01
aktivasi,0.021
aktivitas,0.01
alakadarnya,0.01
alam,0.01
alis,0.01
alkohol,0.01
amatir,0.01
ambulans,0.01
ampun,0.031
an,0.021
anak,0.052
anda,0.052
andal,0.01
anjing,0.01
anyone,0.01
apa,0.093
argh,0.01
arti,0.021
arung,0.01
asa,0.031
asli,0.031
atas,0.042
aubeau,0.01
awangawang,0.01
ayo,0.01
babang,0.021
baca,0.031
bacok,0.01
badan,0.021
bagaimana,0.021
bagus,0.01
bahagia,0.01
bahas,0.01
baik,0.052
balas,0.021
balik,0.021
bang,0.042
bangkai,0.01
bangkit,0.01
bangun,0.021
banjir,0.01
bantal,0.01
banyak,0.031
bapak,0.042
barat,0.01
bareng,0.01
baringan,0.01
baru,0.093
basa,0.01
basi,0.01
batu,0.01
batuk,0.01
bayang,0.021
beasiswa,0.01
beberapa,0.021
bedak,0.01
bedside,0.01
begini,0.021
begitu,0.01
beli,0.021
benar,0.062
bengkulu,0.021
beranda,0.01
berkat,0.01
besar,0.01
besok,0.021
biasa,0.052
biji,0.01
bina,0.01
bingung,0.031
bisa,0.042
blushon,0.01
bnya,0.01
bodoh,0.01
bos,0.01
bosan,0.01
bse,0.01
buat,0.083
buk,0.042
bukan,0.031
bukos,0.01
bukti,0.01
buntu,0.01
bunuh,0.01
buruk,0.01
buset,0.031
butuh,0.01
cacing,0.031
cadang,0.01
cantik,0.01
cari,0.042
cemil,0.104
cepetinya,0.01
cerita,0.01
cheetah,0.01
cinta,0.031
coba,0.01
corona,0.021
cried,0.01
cukup,0.01
cuma,0.042
currently,0.01
cutie,0.01
dahal,0.01
dalemhati,0.01
dan,0.031
dapat,0.031
dapur,0.01
dar,0.01
dara,0.01
darah,0.021
dari,0.01
dasar,0.01
datang,0.01
deadline,0.01
dearmama,0.01
debes,0.01
deh,0.042
dengan,0.031
dengar,0.01
der,0.01
deras,0.021
derita,0.01
desain,0.01
detektif,0.01
di,0.021
diam,0.01
dikit,0.031
dilema,0.021
dimarahin,0.01
diri,0.042
disini,0.01
doang,0.01
dokter,0.031
donated,0.01
dong,0.031
drama,0.021
dua,0.031
duid,0.01
dulu,0.062
dunia,0.01
durhaka,0.01
efin,0.021
egois,0.01
eh,0.052
ekor,0.01
enak,0.021
episode,0.01
evlin,0.01
ex,0.021
favorit,0.01
figuran,0.01
film,0.042
gaji,0.021
gang,0.01
ganti,0.01
genjreng,0.01
getting,0.01
gigi,0.01
gimane,0.01
gin,0.062
gondok,0.01
goreng,0.042
growing,0.01
gud,0.01
gugur,0.01
habis,0.01
hadiah,0.01
haha,0.021
hai,0.021
hal,0.01
halusinasi,0.01
hangat,0.01
hanya,0.031
hanyut,0.01
hapal,0.01
harap,0.01
harga,0.01
hargain,0.01
hari,0.073
harus,0.01
hasil,0.01
hati,0.01
heboh,0.01
henti,0.01
hewan,0.01
hidup,0.042
hilang,0.042
hitung,0.01
hots,0.01
hubung,0.01
hujan,0.021
humoris,0.021
hwan,0.021
ibu,0.052
ide,0.021
idih,0.01
idola,0.01
iflix,0.01
ih,0.021
ikan,0.031
ikut,0.01
ilham,0.01
in,0.042
info,0.01
ingat,0.031
ini,0.125
insyaf,0.01
intoleransi,0.01
iri,0.01
irvan,0.031
isis,0.01
itu,0.062
iya,0.062
jadi,0.145
jagad,0.01
jalan,0.031
jalur,0.01
jam,0.042
janji,0.01
jantung,0.021
jarang,0.01
jari,0.021
jarjit,0.021
jauh,0.01
jawab,0.01
jebak,0.01
jelas,0.01
jem,0.021
jenis,0.01
jeri,0.031
jerumus,0.01
jokesnya,0.01
juga,0.031
jung,0.021
jungpal,0.01
juru,0.01
jus,0.01
kacau,0.01
kaki,0.021
kalah,0.01
kalau,0.114
kali,0.031
kalian,0.01
kamar,0.01
kampanye,0.01
kamuflase,0.01
kan,0.021
kanan,0.021
kangenin,0.01
kapal,0.01
kapan,0.031
karakter,0.01
karantina,0.01
karena,0.042
kasi,0.01
kasus,0.01
kawan,0.01
kawat,0.01
kayak,0.031
kayu,0.01
kebun,0.01
kecil,0.021
kedip,0.01
kejer,0.01
kejut,0.01
kelelawar,0.01
keliling,0.021
kembali,0.031
ken,0.042
kena,0.021
kenapa,0.052
kendara,0.01
kenyat,0.01
kerja,0.052
kerucut,0.01
kes,0.01
ketemu,0.01
ketik,0.01
ketika,0.01
kira,0.021
kiri,0.01
kolong,0.01
kongkow,0.01
konsep,0.01
konser,0.01
konspirasi,0.01
kontak,0.021
konyol,0.021
korea,0.01
koreksi,0.01
kp,0.01
krisis,0.01
kuliah,0.031
kunci,0.01
kurang,0.021
kutip,0.01
lagi,0.01
lagu,0.021
lain,0.01
lakasud,0.01
laki,0.062
laku,0.01
lalu,0.01
lama,0.021
lampung,0.01
langsung,0.021
lapar,0.021
lebay,0.01
lega,0.01
lelah,0.01
lepas,0.01
lesu,0.01
lewat,0.021
lihat,0.042
lipmate,0.01
lipstik,0.01
literasi,0.01
lucu,0.021
lupa,0.062
maaf,0.01
maafin,0.01
macam,0.01
macih,0.021
makeover,0.01
maksa,0.01
malah,0.021
malam,0.062
malu,0.01
mana,0.021
manga,0.01
mangkanya,0.01
manis,0.01
manusia,0.021
marathon,0.01
maraton,0.01
marcks,0.01
masa,0.021
masak,0.031
masalah,0.021
masih,0.01
maskara,0.01
maskun,0.031
masuk,0.031
masyarakat,0.01
mata,0.01
matematika,0.01
mati,0.01
mau,0.073
maybeline,0.01
memang,0.042
menang,0.01
menangys,0.01
mendung,0.01
mengebu,0.01
menstruasi,0.021
mentang,0.01
meranti,0.01
mesti,0.01
mewek,0.01
mg,0.01
micin,0.01
mie,0.01
mikirkeras,0.01
milik,0.01
mineral,0.021
minggu,0.021
miniso,0.01
minta,0.01
minum,0.01
minyak,0.01
mobil,0.042
monangis,0.01
moral,0.01
motor,0.031
mudah,0.01
muka,0.01
muncul,0.01
murka,0.01
musim,0.01
nada,0.01
naik,0.042
nanah,0.01
nanas,0.01
nang,0.021
nangung,0.01
narsistik,0.01
nasgor,0.01
nasi,0.042
negeri,0.01
ngalur,0.01
ngambek,0.01
ngangenin,0.01
ngehindarin,0.01
ngejelasin,0.01
ngerampas,0.01
ngeri,0.021
ngidul,0.01
ngilu,0.01
nginjek,0.01
nongkrong,0.01
nontin,0.01
ntu,0.01
numerasi,0.01
numpuk,0.01
nya,0.114
nyalah,0.01
nyambung,0.01
nyanyi,0.01
nyata,0.042
nyonya,0.01
obrol,0.01
obsesi,0.01
oke,0.031
old,0.01
online,0.01
orang,0.062
orit,0.01
padahal,0.021
padang,0.021
pagi,0.031
paham,0.01
pakai,0.042
paku,0.01
pala,0.031
paling,0.042
paman,0.01
panjang,0.01
panutanque,0.01
paporit,0.01
pasar,0.021
password,0.021
pedas,0.01
peduli,0.01
pegawai,0.01
pelembab,0.01
pengertianya,0.01
pensil,0.01
penting,0.01
penyelesaianya,0.01
peras,0.021
perbarui,0.01
percaya,0.01
perempuan,0.01
perintah,0.01
perkara,0.01
permintan,0.01
pernah,0.031
persen,0.01
pesawat,0.01
pikir,0.052
pilih,0.01
pisces,0.01
plin,0.01
pm,0.031
pokok,0.01
polisi,0.01
porsi,0.021
presto,0.01
pribadi,0.042
primer,0.01
program,0.01
proses,0.01
psi,0.021
pulang,0.021
punya,0.031
pura,0.01
pusing,0.052
putih,0.01
putus,0.021
rahasia,0.01
rakyat,0.01
ramah,0.01
rambut,0.01
rasa,0.052
rebah,0.031
reguler,0.01
remaja,0.01
ribu,0.01
ridden,0.01
rindu,0.01
rk,0.01
ruang,0.01
rumah,0.052
rumahna,0.01
rumit,0.01
rusak,0.021
saat,0.01
saja,0.104
sakit,0.021
salah,0.031
salur,0.01
sama,0.145
sampah,0.01
sampai,0.062
samungdong,0.021
sana,0.01
saos,0.01
sariawan,0.01
sate,0.01
satir,0.01
satu,0.062
saudara,0.156
saya,0.447
sayang,0.021
sebuah,0.062
sedih,0.042
segala,0.021
sehat,0.031
sekali,0.249
sekarang,0.021
selalu,0.021
selamat,0.01
selesai,0.042
seluncur,0.01
semangat,0.01
sembako,0.01
semester,0.01
sempat,0.01
semua,0.093
sendiri,0.031
sengambek,0.01
sengol,0.01
sepatu,0.021
seperti,0.031
sepi,0.01
seri,0.01
sering,0.021
serius,0.021
seseorang,0.01
set,0.01
si,0.031
siap,0.01
sided,0.01
sih,0.052
sik,0.01
siksa,0.01
singh,0.01
sipil,0.01
sipiongot,0.01
slapped,0.01
sms,0.01
soal,0.01
sopan,0.01
sosial,0.01
sprite,0.01
stok,0.01
suasana,0.01
sucks,0.021
sudah,0.125
suhk,0.021
suka,0.021
sulit,0.01
sumatera,0.01
sungai,0.01
superstay,0.01
surat,0.01
swatch,0.01
syukur,0.01
tae,0.021
tahu,0.031
tahun,0.093
tak,0.01
tali,0.021
talking,0.01
tanam,0.01
tangga,0.01
tanjung,0.021
tanya,0.021
tapi,0.042
tasted,0.01
tawa,0.156
taxmin,0.01
telah,0.01
telapak,0.01
telepon,0.042
teman,0.01
tempat,0.062
temu,0.01
tenang,0.021
tengah,0.021
tengelamnya,0.01
tentang,0.01
terakir,0.01
teriak,0.01
terima,0.01
terimakasih,0.031
terus,0.073
tetap,0.021
tewas,0.01
tiap,0.01
tidak,0.457
tidur,0.031
tikus,0.01
tim,0.01
titip,0.01
tj,0.01
tobat,0.01
toleransi,0.01
tolong,0.01
tonton,0.083
traumatis,0.01
tried,0.01
trix,0.01
tua,0.01
tukang,0.01
tulang,0.01
tulis,0.01
tunai,0.01
tunggu,0.01
tuntas,0.01
turun,0.01
tusuk,0.01
twitter,0.01
uang,0.021
ucep,0.01
uji,0.021
ujung,0.01
ulang,0.01
umat,0.01
underrated,0.01
untuk,0.031
untung,0.021
urus,0.01
usaha,0.01
usbk,0.01
utama,0.031
uwe,0.01
valueable,0.01
van,0.01
via,0.01
visioner,0.01
wahaha,0.01
wahahahah,0.01
waktu,0.01
wanita,0.021
warna,0.01
watched,0.01
whatsapp,0.01
