term,weight
ad,0.094
ada,0.017
adab,0.009
adalah,0.026
admin,0.06
aduh,0.009
agar,0.06
aguen,0.009
ahsan,0.009
air,0.026
ajak,0.034
ajar,0.026
akan,0.009
akhir,0.043
aktivitas,0.026
akun,0.009
alasan,0.009
alhasil,0.009
alternatif,0.017
aman,0.009
ambil,0.009
an,0.043
anak,0.034
anda,0.136
anggar,0.009
angka,0.009
angkut,0.009
anoa,0.009
ap,0.009
apa,0.06
apajadinya,0.009
api,0.009
aplikasi,0.009
aqua,0.009
asal,0.017
asha,0.009
asli,0.026
asrama,0.043
atap,0.009
atas,0.009
atau,0.009
awak,0.034
awal,0.017
ayah,0.009
ayo,0.026
babirusa,0.009
baca,0.051
badai,0.017
badan,0.017
bagai,0.017
bagaimana,0.051
bagus,0.017
bahas,0.017
bahaya,0.017
baik,0.034
bakat,0.009
bakso,0.009
balik,0.026
bambu,0.009
bameti,0.009
bang,0.034
banjir,0.009
banking,0.009
bantal,0.009
bantu,0.009
banyak,0.094
bar,0.009
barang,0.009
barat,0.017
baru,0.068
batalin,0.009
bawah,0.009
bayang,0.009
bayi,0.009
beasiswa,0.009
bebas,0.009
beberapa,0.017
beda,0.026
bedain,0.009
begitu,0.043
bek,0.017
beli,0.017
bem,0.009
benar,0.009
benarkan,0.009
bentara,0.009
beranda,0.009
berangan,0.009
berani,0.009
berapa,0.009
berat,0.017
besar,0.009
beuh,0.009
biasa,0.026
biaya,0.017
bicara,0.009
bilang,0.026
bintang,0.009
biro,0.009
bisa,0.051
bli,0.009
bogor,0.017
bolak,0.009
boneka,0.009
brapo,0.009
buah,0.009
buang,0.009
buat,0.043
bujuk,0.009
buka,0.009
bukan,0.06
buku,0.06
bulan,0.017
bumi,0.009
bunaken,0.009
bung,0.017
buruh,0.009
butuh,0.009
buyar,0.009
candan,0.009
cara,0.06
cari,0.017
cemil,0.043
cendrawasih,0.009
cengang,0.009
cepat,0.009
cerita,0.026
cit,0.026
cmano,0.009
coba,0.051
cocoklogi,0.009
corona,0.026
cukup,0.009
cuma,0.102
