term,weight
ada,0.014
adalah,0.014
admin,0.014
akhir,0.014
akun,0.027
amin,0.014
an,0.014
anak,0.123
anda,0.178
anggota,0.027
angkut,0.014
anjg,0.014
anytime,0.014
apa,0.069
astaga,0.014
atas,0.014
atm,0.014
ayam,0.014
ayo,0.014
azit,0.027
bagaimana,0.027
baik,0.027
bandingin,0.014
bangga,0.014
bantu,0.014
banyak,0.082
baru,0.151
begitu,0.041
belgium,0.014
beli,0.014
belum,0.027
benar,0.041
bentar,0.014
berapa,0.027
besar,0.014
besok,0.014
biadab,0.027
biasa,0.014
biji,0.014
bisa,0.027
bisikin,0.014
bismillah,0.027
bnrn,0.027
bukan,0.027
buku,0.014
bulan,0.055
bungee,0.014
cahaya,0.027
cakep,0.041
cara,0.014
cari,0.041
cekrek,0.014
celah,0.014
cemil,0.027
cetak,0.014
chae,0.014
changmin,0.027
chanhe,0.014
checkmate,0.027
ci,0.055
cinta,0.041
coba,0.069
coklat,0.014
congrats,0.041
cuma,0.041
dapat,0.027
dari,0.055
deh,0.014
deng,0.014
dengan,0.014
depa,0.014
dgshs,0.014
dgshsh,0.014
dgshshshs,0.027
dhshs,0.014
dhshsh,0.014
di,0.014
dia,0.014
diam,0.027
dibikinin,0.014
diblg,0.014
dibok,0.014
did,0.027
digituin,0.014
dirumahaja,0.014
disini,0.014
diumumin,0.014
diyam,0.014
doa,0.014
doang,0.041
dobel,0.014
dong,0.014
dt,0.014
dua,0.014
dukung,0.014
dulu,0.041
dunia,0.014
ehehe,0.027
email,0.014
enak,0.027
eric,0.041
eris,0.027
fancon,0.014
film,0.041
foto,0.027
fr,0.014
freong,0.014
gagal,0.014
galak,0.014
ganti,0.014
gatega,0.014
gausa,0.014
gdhshshshs,0.014
gemas,0.041
gerah,0.014
getar,0.014
giat,0.014
giveaway,0.014
goa,0.027
habis,0.041
haha,0.014
hampir,0.014
harga,0.041
hari,0.014
harus,0.014
hati,0.014
hdhshs,0.014
hg,0.014
hilih,0.014
hl,0.014
huhuhuhu,0.014
huhuhuhuhu,0.014
humoris,0.014
hwal,0.055
ibadah,0.014
ily,0.014
indihom,0.014
indonesia,0.014
ingin,0.014
