term,weight
acak,0.006
acara,0.006
ada,0.023
adalah,0.034
agak,0.006
agam,0.006
agar,0.017
agen,0.006
agustus,0.006
air,0.006
akan,0.028
akgae,0.006
akhir,0.028
alat,0.006
album,0.006
allah,0.006
ambil,0.006
an,0.04
anak,0.028
anda,0.114
anggota,0.023
angin,0.006
angka,0.028
aniv,0.017
anjg,0.006
anjinq,0.011
announced,0.006
anti,0.006
antisipasi,0.006
any,0.006
apa,0.114
apaneh,0.006
arti,0.023
artis,0.006
as,0.011
asa,0.006
asc,0.006
asdfghjkl,0.006
asli,0.006
atas,0.006
atau,0.006
awal,0.011
ayo,0.011
bablas,0.006
badan,0.011
bagaimana,0.034
bagi,0.017
bagus,0.006
bahan,0.006
bahkan,0.011
baik,0.028
bajing,0.023
baju,0.006
baku,0.006
balas,0.023
balerino,0.006
balet,0.011
bandara,0.006
bangun,0.011
banyak,0.028
bapak,0.006
barang,0.023
barbie,0.006
bareng,0.017
baru,0.034
batal,0.006
bawah,0.006
bayang,0.006
bayar,0.017
beda,0.011
begini,0.017
begitu,0.04
bekas,0.006
beli,0.079
belum,0.011
benar,0.074
benci,0.006
bentar,0.006
bentuk,0.006
beranda,0.006
berapa,0.006
berisik,0.017
besar,0.006
besok,0.006
beyond,0.006
biadab,0.006
biasa,0.028
bicara,0.006
biggest,0.006
bilang,0.017
binar,0.006
bingung,0.011
bisa,0.091
blok,0.006
bodoh,0.006
bogoshipda,0.006
boleh,0.006
bom,0.006
booked,0.011
both,0.011
brunch,0.006
bts,0.017
buat,0.079
buka,0.011
bukan,0.04
bulan,0.04
burst,0.006
bused,0.006
busway,0.006
butuh,0.011
cair,0.006
cantik,0.023
cara,0.017
cause,0.006
cemil,0.011
cepat,0.006
cermin,0.006
checkout,0.011
cheese,0.006
cinta,0.011
ciputat,0.006
cita,0.006
clear,0.006
coba,0.017
comeback,0.017
comfy,0.006
compete,0.006
congrats,0.006
consist,0.006
corona,0.006
cuma,0.051
cutest,0.006
daftar,0.011
dagang,0.006
dan,0.04
dapat,0.011
dari,0.057
datang,0.011
dating,0.006
days,0.006
debus,0.006
debut,0.006
deh,0.062
dekat,0.006
dengan,0.017
dengar,0.006
depan,0.023
di,0.04
dia,0.057
dian,0.006
dibangunin,0.006
dikit,0.006
dikomen,0.006
diliburin,0.006
diri,0.006
disi,0.006
disimpen,0.006
diskon,0.011
diuninstal,0.006
doa,0.006
doang,0.011
doing,0.006
dong,0.023
donghae,0.006
dude,0.006
duduk,0.006
dukung,0.006
dulu,0.028
durian,0.006
dzolimi,0.006
each,0.006
ecobag,0.023
eh,0.006
email,0.017
ems,0.017
emsnya,0.006
enak,0.006
energi,0.006
envy,0.006
etapi,0.006
ewkwkwkw,0.006
exact,0.006
faedah,0.006
fanclub,0.006
fans,0.006
fansite,0.017
fansitenya,0.006
fckg,0.011
fi,0.006
fitokimia,0.006
formnya,0.011
foto,0.023
gabeli,0.006
gabung,0.006
gadeng,0.006
gadis,0.006
gamenya,0.011
gamuat,0.006
gapake,0.006
gas,0.017
gasih,0.028
gaul,0.011
gaya,0.006
gelembung,0.017
gemas,0.011
gemesin,0.006
gila,0.011
gilada,0.006
gilas,0.011
gin,0.011
gliterbalnya,0.006
goda,0.011
google,0.006
gopay,0.011
gopaynya,0.006
gosip,0.006
goyang,0.006
gudang,0.006
gugup,0.011
gutlak,0.006
habis,0.028
hadiah,0.006
haha,0.006
hahahahahah,0.006
hahahahahahahahahahahahahah,0.006
hai,0.006
halaman,0.023
halunya,0.006
hampir,0.006
hari,0.017
harus,0.017
hati,0.017
headset,0.006
hello,0.006
henti,0.006
heol,0.006
hidup,0.011
highclas,0.006
his,0.017
homoin,0.006
hujan,0.006
huruf,0.006
ibu,0.011
id,0.006
idam,0.006
idola,0.011
ikut,0.011
ilmu,0.006
in,0.006
inbox,0.011
indah,0.006
indonesia,0.011
ingat,0.017
ingin,0.006
ini,0.068
interact,0.011
ironis,0.006
isi,0.017
item,0.011
itu,0.125
iya,0.04
iyak,0.006
jadi,0.091
jadulku,0.006
jail,0.006
jalan,0.023
jam,0.017
jaman,0.006
jamanya,0.006
jantung,0.006
jari,0.006
jauh,0.006
jawab,0.011
jelek,0.006
jemput,0.006
jenis,0.006
jika,0.023
jinki,0.023
jokes,0.006
jonghyun,0.006
jt,0.006
jual,0.006
juga,0.011
jujur,0.006
juli,0.006
july,0.011
jungwo,0.006
kabarin,0.006
kacau,0.006
kaki,0.006
kalah,0.006
kalau,0.068
kali,0.017
kalian,0.006
kamar,0.006
kan,0.04
kantor,0.011
kapan,0.006
kartu,0.011
karya,0.006
kasi,0.006
kasih,0.011
kasus,0.006
kata,0.006
keburu,0.006
kejut,0.006
keluar,0.011
keluarga,0.006
keluh,0.011
kemarin,0.023
kembali,0.006
kena,0.006
kenapa,0.011
kencang,0.006
keri,0.006
kerja,0.006
kerjasama,0.006
kesal,0.006
kesini,0.006
ketemu,0.006
ketika,0.017
khas,0.006
khusus,0.011
kidung,0.006
kilogram,0.006
kira,0.006
kirim,0.028
knew,0.006
kode,0.017
koleksi,0.006
kondisi,0.006
konsep,0.006
konten,0.017
kontra,0.006
koperatif,0.006
korea,0.006
kosmetika,0.006
kosong,0.006
kst,0.011
kt,0.023
kultur,0.006
kunci,0.006
kuota,0.006
kurang,0.006
kyuhyun,0.006
lagi,0.028
lagu,0.011
lah,0.006
lahir,0.006
lain,0.011
laki,0.011
lalu,0.011
lama,0.006
lambat,0.017
langgan,0.006
langsung,0.034
lanjut,0.006
lantai,0.017
lapor,0.006
laut,0.006
layak,0.006
lazada,0.006
lebay,0.006
lebih,0.011
lee,0.006
lemah,0.006
lembut,0.006
lempar,0.006
lepas,0.017
letih,0.006
lewat,0.006
lezat,0.006
libur,0.011
lihat,0.051
lilin,0.006
link,0.006
lit,0.006
loh,0.023
luar,0.011
lup,0.006
lupa,0.006
lysn,0.006
maaf,0.006
macam,0.006
made,0.006
mahal,0.011
mainanya,0.006
makan,0.006
makanya,0.006
makin,0.006
maksud,0.006
malah,0.017
malas,0.006
maleman,0.006
malu,0.028
mana,0.023
mangil,0.006
maps,0.006
masal,0.006
masalah,0.011
masih,0.006
masing,0.006
masuk,0.006
masyarakat,0.006
mati,0.006
mau,0.131
meanwhile,0.006
medis,0.006
mekap,0.011
memang,0.034
memberi,0.006
membernya,0.006
